"team","Rank","Count","Probability"
"VfB Concordia Britz 1916","Rank_10",0,0
"VfB Concordia Britz 1916","Rank_11",1,0
"VfB Concordia Britz 1916","Rank_12",1,0
"VfB Concordia Britz 1916","Rank_13",6,0.3
"VfB Concordia Britz 1916","Rank_14",495,24.8
"VfB Concordia Britz 1916","Rank_15",1189,59.5
"VfB Concordia Britz 1916","Rank_16",308,15.4
"Berliner SV 1892","Rank_1",2,0.1
"Berliner SV 1892","Rank_2",12,0.6
"Berliner SV 1892","Rank_3",112,5.6
"Berliner SV 1892","Rank_4",1054,52.7
"Berliner SV 1892","Rank_5",569,28.4
"Berliner SV 1892","Rank_6",232,11.6
"Berliner SV 1892","Rank_7",17,0.9
"Berliner SV 1892","Rank_8",2,0.1
"Berliner SV 1892","Rank_9",0,0
"Berliner SV 1892","Rank_10",0,0
"Berliner SV 1892","Rank_11",0,0
"Berliner SV 1892","Rank_12",0,0
"Berliner SV 1892","Rank_13",0,0
"Berliner SV 1892","Rank_14",0,0
"Berliner SV 1892","Rank_15",0,0
"Berliner SV 1892","Rank_16",0,0
"Türkiyemspor Berlin","Rank_1",0,0
"Türkiyemspor Berlin","Rank_2",0,0
"Türkiyemspor Berlin","Rank_3",0,0
"Türkiyemspor Berlin","Rank_4",0,0
"Türkiyemspor Berlin","Rank_5",1,0
"Türkiyemspor Berlin","Rank_6",3,0.1
"Türkiyemspor Berlin","Rank_7",56,2.8
"Türkiyemspor Berlin","Rank_8",255,12.8
"Türkiyemspor Berlin","Rank_9",566,28.3
"Türkiyemspor Berlin","Rank_10",480,24
"Türkiyemspor Berlin","Rank_11",345,17.2
"Türkiyemspor Berlin","Rank_12",216,10.8
"Türkiyemspor Berlin","Rank_13",77,3.9
"Türkiyemspor Berlin","Rank_14",1,0
"Türkiyemspor Berlin","Rank_15",0,0
"Türkiyemspor Berlin","Rank_16",0,0
"FC Internationale Berlin 1980","Rank_1",0,0
"FC Internationale Berlin 1980","Rank_2",0,0
"FC Internationale Berlin 1980","Rank_3",0,0
"FC Internationale Berlin 1980","Rank_4",0,0
"FC Internationale Berlin 1980","Rank_5",0,0
"FC Internationale Berlin 1980","Rank_6",2,0.1
"FC Internationale Berlin 1980","Rank_7",70,3.5
"FC Internationale Berlin 1980","Rank_8",230,11.5
"FC Internationale Berlin 1980","Rank_9",487,24.3
"FC Internationale Berlin 1980","Rank_10",515,25.8
"FC Internationale Berlin 1980","Rank_11",386,19.3
"FC Internationale Berlin 1980","Rank_12",229,11.5
"FC Internationale Berlin 1980","Rank_13",81,4
"FC Internationale Berlin 1980","Rank_14",0,0
"FC Internationale Berlin 1980","Rank_15",0,0
"FC Internationale Berlin 1980","Rank_16",0,0
"Berliner SC II","Rank_1",0,0
"Berliner SC II","Rank_2",0,0
"Berliner SC II","Rank_3",0,0
"Berliner SC II","Rank_4",0,0
"Berliner SC II","Rank_5",0,0
"Berliner SC II","Rank_6",1,0
"Berliner SC II","Rank_7",25,1.2
"Berliner SC II","Rank_8",102,5.1
"Berliner SC II","Rank_9",224,11.2
"Berliner SC II","Rank_10",420,21
"Berliner SC II","Rank_11",470,23.5
"Berliner SC II","Rank_12",428,21.4
"Berliner SC II","Rank_13",319,16
"Berliner SC II","Rank_14",11,0.5
"Berliner SC II","Rank_15",0,0
"Berliner SC II","Rank_16",0,0
"BSV Al-Dersimspor","Rank_1",0,0
"BSV Al-Dersimspor","Rank_2",0,0
"BSV Al-Dersimspor","Rank_3",0,0
"BSV Al-Dersimspor","Rank_4",0,0
"BSV Al-Dersimspor","Rank_5",0,0
"BSV Al-Dersimspor","Rank_6",0,0
"BSV Al-Dersimspor","Rank_7",2,0.1
"BSV Al-Dersimspor","Rank_8",37,1.8
"BSV Al-Dersimspor","Rank_9",127,6.3
"BSV Al-Dersimspor","Rank_10",197,9.8
"BSV Al-Dersimspor","Rank_11",413,20.6
"BSV Al-Dersimspor","Rank_12",538,26.9
"BSV Al-Dersimspor","Rank_13",666,33.3
"BSV Al-Dersimspor","Rank_14",20,1
"BSV Al-Dersimspor","Rank_15",0,0
"BSV Al-Dersimspor","Rank_16",0,0
"SV Empor Berlin II","Rank_1",0,0
"SV Empor Berlin II","Rank_2",0,0
"SV Empor Berlin II","Rank_3",0,0
"SV Empor Berlin II","Rank_4",0,0
"SV Empor Berlin II","Rank_5",0,0
"SV Empor Berlin II","Rank_6",0,0
"SV Empor Berlin II","Rank_7",0,0
"SV Empor Berlin II","Rank_8",0,0
"SV Empor Berlin II","Rank_9",0,0
"SV Empor Berlin II","Rank_10",1,0
"SV Empor Berlin II","Rank_11",1,0
"SV Empor Berlin II","Rank_12",6,0.3
"SV Empor Berlin II","Rank_13",42,2.1
"SV Empor Berlin II","Rank_14",1411,70.6
"SV Empor Berlin II","Rank_15",504,25.2
"SV Empor Berlin II","Rank_16",35,1.8
