Rank,Team,Name,Nr,Pos,Spiele,Tore
192,Köpenicker FC,Osben-Dario Ondo Mangue,2,NA,8,1
193,Türkiyemspor Berlin,Mohamad Faramarzi,20,RM,11,1
194,SV Empor Berlin II,Luis Ploschenz,NA,RM,1,1
195,FC Viktoria 1889 Berlin II,Daniel Hölbling,15,ST,4,1
196,Berliner SV 1892,Lewi Dawit Molalegn,15,ST,13,1
197,FC Internationale Berlin 1980,Joel Broughton Weeks,NA,NA,1,1
198,TSV Rudow Berlin,Ahmad Haj Youssef,19,LM,13,1
199,VfB Concordia Britz 1916,Joao Victor Souza Rosa,24,NA,8,1
200,Türkiyemspor Berlin,Manuel Pereira,NA,NA,1,1
201,FSV Berolina Stralau 1901,Robert Adler,3,IV,7,0
202,BSV Al-Dersimspor,Max Kruse,30,NA,1,0
203,Berliner SC II,Bene Brecht,16,ZM,5,0
204,BFC Meteor 06,Selvedin Begzadic,22,TW,10,0
205,BFC Preussen II,Vahit Engin,11,NA,6,0
206,Türkiyemspor Berlin,Kenan Demir,3,IV,13,0
207,Berliner SV 1892,Hendrik Lüttschwager,1,TW,10,0
208,BSV Al-Dersimspor,Kerem Filiz,NA,NA,4,0
209,FSV Berolina Stralau 1901,Jannes Potthoff,1,TW,5,0
210,TSV Rudow Berlin,Lucas Robbin Bähr,NA,NA,0,0
211,Berliner SC II,Nicolas Wolski,8,RV,8,0
212,FSV Berolina Stralau 1901,Denis Rolke,15,IV,14,0
213,BSV Al-Dersimspor,Yasin Baki,NA,TW,2,0
214,TSV Rudow Berlin,Dmitri Zabavin,1,TW,1,0
215,Köpenicker FC,Jonas Weigelt,8,IV,10,0
216,TSV Rudow Berlin,Martin Gromotka,44,TW,13,0
217,VfB Concordia Britz 1916,Yevgen Igorovic Lozynsky,27,NA,11,0
218,BFC Preussen II,Paul Miggel,8,LV,6,0
219,SV Empor Berlin II,Daniel Alankus,NA,IV,1,0
220,FSV Berolina Stralau 1901,Daniel Fischer,19,LM,9,0
221,BFC Meteor 06,Julian Schröder,15,RV,14,0
222,BSV Eintracht Mahlsdorf II,Kay Szczech,18,RM,10,0
223,TSV Rudow Berlin,Dennis Rötzscher,18,ZDM,7,0
224,BSV Al-Dersimspor,Patrick Boel,1,TW,8,0
225,BFC Preussen II,Malte Hartmann,31,TW,13,0
226,SC Borsigwalde 1910,Mahmoud Akkaoui,4,IV,4,0
227,SV Stern Britz 1889,Resul Hirik,NA,NA,0,0
228,SC Borsigwalde 1910,Tobias Knetsch,23,TW,3,0
229,TSV Rudow Berlin,Leonard Kirschner,NA,NA,1,0
230,BSV Eintracht Mahlsdorf II,Tom Greif,14,RV,4,0
231,Köpenicker FC,Till Dietrich,27,LV,13,0
232,BFC Preussen II,Yasin Demir,30,IV,9,0
233,FSV Berolina Stralau 1901,Maximilian Weber,NA,ZM,1,0
