ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,avg_playtime_per_game,scorerpoints_per_game,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,normalized_points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
720266,Dennis Seiler,SV Empor Berlin II,9,2,0,0,0,0,1,0,765,0,11,0.654,0.944,0.222,1,0.111,6,8,1,0.75,0.25,0.518,ZM,IV,44%,33%
736063,Göktug Özsoy,Berliner SV 1892,12,0,0,0,0,0,1,4,935,1,19,0.799,0.866,0,0,0,21,11,1,1.909,0.636,0.667,ZM,IV,33%,17%
737592,Mohamad-Ali Chawraba,BSV Al-Dersimspor,11,4,0,0,0,0,1,7,861,2,47,0.736,0.87,0.364,2,0.182,16,10,1,1.6,0.533,0.663,ST,LM,55%,27%
743561,Paulo Eduardo Bernardes De Almeida,Türkiyemspor Berlin,3,0,0,0,0,0,2,1,192,0,22,0.164,0.711,0,0,0,0,0,3,0,0,0.191,NA,NA,NA%,0%
763426,Jan-Eric Frank,TSV Rudow Berlin,6,0,0,0,0,0,4,1,216,0,6,0.185,0.4,0,1,0.167,1,2,4,0.5,0.167,0.252,IV,RV,17%,17%
774865,Michel Stefaniszin,SC Borsigwalde 1910,10,1,0,0,0,0,0,5,775,5,8,0.662,0.861,0.1,2,0.2,20,11,-1,1.818,0.606,0.673,ZDM,ZM,90%,20%
777705,Emre-Eyüp Önal,BSV Al-Dersimspor,10,0,1,0,0,0,3,5,610,0,7,0.521,0.678,0.1,1,0.1,6,7,3,0.857,0.286,0.436,ZDM,RM,50%,10%
780838,Timo Höhna,SV Stern Britz 1889,10,1,1,0,0,0,1,3,759,1,6,0.649,0.843,0.2,1,0.1,6,9,1,0.667,0.222,0.482,LV,ZM,40%,20%
781216,Kevin Kummer,SC Borsigwalde 1910,7,1,0,0,0,0,0,0,630,0,29,0.538,1,0.143,2,0.286,11,9,-2,1.222,0.407,0.61,IV,ZDM,114%,14%
784306,Lennard Schleifenbaum,Berliner SV 1892,12,3,0,0,0,0,3,0,879,0,21,0.751,0.814,0.25,4,0.333,12,9,3,1.333,0.444,0.666,ST,ZM,33%,17%
803085,Amon Simunovic,Türkiyemspor Berlin,9,0,0,0,0,0,0,5,685,0,6,0.585,0.846,0,2,0.222,16,9,0,1.778,0.593,0.648,ZDM,RM,89%,11%
818845,Christopher Schwarz,FSV Berolina Stralau 1901,6,3,0,0,0,0,2,3,356,0,NA,0.304,0.659,0.5,0,0,4,4,2,1,0.333,0.356,ZM,NA,67%,0%
821531,Luca Ehrich,SV Stern Britz 1889,11,0,2,2,0,0,3,5,612,0,27,0.523,0.618,0.182,0,0,4,8,3,0.5,0.167,0.347,ZDM,ZM,36%,18%
822016,Sebastian Heßler,FSV Berolina Stralau 1901,8,3,1,0,0,0,5,3,361,0,12,0.309,0.501,0.5,3,0.375,3,3,5,1,0.333,0.439,LM,NA,38%,0%
824144,Niklas Schindler,FC Internationale Berlin 1980,9,0,0,0,0,0,4,0,525,0,11,0.449,0.648,0,0,0,11,6,3,1.833,0.611,0.509,IV,NA,67%,0%
831475,Dominik Dietzel,BFC Preussen II,3,0,0,0,0,0,0,0,270,1,1,0.231,1,0,2,0.667,9,3,0,3,1,0.869,TW,NA,100%,0%
833291,Davut Kösker,Türkiyemspor Berlin,4,0,0,0,0,0,0,0,360,0,32,0.308,1,0,0,0,3,4,0,0.75,0.25,0.392,TW,NA,100%,0%
835657,Oktay Ugur,BFC Meteor 06,10,1,0,0,0,0,4,5,614,0,17,0.525,0.682,0.1,0,0,15,6,4,2.5,0.833,0.627,ZM,ZOM,20%,20%
836435,Karim Zagmouz,BSV Al-Dersimspor,9,1,0,0,0,0,0,0,810,0,6,0.692,1,0.111,4,0.444,13,10,-1,1.3,0.433,0.714,IV,RV,89%,11%
838390,Maximilian Zengler,Köpenicker FC,2,0,0,0,0,0,0,1,167,0,25,0.143,0.928,0,0,0,0,2,0,0,0,0.228,ST,NA,100%,0%
838422,David Bellin,Berliner SV 1892,11,2,0,0,0,0,1,10,707,1,28,0.604,0.714,0.182,1,0.091,18,10,1,1.8,0.6,0.591,RM,ST,45%,36%
844840,Jose Antonio Ondo Mangue,Köpenicker FC,6,2,0,0,0,0,1,3,371,0,21,0.317,0.687,0.333,0,0,0,0,6,0,0,0.233,NA,NA,NA%,0%
845397,Caglar Polat,BSV Al-Dersimspor,8,0,1,0,0,0,0,3,647,0,27,0.553,0.899,0.125,2,0.25,13,9,-1,1.444,0.481,0.613,ZOM,LM,62%,25%
848940,Patrick Kübler,SV Stern Britz 1889,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0%
849219,Tim Riese,BFC Meteor 06,11,3,0,1,0,0,0,0,990,3,4,0.846,1,0.273,4,0.364,21,11,0,1.909,0.636,0.818,IV,ZM,91%,9%
849336,Pascal Berger,Köpenicker FC,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0%
849578,Timo Ziebarth,SV Stern Britz 1889,7,0,0,0,0,0,0,0,630,0,1,0.538,1,0,3,0.429,3,7,0,0.429,0.143,0.547,TW,NA,100%,0%
