Rank,Team,Nr,Name,Pos,Spielzeit,Score
274,Berliner SC II,25,Eike Barth,ST,321,0.312
275,SV Stern Britz 1889,24,Dennis Pyplatz,ZDM,772,0.308
276,VfB Concordia Britz 1916,6,Felix Weglöhner,RM,1005,0.308
277,Berliner SV 1892,17,El-Amin Elsaadawi,ST,348,0.306
278,VfB Concordia Britz 1916,26,Amir-Mohamad Yassine,LM,267,0.304
279,SV Empor Berlin II,8,Milo Lippe,ZM,668,0.303
280,FSV Berolina Stralau 1901,14,Philipp Nikolajewski,IV,1019,0.302
281,Berliner SC II,11,Danilo Arsic,ST,276,0.302
282,FSV Berolina Stralau 1901,6,Akiyasu Tsuchiya,ZM,407,0.301
283,BSV Al-Dersimspor,12,Argjent Krasniqi,ST,616,0.296
284,BSV Al-Dersimspor,63,Onur Kalkan,IV,573,0.288
285,SV Empor Berlin II,19,Alvenzio Ettah,ZM,631,0.288
286,Berliner SC II,13,Alexander Huse,ST,393,0.287
287,Berliner SV 1892,25,Robin Wolff,ST,257,0.286
288,VfB Concordia Britz 1916,30,Björn Röchert,IV,701,0.284
289,SV Stern Britz 1889,27,Luca Ehrich,ZDM,792,0.282
290,FC Viktoria 1889 Berlin II,29,Alican Ali,ST,344,0.281
291,FC Viktoria 1889 Berlin II,13,Konstantin- Alexander Westhäußer,NA,996,0.281
292,Berliner SV 1892,2,Dennis Fischer,LM,101,0.278
293,VfB Concordia Britz 1916,20,Maximilian Höhle,ST,283,0.277
294,VfB Concordia Britz 1916,7,Jerry Gase,ST,928,0.275
295,SV Empor Berlin II,NA,Julian Duczmal,ZM,213,0.275
296,SV Stern Britz 1889,37,Marcel Frobenius,RV,603,0.271
297,BFC Meteor 06,NA,Solomon Okoronkwo,ZOM,247,0.27
298,VfB Concordia Britz 1916,27,Yevgen Igorovic Lozynsky,NA,805,0.268
299,SC Borsigwalde 1910,NA,Mehdi Bencheikh,IV,267,0.267
300,Türkiyemspor Berlin,17,Tamer Emre Ertürkler,ST,340,0.266
301,SV Empor Berlin II,21,Rafael Mentrup,LM,522,0.266
302,SV Stern Britz 1889,30,Benis Leci,LM,843,0.264
303,FC Internationale Berlin 1980,12,Marcos Adrian Castro Barbera,NA,856,0.254
304,VfB Concordia Britz 1916,14,Robin Eschert,LV,263,0.25
305,SV Empor Berlin II,NA,Billy Bradley Tuckerman,RM,266,0.244
306,FSV Berolina Stralau 1901,17,Arian Saiti,RM,485,0.241
307,Köpenicker FC,3,Luca Munsky,LV,340,0.24
308,FC Internationale Berlin 1980,17,Maximilian De Rosnay,NA,616,0.24
309,FSV Berolina Stralau 1901,18,David Bode,IV,234,0.234
310,SV Stern Britz 1889,17,Leonit Leci,LM,826,0.233
311,Köpenicker FC,7,Tobias Brandt,ST,276,0.232
312,BFC Meteor 06,47,Ibrahim Celik,RM,303,0.228
313,TSV Rudow Berlin,29,Süleyman Aktas,TW,64,0.228
314,SV Empor Berlin II,15,Philipp Macketanz,LV,438,0.224
315,VfB Concordia Britz 1916,11,Darnell Bruns,ST,520,0.202
316,SV Stern Britz 1889,NA,Kamil Ryszard Borowski,IV,302,0.201
317,SV Empor Berlin II,24,Tom Wessel,IV,237,0.198
318,SV Stern Britz 1889,13,Nico Hauf,IV,526,0.198
319,VfB Concordia Britz 1916,25,Jordy Gase,ST,660,0.195
320,Türkiyemspor Berlin,18,Erdem Celik,RM,93,0.195
321,SV Empor Berlin II,17,Hong Phuc Dinh,LM,206,0.181
322,BSV Al-Dersimspor,17,Sercan-Günay Seyyidoglu,LM,375,0.179
323,Berliner SC II,7,Nelson Antoniofrancisco,LM,227,0.176
324,Türkiyemspor Berlin,22,Paulo Eduardo Bernardes De Almeida,NA,313,0.174
325,BFC Meteor 06,69,Eriseld Tafilaj,NA,529,0.166
326,Köpenicker FC,21,Jose Antonio Ondo Mangue,NA,383,0.164
327,VfB Concordia Britz 1916,10,Deniz Gassen,ZM,318,0.161
328,TSV Rudow Berlin,23,Dominik Thonfeld,ST,241,0.16
329,FSV Berolina Stralau 1901,3,Robert Adler,IV,203,0.154
330,Türkiyemspor Berlin,15,Ali Mert Koca,RM,288,0.139
331,Köpenicker FC,2,Osben-Dario Ondo Mangue,NA,355,0.138
332,BFC Meteor 06,70,Rick Mickael Ella,LM,257,0.137
333,BFC Preussen II,45,Theo Kagoue,RM,232,0.129
334,BSV Al-Dersimspor,94,Welton Pereira Dos Santos,NA,369,0.123
335,Berliner SC II,NA,Konstantin Joseski,RV,179,0.119
336,VfB Concordia Britz 1916,24,Joao Victor Souza Rosa,NA,240,0.103
337,Köpenicker FC,20,Oskar Klauke,LV,175,0.084
338,FC Internationale Berlin 1980,77,Jim Bratschke,RM,147,0.082
339,BFC Meteor 06,NA,Yusuf Abouri,RV,111,0.074
340,BFC Preussen II,21,Nils Szerwinski,NA,153,0.074
341,BSV Al-Dersimspor,9,William Essel,NA,207,0.069
342,Berliner SV 1892,13,Tim Paschke,RM,112,0.062
343,BFC Preussen II,11,Vahit Engin,NA,126,0.061
344,FC Viktoria 1889 Berlin II,12,Nana Nkrumah,ST,132,0.051
345,BFC Preussen II,NA,Tim Henseler,NA,74,0.049
346,SV Empor Berlin II,18,Daniil Savenko,NA,72,0.048
347,FSV Berolina Stralau 1901,13,Leeroy-Life Leffke,NA,116,0.045
348,Berliner SC II,22,Nino Zamorano,NA,75,0.042
349,SV Stern Britz 1889,3,Okan Özkaya,NA,73,0.041
350,FC Internationale Berlin 1980,77,Amin Malik Chahed,NA,81,0.039
351,BFC Meteor 06,99,Mohammed Hamiss,NA,91,0.039
352,BSV Eintracht Mahlsdorf II,NA,Maximilian Widmer,NA,52,0.034
353,Berliner SV 1892,26,Soner Gültepe,NA,60,0.029
354,FC Viktoria 1889 Berlin II,16,Ognyan Stefanov,NA,52,0.025
355,BSV Al-Dersimspor,25,Karsten Schleifring,NA,28,0.015
