Spieltag,Team,Gegner,Tore,Gegentore,Wo,Platz,Kader,Formation,Wechsel
3,FC Viktoria 1889 Berlin II,SC Borsigwalde 1910,3,3,away,S,"Kühn – Mendes (60. Littler), Nagel (60. Westhäusser), Thiele (90.+1 Knape), Klautzsch – Jeong (80. Nikrumah), Herrmann, Llauger (41. Stefanovic), Manssour – Weinlein, Hölbling",4-4-2,5
3,Berliner SV 1892,VfB Concordia Britz 1916,5,1,away,L,"Hechtsch – Tröger, Tedesco, Jost, Bechler – Busche (75. Schleifenbaum), Özsoy (85. Gültepe), Koschek, Iwuozor (55. Zauner) – Elsaawadi (75. Bellin), Molalegn",4-4-2,4
3,BSV Al-Dersimspor,FSV Berolina Stralau 1901,1,0,away,S,"Arslan – Savkovic (46. Achour, 90.+4 Dos Santos), Zagmouz, Tonk, Tshondo (67. Schäfer) – Diakhone, Önal – Awag, Polat, Chawraba (83. Essel) – Krasniqi (50. Uchaglar)",4-2-3-1,5
4,BSV Al-Dersimspor,BFC Meteor 06,0,2,home,S,"Arslan – Zagmouz, Kalkan (46. Pereira Dos Santos), Tonk, Schäfer (78. Krasniqi) – Önal (67. Savkovic), Diokhane – Awag, Polat (78. Seyyidoglu), Ucbaglar – Baba",4-2-3-1,4
4,SV Stern Britz 1889,BFC Preussen II,0,6,home,L,"Lück – Brei, Borowski (60. Frobenius), Schulz, Höhna – Boanu, Diallo, Hauf, Shawdri – Wojan (66. Leci) – Sik",4-4-1-1,2
4,TSV Rudow Berlin,Köpenicker FC,1,0,home,L,"Gromotka – Haj Youssef, Becker, Fürstenow, Bayram (75. Wöhle) – Maykowski, Wuthe, Hassane (45. Tolaj), Badu-Amoah (86. Aktas) – Günther, Sennur (65. Hortum)",4-4-2,4
4,FC Viktoria 1889 Berlin II,FC Internationale Berlin 1980,1,2,home,S,"Starkowski – Pereira Mendes (46. Westhäusser), Nagel (74. Ali), Thiele, Stefanovic – Jeong (64. Naicker), Dieckert (64. Almedom), Ait Manssour, Herrmann – Nkrumah (39. Macias), Weinlein",4-4-2,5
4,Berliner SC II,VfB Concordia Britz 1916,1,1,home,NR,"Kreuschner – Ibrom, Oevermann, Leitner, Kaggelidids – Akbulut (46. Antoniofrancisco), Peter, Rad, Rencber (70. Wolski) – Arsic (46. Kücükosman), Barth (70. Huse)",4-4-2,4
4,Berliner SV 1892,SV Empor Berlin II,3,1,home,NR,"Lüftschwager – Tröger, Jost, Bechler, Anker, Iwuozor (68. Sobczyk) – Koschek – Molalegn (80. Gültepe) , Zauner (80. Paschke) – Schleifenbaum, Bellin (62. Busche)",5-1-2-2,4
4,SC Borsigwalde 1910,BSV Eintracht Mahlsdorf II,3,3,home,S,"Kräft – Braga De Souza, El-Okkla, Kummer, Yaqoobi – Ciao (83. Matuk), Stefaniszin (67. Akkaoui) – Bubner (67. Chukwu), Yildirim, Bencheikh – Miranda Silva",4-2-3-1,3
