Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
181,FC Viktoria 1889 Berlin II,Oskar Schlembach,21,ZDM,10,0.1
182,TSV Rudow Berlin,Dominik Thonfeld,23,ST,10,0.1
183,BFC Preussen II,Alexander Gajda,14,RV,10,0.1
184,FC Viktoria 1889 Berlin II,Konstantin- Alexander Westhäußer,13,RV,20,0.1
185,BFC Meteor 06,Julian Schröder,15,RV,21,0.095
186,FSV Berolina Stralau 1901,Tobias Reuter,4,ZM,21,0.095
187,BFC Meteor 06,Lennart Nerlich,5,IV,21,0.095
188,FSV Berolina Stralau 1901,Ibrahim Diallo,10,RV,11,0.091
189,VfB Concordia Britz 1916,Amir-Mohamad Yassine,26,LM,11,0.091
190,FC Internationale Berlin 1980,Marlon Mayen Guzman,16,LM,11,0.091
191,SC Borsigwalde 1910,Kenneth Weise,49,IV,12,0.083
192,BSV Al-Dersimspor,Karim Zagmouz,6,IV,12,0.083
193,TSV Rudow Berlin,Samet Sennur,11,ST,12,0.083
194,Berliner SC II,Noah Peter,12,ZM,13,0.077
195,FC Viktoria 1889 Berlin II,Jeong Chaehyun,11,RM,13,0.077
196,TSV Rudow Berlin,Nana Kwame Badu-Amoah,7,LM,13,0.077
197,TSV Rudow Berlin,Yannick Emanuel Wöhle,16,ST,13,0.077
198,Berliner SV 1892,Lewi Dawit Molalegn,15,ST,13,0.077
199,BSV Eintracht Mahlsdorf II,Lukas Grützner,8,IV,14,0.071
200,BSV Al-Dersimspor,Emre-Eyüp Önal,7,ZDM,14,0.071
201,SV Stern Britz 1889,Marcel Frobenius,37,RV,14,0.071
202,Türkiyemspor Berlin,Mustafa Kemal Karaman,11,LV,14,0.071
203,FC Viktoria 1889 Berlin II,Nana Nkrumah,12,ST,14,0.071
204,BSV Al-Dersimspor,Welton Pereira Dos Santos,94,NA,15,0.067
205,Berliner SC II,Alexander Huse,13,ST,15,0.067
206,SV Stern Britz 1889,Naim Senay,26,RV,15,0.067
207,Berliner SV 1892,Göktug Özsoy,19,ZM,15,0.067
208,SV Empor Berlin II,Elias Thürigen,5,IV,15,0.067
209,BSV Eintracht Mahlsdorf II,Tom Bothe,12,IV,15,0.067
210,BSV Al-Dersimspor,William Essel,9,LM,15,0.067
211,Köpenicker FC,Tobias Brandt,7,ST,15,0.067
212,Köpenicker FC,Philip Möhle,28,RV,16,0.062
213,Berliner SV 1892,Joshua Tröger,24,RV,16,0.062
214,VfB Concordia Britz 1916,Arne-Luca Auctun,19,IV,16,0.062
215,Köpenicker FC,Tom-Niclas Hamann,23,IV,16,0.062
216,BSV Eintracht Mahlsdorf II,Kay Szczech,18,ZM,17,0.059
217,SV Stern Britz 1889,Luca Wojan,22,ZDM,17,0.059
218,FC Viktoria 1889 Berlin II,Ismail Bendjelloul,5,ZDM,17,0.059
219,SV Empor Berlin II,Milo Lippe,8,ZM,17,0.059
220,Köpenicker FC,Luca Munsky,3,LV,17,0.059
221,BSV Al-Dersimspor,Caglar Polat,27,ZOM,18,0.056
222,Köpenicker FC,Tarek Borchmeier,13,ZM,18,0.056
223,VfB Concordia Britz 1916,Jordy Gase,25,ST,18,0.056
224,FC Viktoria 1889 Berlin II,Jeremy Herrmann,26,ZDM,18,0.056
225,TSV Rudow Berlin,Abdullah Bayram,21,LM,18,0.056
226,BSV Al-Dersimspor,Jonathan Schäfer,18,LV,18,0.056
227,SV Stern Britz 1889,Andre Schulz,23,IV,19,0.053
228,SC Borsigwalde 1910,Riccardo Ciao,18,ZDM,19,0.053
229,Berliner SV 1892,Stefano Tedesco,22,IV,19,0.053
230,SV Stern Britz 1889,Dennis Pyplatz,24,ZDM,19,0.053
231,SC Borsigwalde 1910,Mohammed Yaqoobi,3,LV,19,0.053
232,FC Viktoria 1889 Berlin II,Fonseca Pereira Mendes,25,RV,19,0.053
233,BSV Eintracht Mahlsdorf II,Kilian Oliver Reinke,21,LV,19,0.053
234,BSV Al-Dersimspor,Amir Awag,5,RV,20,0.05
235,Türkiyemspor Berlin,Görkem Yilmaz,4,ZOM,20,0.05
236,FSV Berolina Stralau 1901,Georg Schönfelder,3,IV,20,0.05
237,Berliner SC II,Ezher Akbulut,23,LM,20,0.05
238,BFC Meteor 06,Ahmad Zahlan,6,ZDM,21,0.048
239,SC Borsigwalde 1910,Michel Stefaniszin,8,ZDM,21,0.048
240,Berliner SV 1892,Niklas Jost,4,IV,21,0.048
241,BSV Eintracht Mahlsdorf II,Phillip Streiter,22,TW,21,0.048
242,BFC Meteor 06,Selvedin Begzadic,22,TW,17,0
243,BFC Preussen II,Vahit Engin,11,NA,6,0
244,Türkiyemspor Berlin,Kenan Demir,3,IV,18,0
245,Berliner SV 1892,Hendrik Lüttschwager,1,TW,17,0
246,BSV Al-Dersimspor,Kerem Filiz,NA,NA,5,0
247,FSV Berolina Stralau 1901,Jannes Potthoff,1,TW,8,0
248,Berliner SC II,Nicolas Wolski,8,RV,8,0
249,FSV Berolina Stralau 1901,Denis Rolke,15,IV,19,0
250,Köpenicker FC,Jonas Weigelt,8,IV,14,0
251,TSV Rudow Berlin,Martin Gromotka,44,TW,19,0
252,VfB Concordia Britz 1916,Yevgen Igorovic Lozynsky,27,NA,18,0
253,BFC Preussen II,Paul Miggel,8,LV,7,0
254,FSV Berolina Stralau 1901,Daniel Fischer,19,LM,12,0
255,TSV Rudow Berlin,Dennis Rötzscher,18,ZDM,9,0
256,BSV Al-Dersimspor,Patrick Boel,1,TW,15,0
257,BFC Preussen II,Malte Hartmann,31,TW,15,0
258,SC Borsigwalde 1910,Tobias Knetsch,23,TW,9,0
259,BSV Eintracht Mahlsdorf II,Tom Greif,14,RV,5,0
260,Köpenicker FC,Till Dietrich,27,LV,18,0
261,BFC Preussen II,Yasin Demir,30,IV,16,0
262,VfB Concordia Britz 1916,Daniel Michael Brüning,22,IV,5,0
263,VfB Concordia Britz 1916,Patrick Wenke,29,IV,11,0
264,VfB Concordia Britz 1916,Tim Wenke,5,IV,12,0
265,Berliner SC II,Max Vincent Bolz,20,ZM,8,0
