"matchday","H","A","Tore_H","Tore_A","prob_home_win","prob_draw","prob_away_win"
12,"FC Viktoria 1889 Berlin II","FSV Berolina Stralau 1901",3,6,NA,NA,NA
12,"Berliner SC II","TSV Rudow Berlin",1,2,NA,NA,NA
12,"Berliner SV 1892","SV Stern Britz 1889",1,0,NA,NA,NA
12,"FC Internationale Berlin 1980","SC Borsigwalde 1910",1,1,NA,NA,NA
12,"VfB Concordia Britz 1916","BFC Preussen II",1,2,NA,NA,NA
12,"BSV Al-Dersimspor","Türkiyemspor Berlin",0,2,NA,NA,NA
13,"BSV Eintracht Mahlsdorf II","FC Internationale Berlin 1980",2,1,NA,NA,NA
13,"BFC Preussen II","SV Empor Berlin II",3,2,NA,NA,NA
13,"SV Stern Britz 1889","Berliner SC II",0,3,NA,NA,NA
13,"Köpenicker FC","VfB Concordia Britz 1916",10,1,NA,NA,NA
13,"Türkiyemspor Berlin","FC Viktoria 1889 Berlin II",2,1,NA,NA,NA
13,"FSV Berolina Stralau 1901","BFC Meteor 06",2,4,NA,NA,NA
13,"SC Borsigwalde 1910","Berliner SV 1892",1,3,NA,NA,NA
13,"TSV Rudow Berlin","BSV Al-Dersimspor",2,0,NA,NA,NA
14,"BSV Eintracht Mahlsdorf II","TSV Rudow Berlin",0,0,NA,NA,NA
14,"SV Stern Britz 1889","SC Borsigwalde 1910",1,2,NA,NA,NA
14,"FC Viktoria 1889 Berlin II","SV Empor Berlin II",1,1,NA,NA,NA
14,"Berliner SC II","FSV Berolina Stralau 1901",1,0,NA,NA,NA
14,"Berliner SV 1892","BFC Meteor 06",1,2,NA,NA,NA
14,"FC Internationale Berlin 1980","VfB Concordia Britz 1916",7,1,NA,NA,NA
14,"Türkiyemspor Berlin","BFC Preussen II",2,6,NA,NA,NA
14,"BSV Al-Dersimspor","Köpenicker FC",1,5,NA,NA,NA
15,"SC Borsigwalde 1910","TSV Rudow Berlin",0,0,NA,NA,NA
15,"BFC Preussen II","BSV Al-Dersimspor",1,1,NA,NA,NA
15,"SV Stern Britz 1889","FC Viktoria 1889 Berlin II",2,3,NA,NA,NA
15,"BFC Meteor 06","FC Internationale Berlin 1980",3,1,NA,NA,NA
15,"Köpenicker FC","Berliner SC II",2,0,NA,NA,NA
15,"BSV Eintracht Mahlsdorf II","Türkiyemspor Berlin",1,2,NA,NA,NA
15,"FSV Berolina Stralau 1901","Berliner SV 1892",3,3,NA,NA,NA
15,"VfB Concordia Britz 1916","SV Empor Berlin II",1,0,NA,NA,NA
16,"SV Stern Britz 1889","TSV Rudow Berlin",1,3,NA,NA,NA
16,"VfB Concordia Britz 1916","FC Viktoria 1889 Berlin II",2,3,NA,NA,NA
16,"BFC Meteor 06","SV Empor Berlin II",4,2,NA,NA,NA
16,"BFC Preussen II","Berliner SC II",3,2,NA,NA,NA
16,"SC Borsigwalde 1910","Türkiyemspor Berlin",0,1,NA,NA,NA
16,"Köpenicker FC","Berliner SV 1892",0,3,NA,NA,NA
16,"FSV Berolina Stralau 1901","FC Internationale Berlin 1980",3,1,NA,NA,NA
16,"BSV Eintracht Mahlsdorf II","BSV Al-Dersimspor",2,0,NA,NA,NA
17,"TSV Rudow Berlin","BSV Eintracht Mahlsdorf II",2,0,NA,NA,NA
17,"SC Borsigwalde 1910","SV Stern Britz 1889",7,1,NA,NA,NA
17,"SV Empor Berlin II","FC Viktoria 1889 Berlin II",4,3,NA,NA,NA
17,"FSV Berolina Stralau 1901","Berliner SC II",3,1,NA,NA,NA
17,"BFC Meteor 06","Berliner SV 1892",3,1,NA,NA,NA
17,"VfB Concordia Britz 1916","FC Internationale Berlin 1980",2,0,NA,NA,NA
17,"BFC Preussen II","Türkiyemspor Berlin",5,4,NA,NA,NA
17,"Köpenicker FC","BSV Al-Dersimspor",5,1,NA,NA,NA
18,"TSV Rudow Berlin","BFC Preussen II",1,0,NA,NA,NA
18,"FC Internationale Berlin 1980","SV Empor Berlin II",6,2,NA,NA,NA
18,"Berliner SC II","BFC Meteor 06",0,4,NA,NA,NA
18,"Türkiyemspor Berlin","Köpenicker FC",0,1,NA,NA,NA
18,"SV Stern Britz 1889","BSV Eintracht Mahlsdorf II",1,2,NA,NA,NA
18,"FC Viktoria 1889 Berlin II","SC Borsigwalde 1910",7,1,NA,NA,NA
18,"Berliner SV 1892","VfB Concordia Britz 1916",2,0,NA,NA,NA
18,"BSV Al-Dersimspor","FSV Berolina Stralau 1901",2,2,NA,NA,NA
19,"BFC Meteor 06","BSV Al-Dersimspor",9,1,NA,NA,NA
19,"BFC Preussen II","SV Stern Britz 1889",2,1,NA,NA,NA
19,"Köpenicker FC","TSV Rudow Berlin",2,3,NA,NA,NA
19,"FC Internationale Berlin 1980","FC Viktoria 1889 Berlin II",0,2,NA,NA,NA
19,"VfB Concordia Britz 1916","Berliner SC II",2,3,NA,NA,NA
19,"SV Empor Berlin II","Berliner SV 1892",1,3,NA,NA,NA
19,"BSV Eintracht Mahlsdorf II","SC Borsigwalde 1910",3,3,NA,NA,NA
19,"FSV Berolina Stralau 1901","Türkiyemspor Berlin",3,2,NA,NA,NA
20,"BFC Meteor 06","TSV Rudow Berlin",2,2,NA,NA,NA
20,"FSV Berolina Stralau 1901","SV Stern Britz 1889",2,1,NA,NA,NA
20,"Berliner SV 1892","FC Viktoria 1889 Berlin II",1,3,NA,NA,NA
20,"BFC Preussen II","BSV Eintracht Mahlsdorf II",3,1,NA,NA,NA
20,"FC Internationale Berlin 1980","Berliner SC II",3,1,NA,NA,NA
20,"Köpenicker FC","SC Borsigwalde 1910",1,2,NA,NA,NA
20,"VfB Concordia Britz 1916","Türkiyemspor Berlin",2,0,NA,NA,NA
20,"SV Empor Berlin II","BSV Al-Dersimspor",2,3,NA,NA,NA
21,"BSV Al-Dersimspor","FC Internationale Berlin 1980",3,2,NA,NA,NA
21,"FC Viktoria 1889 Berlin II","BFC Preussen II",1,3,NA,NA,NA
21,"SV Stern Britz 1889","BFC Meteor 06",2,5,NA,NA,NA
21,"BSV Eintracht Mahlsdorf II","Köpenicker FC",2,6,NA,NA,NA
21,"Türkiyemspor Berlin","SV Empor Berlin II",2,1,NA,NA,NA
21,"Berliner SC II","Berliner SV 1892",1,3,NA,NA,NA
21,"TSV Rudow Berlin","VfB Concordia Britz 1916",2,0,NA,NA,NA
21,"SC Borsigwalde 1910","FSV Berolina Stralau 1901",6,3,NA,NA,NA
22,"FC Viktoria 1889 Berlin II","TSV Rudow Berlin",5,3,NA,NA,NA
22,"VfB Concordia Britz 1916","BFC Meteor 06",0,0,NA,NA,NA
22,"Berliner SV 1892","BFC Preussen II",5,0,NA,NA,NA
22,"Türkiyemspor Berlin","SV Stern Britz 1889",3,0,NA,NA,NA
22,"FC Internationale Berlin 1980","Köpenicker FC",2,4,NA,NA,NA
22,"Berliner SC II","BSV Eintracht Mahlsdorf II",1,2,NA,NA,NA
22,"BSV Al-Dersimspor","SC Borsigwalde 1910",2,2,NA,NA,NA
22,"SV Empor Berlin II","FSV Berolina Stralau 1901",2,2,NA,NA,NA
23,"TSV Rudow Berlin","FC Internationale Berlin 1980",2,1,NA,NA,NA
23,"BSV Eintracht Mahlsdorf II","BFC Meteor 06",1,6,NA,NA,NA
23,"FC Viktoria 1889 Berlin II","Köpenicker FC",3,0,NA,NA,NA
23,"SV Stern Britz 1889","SV Empor Berlin II",0,4,NA,NA,NA
23,"BSV Al-Dersimspor","Berliner SC II",1,3,NA,NA,NA
23,"Türkiyemspor Berlin","Berliner SV 1892",1,4,NA,NA,NA
23,"BFC Preussen II","FSV Berolina Stralau 1901",3,0,NA,NA,NA
23,"SC Borsigwalde 1910","VfB Concordia Britz 1916",1,4,NA,NA,NA
24,"BFC Meteor 06","SC Borsigwalde 1910",6,0,NA,NA,NA
24,"VfB Concordia Britz 1916","SV Stern Britz 1889",4,0,NA,NA,NA
24,"Köpenicker FC","BFC Preussen II",3,0,NA,NA,NA
24,"SV Empor Berlin II","TSV Rudow Berlin",0,4,NA,NA,NA
24,"Berliner SC II","FC Viktoria 1889 Berlin II",2,0,NA,NA,NA
24,"FSV Berolina Stralau 1901","BSV Eintracht Mahlsdorf II",4,1,NA,NA,NA
24,"FC Internationale Berlin 1980","Türkiyemspor Berlin",2,1,NA,NA,NA
24,"Berliner SV 1892","BSV Al-Dersimspor",7,1,NA,NA,NA
25,"SV Stern Britz 1889","Köpenicker FC",0,10,NA,NA,NA
25,"SC Borsigwalde 1910","BFC Preussen II",2,2,NA,NA,NA
25,"Türkiyemspor Berlin","BFC Meteor 06",0,1,NA,NA,NA
25,"Berliner SC II","SV Empor Berlin II",0,4,NA,NA,NA
25,"FC Viktoria 1889 Berlin II","BSV Eintracht Mahlsdorf II",5,1,NA,NA,NA
25,"BSV Al-Dersimspor","VfB Concordia Britz 1916",3,0,NA,NA,NA
25,"Berliner SV 1892","FC Internationale Berlin 1980",2,1,NA,NA,NA
25,"TSV Rudow Berlin","FSV Berolina Stralau 1901",5,0,NA,NA,NA
26,"BSV Al-Dersimspor","FC Viktoria 1889 Berlin II",NA,NA,0.233,0.279,0.488
26,"BFC Meteor 06","BFC Preussen II",NA,NA,0.434,0.301,0.264
26,"FC Internationale Berlin 1980","SV Stern Britz 1889",NA,NA,0.649,0.218,0.133
26,"Berliner SV 1892","TSV Rudow Berlin",NA,NA,0.281,0.314,0.405
26,"FSV Berolina Stralau 1901","Köpenicker FC",NA,NA,0.295,0.325,0.38
