matchday,H,A,Tore_H,Tore_A,where
11,BFC Meteor 06,BSV Eintracht Mahlsdorf II,1,0,home
11,Köpenicker FC,FC Viktoria 1889 Berlin II,3,3,home
11,SV Empor Berlin II,SV Stern Britz 1889,2,2,home
11,Berliner SC II,BSV Al-Dersimspor,2,0,home
11,Berliner SV 1892,Türkiyemspor Berlin,2,0,home
11,FSV Berolina Stralau 1901,BFC Preussen II,0,3,home
11,VfB Concordia Britz 1916,SC Borsigwalde 1910,3,4,home
11,TSV Rudow Berlin,FC Internationale Berlin 1980,1,1,away
11,BSV Eintracht Mahlsdorf II,BFC Meteor 06,0,1,away
11,FC Viktoria 1889 Berlin II,Köpenicker FC,3,3,away
11,SV Stern Britz 1889,SV Empor Berlin II,2,2,away
11,BSV Al-Dersimspor,Berliner SC II,0,2,away
11,Türkiyemspor Berlin,Berliner SV 1892,0,2,away
11,BFC Preussen II,FSV Berolina Stralau 1901,3,0,away
11,SC Borsigwalde 1910,VfB Concordia Britz 1916,4,3,away
12,BFC Meteor 06,Köpenicker FC,3,0,home
12,SV Empor Berlin II,BSV Eintracht Mahlsdorf II,1,8,home
12,FC Viktoria 1889 Berlin II,FSV Berolina Stralau 1901,3,6,home
12,Berliner SC II,TSV Rudow Berlin,1,2,home
12,Berliner SV 1892,SV Stern Britz 1889,1,0,home
12,FC Internationale Berlin 1980,SC Borsigwalde 1910,1,1,home
12,VfB Concordia Britz 1916,BFC Preussen II,1,2,home
12,BSV Al-Dersimspor,Türkiyemspor Berlin,0,2,home
12,Köpenicker FC,BFC Meteor 06,0,3,away
12,BSV Eintracht Mahlsdorf II,SV Empor Berlin II,8,1,away
12,FSV Berolina Stralau 1901,FC Viktoria 1889 Berlin II,6,3,away
12,TSV Rudow Berlin,Berliner SC II,2,1,away
12,SV Stern Britz 1889,Berliner SV 1892,0,1,away
12,SC Borsigwalde 1910,FC Internationale Berlin 1980,1,1,away
12,BFC Preussen II,VfB Concordia Britz 1916,2,1,away
12,Türkiyemspor Berlin,BSV Al-Dersimspor,2,0,away
13,BSV Eintracht Mahlsdorf II,FC Internationale Berlin 1980,2,1,home
13,BFC Preussen II,SV Empor Berlin II,3,2,home
13,SV Stern Britz 1889,Berliner SC II,0,3,home
13,Köpenicker FC,VfB Concordia Britz 1916,10,1,home
13,Türkiyemspor Berlin,FC Viktoria 1889 Berlin II,2,1,home
13,FSV Berolina Stralau 1901,BFC Meteor 06,2,4,home
13,SC Borsigwalde 1910,Berliner SV 1892,1,3,home
13,TSV Rudow Berlin,BSV Al-Dersimspor,2,0,home
13,FC Internationale Berlin 1980,BSV Eintracht Mahlsdorf II,1,2,away
13,SV Empor Berlin II,BFC Preussen II,2,3,away
13,Berliner SC II,SV Stern Britz 1889,3,0,away
13,VfB Concordia Britz 1916,Köpenicker FC,1,10,away
13,FC Viktoria 1889 Berlin II,Türkiyemspor Berlin,1,2,away
13,BFC Meteor 06,FSV Berolina Stralau 1901,4,2,away
13,Berliner SV 1892,SC Borsigwalde 1910,3,1,away
13,BSV Al-Dersimspor,TSV Rudow Berlin,0,2,away
14,BSV Eintracht Mahlsdorf II,TSV Rudow Berlin,0,0,home
14,SV Stern Britz 1889,SC Borsigwalde 1910,1,2,home
14,FC Viktoria 1889 Berlin II,SV Empor Berlin II,1,1,home
14,Berliner SC II,FSV Berolina Stralau 1901,1,0,home
14,Berliner SV 1892,BFC Meteor 06,1,2,home
14,FC Internationale Berlin 1980,VfB Concordia Britz 1916,7,1,home
14,Türkiyemspor Berlin,BFC Preussen II,2,6,home
14,BSV Al-Dersimspor,Köpenicker FC,1,5,home
14,TSV Rudow Berlin,BSV Eintracht Mahlsdorf II,0,0,away
14,SC Borsigwalde 1910,SV Stern Britz 1889,2,1,away
14,SV Empor Berlin II,FC Viktoria 1889 Berlin II,1,1,away
14,FSV Berolina Stralau 1901,Berliner SC II,0,1,away
14,BFC Meteor 06,Berliner SV 1892,2,1,away
14,VfB Concordia Britz 1916,FC Internationale Berlin 1980,1,7,away
14,BFC Preussen II,Türkiyemspor Berlin,6,2,away
