Rank,Team,Nr,Name,Pos,Spielzeit,Score
208,Köpenicker FC,18,Roman Ilinseer,ST,1093,0.559
209,Türkiyemspor Berlin,NA,Mehmet Tunay,LM,1051,0.557
210,SC Borsigwalde 1910,15,Firat Yildirim,ZDM,1116,0.557
211,SV Empor Berlin II,15,Philipp Macketanz,LV,1061,0.555
212,SC Borsigwalde 1910,5,Eren Motuk,IV,938,0.555
213,Köpenicker FC,8,Jonas Weigelt,IV,1070,0.554
214,FC Viktoria 1889 Berlin II,4,David Nagel,IV,431,0.553
215,FC Viktoria 1889 Berlin II,5,Ismail Bendjelloul,ZDM,758,0.553
216,SV Empor Berlin II,10,Leon Drannaschk,LM,1280,0.553
217,Köpenicker FC,NA,Tom Rostock,RM,235,0.549
218,Türkiyemspor Berlin,12,Ali Ismail Gashi,ZDM,583,0.548
219,SV Empor Berlin II,20,Laurens Cerny,ZM,1181,0.547
220,FSV Berolina Stralau 1901,11,Yussef Jradi,LM,1269,0.544
221,SC Borsigwalde 1910,NA,Marcel Knaack,ST,737,0.542
222,FSV Berolina Stralau 1901,6,Akiyasu Tsuchiya,ZM,407,0.541
223,VfB Concordia Britz 1916,23,Benedikt Schmidtmann,RV,1778,0.536
224,Türkiyemspor Berlin,17,Florian Nikolai Thalhofer,RV,1041,0.532
225,VfB Concordia Britz 1916,5,Tim Wenke,IV,1171,0.531
226,FSV Berolina Stralau 1901,3,Robert Adler,ST,344,0.53
227,BSV Eintracht Mahlsdorf II,15,Tim Pötig,RV,1464,0.53
228,BSV Eintracht Mahlsdorf II,NA,Tim-Luca Eberl,RM,989,0.527
229,Berliner SC II,NA,Linus Dersch,RM,529,0.526
230,VfB Concordia Britz 1916,6,Felix Weglöhner,RM,1824,0.526
231,BFC Meteor 06,14,Steven Demarr Saunders,RM,582,0.525
232,Türkiyemspor Berlin,NA,Mustafa Kenan Yigitoglu,IV,1063,0.52
233,SV Empor Berlin II,23,Nico Bochnia,ST,1029,0.519
234,Türkiyemspor Berlin,11,Mustafa Kemal Karaman,LV,1230,0.516
235,SC Borsigwalde 1910,9,Fabio Rondinelli,RM,1262,0.515
236,SV Empor Berlin II,3,Niclas Nixdorf,IV,1464,0.514
237,BSV Al-Dersimspor,12,Argjent Krasniqi,ST,1689,0.514
238,Berliner SV 1892,9,Sebastian Sobczyk,ST,506,0.512
239,SC Borsigwalde 1910,17,Philip Bartoschek,ZOM,342,0.511
240,FSV Berolina Stralau 1901,5,Eric Stier,ST,1287,0.502
241,Berliner SC II,23,Ezher Akbulut,LM,1427,0.501
242,Türkiyemspor Berlin,NA,Volkan Neziroglu,ST,927,0.5
243,VfB Concordia Britz 1916,NA,Yannic Behrendt,IV,509,0.497
244,SC Borsigwalde 1910,49,Kenneth Weise,IV,1144,0.496
245,BFC Preussen II,25,Christian Müller,ZDM,719,0.494
246,VfB Concordia Britz 1916,1,Leon Ketel,TW,1215,0.492
247,BFC Preussen II,13,Rommel Abou-Chaker,ST,541,0.49
248,SV Stern Britz 1889,7,Dustin Sik,RM,1171,0.49
249,Türkiyemspor Berlin,21,Koray Aktas,TW,561,0.49
250,Türkiyemspor Berlin,16,Habib Jalloh,LM,519,0.483
251,SV Empor Berlin II,5,Elias Thürigen,IV,1264,0.482
252,BSV Eintracht Mahlsdorf II,18,Kay Szczech,ZM,1135,0.48
253,FSV Berolina Stralau 1901,8,Pablo Guillen,ZM,950,0.478
254,SV Stern Britz 1889,22,Luca Wojan,ZDM,1404,0.478
255,SV Empor Berlin II,8,Milo Lippe,ZM,1201,0.478
256,BFC Preussen II,NA,Dan Feldmann,ST,272,0.471
257,BFC Preussen II,14,Alexander Gajda,RV,490,0.47
258,BFC Meteor 06,8,Fredy Balde,LM,187,0.466
259,BSV Al-Dersimspor,NA,Ryan Smith Mabom Njiki,ZDM,585,0.466
260,SV Empor Berlin II,14,Tilman Schinzel,IV,1530,0.465
261,FC Internationale Berlin 1980,16,Marlon Mayen Guzman,LM,464,0.464
262,FC Internationale Berlin 1980,4,Nicolas Costa Echeverria,IV,1980,0.463
263,Berliner SV 1892,6,Chidera Iwuozor,LM,349,0.462
264,FC Viktoria 1889 Berlin II,29,Alican Ali,ST,552,0.462
265,SV Empor Berlin II,NA,Aaron Yusuff,TW,1122,0.462
266,TSV Rudow Berlin,6,Jan-Eric Frank,IV,410,0.457
267,FC Internationale Berlin 1980,3,Jamie Dell Bullock,LV,686,0.456
268,VfB Concordia Britz 1916,29,Patrick Wenke,IV,897,0.454
269,BSV Al-Dersimspor,NA,Kerem Filiz,IV,264,0.453
270,FSV Berolina Stralau 1901,18,David Bode,RV,566,0.453
271,Berliner SC II,25,Eike Barth,ST,529,0.45
272,BSV Al-Dersimspor,3,Mücahid Kahraman,RV,1176,0.447
273,FC Internationale Berlin 1980,9,Albert Bauder,ST,357,0.447
274,FSV Berolina Stralau 1901,7,Adrian Welch,ST,430,0.445
275,SV Stern Britz 1889,1,Timo Ziebarth,TW,1440,0.444
276,SV Empor Berlin II,22,Laszlo Braun,LM,715,0.443
277,BSV Al-Dersimspor,44,Kaan Ucbaglar,LM,402,0.44
278,Köpenicker FC,3,Luca Munsky,LV,922,0.439
279,BSV Eintracht Mahlsdorf II,21,Kilian Oliver Reinke,LV,1070,0.439
280,VfB Concordia Britz 1916,26,Amir-Mohamad Yassine,LM,308,0.435
281,VfB Concordia Britz 1916,19,Arne-Luca Auctun,IV,1357,0.431
282,Köpenicker FC,20,Oskar Klauke,LV,326,0.43
283,FC Internationale Berlin 1980,30,Oscar Reinaldo Avendano Leon,LM,495,0.427
284,VfB Concordia Britz 1916,4,Merdan Köse,RV,945,0.425
285,Türkiyemspor Berlin,6,Kenan Özen,ZDM,623,0.423
286,FSV Berolina Stralau 1901,21,Noah Maiß,ZM,630,0.423
287,FSV Berolina Stralau 1901,NA,Ali Esweiei,LM,261,0.421
288,SV Empor Berlin II,11,Dennis Seiler,IV,1067,0.419
289,Berliner SC II,8,Nicolas Wolski,RV,560,0.418
290,SV Stern Britz 1889,29,Cliff Boanu,LM,1629,0.418
291,Köpenicker FC,7,Tobias Brandt,RM,878,0.417
292,FSV Berolina Stralau 1901,17,Arian Saiti,RV,943,0.413
293,Köpenicker FC,14,Anton Neumann,ZM,790,0.41
294,BSV Al-Dersimspor,25,Karsten Schleifring,ST,201,0.409
295,BSV Al-Dersimspor,9,William Essel,LM,528,0.409
296,SV Empor Berlin II,12,Keita Udo,ZM,570,0.405
297,Köpenicker FC,5,Tom Nischwitz,IV,798,0.402
298,SC Borsigwalde 1910,6,Adam Barnat,LM,472,0.402
299,SV Stern Britz 1889,18,Jonas Lück,TW,866,0.397
300,SV Empor Berlin II,NA,Billy Bradley Tuckerman,RM,419,0.397
301,BSV Al-Dersimspor,7,Emre-Eyüp Önal,ZDM,909,0.396
302,BSV Al-Dersimspor,63,Onur Kalkan,IV,944,0.385
303,Berliner SV 1892,25,Robin Wolff,ST,302,0.377
304,Türkiyemspor Berlin,9,Muzaffer Kirimoglu,ST,569,0.377
305,SV Stern Britz 1889,19,Oguzhan Duman,ZOM,1114,0.372
306,SV Stern Britz 1889,6,Timo Höhna,LV,1473,0.37
307,SV Stern Britz 1889,24,Dennis Pyplatz,ZDM,1641,0.369
308,SV Stern Britz 1889,20,Shaker Shawrdi,LM,1308,0.362
309,BSV Eintracht Mahlsdorf II,6,Oliver Spigaht,RM,913,0.355
310,Türkiyemspor Berlin,17,Tamer Emre Ertürkler,ST,340,0.353
311,TSV Rudow Berlin,29,Süleyman Aktas,TW,130,0.351
312,FC Internationale Berlin 1980,1,Cristobal Del Fierro,NA,1980,0.347
313,SV Empor Berlin II,7,Jonathan Stolp,RM,679,0.334
314,Berliner SC II,13,Alexander Huse,ST,462,0.332
315,SV Stern Britz 1889,26,Naim Senay,IV,1251,0.332
316,SV Empor Berlin II,19,Alvenzio Ettah,ZM,1187,0.332
317,Berliner SC II,11,Danilo Arsic,ST,328,0.327
318,BSV Eintracht Mahlsdorf II,NA,Maximilian Widmer,LM,370,0.324
319,SV Empor Berlin II,21,Rafael Mentrup,LM,821,0.318
320,BFC Meteor 06,99,Mohammed Hamiss,LM,244,0.316
321,SV Stern Britz 1889,27,Luca Ehrich,ZDM,1295,0.312
322,SV Stern Britz 1889,5,Miran Aykus,IV,659,0.312
323,VfB Concordia Britz 1916,17,Philip Wieser,ZM,1112,0.299
324,VfB Concordia Britz 1916,27,Yevgen Igorovic Lozynsky,NA,1684,0.295
325,FSV Berolina Stralau 1901,NA,Milan Stricker,ST,420,0.295
326,SV Stern Britz 1889,15,Ali Mert Koca,ZOM,791,0.294
327,BFC Preussen II,45,Theo Kagoue,RM,654,0.29
328,FC Viktoria 1889 Berlin II,13,Konstantin- Alexander Westhäußer,RV,1723,0.287
329,VfB Concordia Britz 1916,7,Jerry Gase,ST,1591,0.286
330,SV Stern Britz 1889,30,Benis Leci,IV,1537,0.276
331,FSV Berolina Stralau 1901,14,Philipp Nikolajewski,IV,1020,0.274
332,SV Stern Britz 1889,37,Marcel Frobenius,RV,1083,0.261
333,Berliner SV 1892,NA,Nicht öffentlich,NA,998,0.259
334,VfB Concordia Britz 1916,30,Björn Röchert,IV,701,0.258
335,SV Stern Britz 1889,13,Nico Hauf,IV,1101,0.244
336,FC Internationale Berlin 1980,NA,Maximilian Louis Alexis Caspar de Rosnay,NA,609,0.239
337,SC Borsigwalde 1910,NA,Ahmad Chehade,LV,341,0.235
338,FC Internationale Berlin 1980,17,Maximilian De Rosnay,NA,690,0.222
339,FC Internationale Berlin 1980,12,Marcos Adrian Castro Barbera,NA,980,0.218
340,VfB Concordia Britz 1916,25,Jordy Gase,ST,1203,0.211
341,Berliner SC II,7,Nelson Antoniofrancisco,LM,265,0.21
342,BSV Al-Dersimspor,94,Welton Pereira Dos Santos,NA,1098,0.21
343,BSV Al-Dersimspor,17,Sercan-Günay Seyyidoglu,LM,375,0.198
344,SV Stern Britz 1889,17,Leonit Leci,IV,866,0.192
345,TSV Rudow Berlin,23,Dominik Thonfeld,ST,320,0.191
346,Türkiyemspor Berlin,NA,Görkem Tozlu,IV,290,0.191
347,VfB Concordia Britz 1916,11,Darnell Bruns,ST,520,0.183
348,Köpenicker FC,NA,Marques Brunow,RV,169,0.183
349,Köpenicker FC,21,Jose Antonio Ondo Mangue,NA,778,0.173
350,BFC Meteor 06,69,Eriseld Tafilaj,NA,797,0.163
351,VfB Concordia Britz 1916,24,Joao Victor Souza Rosa,NA,740,0.152
352,VfB Concordia Britz 1916,10,Deniz Gassen,ZM,318,0.15
353,SC Borsigwalde 1910,NA,Daniel Mpembele Nzongo,ST,489,0.145
354,Köpenicker FC,2,Osben-Dario Ondo Mangue,NA,466,0.129
355,BFC Meteor 06,70,Rick Mickael Ella,LM,257,0.128
356,SV Stern Britz 1889,NA,John Coker,ST,195,0.076
357,FC Internationale Berlin 1980,77,Jim Bratschke,RM,166,0.065
358,BFC Preussen II,11,Vahit Engin,NA,154,0.06
359,FC Viktoria 1889 Berlin II,20,Marvin Knape,RV,151,0.059
360,SV Stern Britz 1889,3,Okan Özkaya,NA,125,0.049
361,FC Viktoria 1889 Berlin II,12,Nana Nkrumah,ST,180,0.042
362,FC Internationale Berlin 1980,77,Amin Malik Chahed,NA,114,0.04
363,FSV Berolina Stralau 1901,13,Leeroy-Life Leffke,NA,117,0.037
364,FC Viktoria 1889 Berlin II,16,Ognyan Stefanov,NA,72,0.025
