"team","Rank","Count","Probability"
"Türkiyemspor Berlin","Rank_16",0,0
"FC Internationale Berlin 1980","Rank_1",0,0
"FC Internationale Berlin 1980","Rank_2",0,0
"FC Internationale Berlin 1980","Rank_3",0,0
"FC Internationale Berlin 1980","Rank_4",0,0
"FC Internationale Berlin 1980","Rank_5",0,0
"FC Internationale Berlin 1980","Rank_6",8,0.4
"FC Internationale Berlin 1980","Rank_7",218,10.9
"FC Internationale Berlin 1980","Rank_8",680,34
"FC Internationale Berlin 1980","Rank_9",1451,72.6
"FC Internationale Berlin 1980","Rank_10",1560,78
"FC Internationale Berlin 1980","Rank_11",1198,59.9
"FC Internationale Berlin 1980","Rank_12",621,31
"FC Internationale Berlin 1980","Rank_13",264,13.2
"FC Internationale Berlin 1980","Rank_14",0,0
"FC Internationale Berlin 1980","Rank_15",0,0
"FC Internationale Berlin 1980","Rank_16",0,0
"Berliner SC II","Rank_1",0,0
"Berliner SC II","Rank_2",0,0
"Berliner SC II","Rank_3",0,0
"Berliner SC II","Rank_4",0,0
"Berliner SC II","Rank_5",0,0
"Berliner SC II","Rank_6",2,0.1
"Berliner SC II","Rank_7",80,4
"Berliner SC II","Rank_8",342,17.1
"Berliner SC II","Rank_9",754,37.7
"Berliner SC II","Rank_10",1269,63.4
"Berliner SC II","Rank_11",1375,68.8
"Berliner SC II","Rank_12",1307,65.3
"Berliner SC II","Rank_13",855,42.8
"Berliner SC II","Rank_14",16,0.8
"Berliner SC II","Rank_15",0,0
"Berliner SC II","Rank_16",0,0
"BSV Al-Dersimspor","Rank_1",0,0
"BSV Al-Dersimspor","Rank_2",0,0
"BSV Al-Dersimspor","Rank_3",0,0
"BSV Al-Dersimspor","Rank_4",0,0
"BSV Al-Dersimspor","Rank_5",0,0
"BSV Al-Dersimspor","Rank_6",0,0
"BSV Al-Dersimspor","Rank_7",14,0.7
"BSV Al-Dersimspor","Rank_8",89,4.4
"BSV Al-Dersimspor","Rank_9",348,17.4
"BSV Al-Dersimspor","Rank_10",692,34.6
"BSV Al-Dersimspor","Rank_11",1183,59.2
"BSV Al-Dersimspor","Rank_12",1624,81.2
"BSV Al-Dersimspor","Rank_13",1985,99.2
"BSV Al-Dersimspor","Rank_14",63,3.1
"BSV Al-Dersimspor","Rank_15",2,0.1
"BSV Al-Dersimspor","Rank_16",0,0
"SV Empor Berlin II","Rank_1",0,0
"SV Empor Berlin II","Rank_2",0,0
"SV Empor Berlin II","Rank_3",0,0
"SV Empor Berlin II","Rank_4",0,0
"SV Empor Berlin II","Rank_5",0,0
"SV Empor Berlin II","Rank_6",0,0
"SV Empor Berlin II","Rank_7",0,0
"SV Empor Berlin II","Rank_8",0,0
"SV Empor Berlin II","Rank_9",0,0
"SV Empor Berlin II","Rank_10",1,0
"SV Empor Berlin II","Rank_11",3,0.1
"SV Empor Berlin II","Rank_12",16,0.8
"SV Empor Berlin II","Rank_13",80,4
"SV Empor Berlin II","Rank_14",4265,213.2
"SV Empor Berlin II","Rank_15",1555,77.8
"SV Empor Berlin II","Rank_16",80,4
