scorer,team,opponent,minute,score
Ilinseer,Köpenicker FC,Berliner SC II,33,2:0
Preiss,BSV Eintracht Mahlsdorf II,Türkiyemspor Berlin,22,1:0
Reuter,FSV Berolina Stralau 1901,Berliner SV 1892,32,1:0
Bresemann,FSV Berolina Stralau 1901,Berliner SV 1892,62,2:1
Heßler,FSV Berolina Stralau 1901,Berliner SV 1892,69,3:1
Jerry J. Gase,VfB Concordia Britz 1916,SV Empor Berlin II,6,1:0
Eigentor,TSV Rudow Berlin,SC Borsigwalde 1910,48,1:1
Ait Manssour,FC Viktoria 1889 Berlin II,SV Stern Britz 1889,47,0:1
Ait Manssour,FC Viktoria 1889 Berlin II,SV Stern Britz 1889,51,0:2
Llauger,FC Viktoria 1889 Berlin II,SV Stern Britz 1889,69,0:3
French,FC Internationale Berlin 1980,BFC Meteor 06,5,0:1
Uzun,Türkiyemspor Berlin,BSV Eintracht Mahlsdorf II,43,1:1
M. Pereira,Türkiyemspor Berlin,BSV Eintracht Mahlsdorf II,45,1:2
Wolff,Berliner SV 1892,FSV Berolina Stralau 1901,39,1:1
Elsaadawi,Berliner SV 1892,FSV Berolina Stralau 1901,84,3:2
Busche,Berliner SV 1892,FSV Berolina Stralau 1901,87,3:3
Boanu,SV Stern Britz 1889,TSV Rudow Berlin,51,1:1
Höhle,VfB Concordia Britz 1916,FC Viktoria 1889 Berlin II,8,1:1
Höhle,VfB Concordia Britz 1916,FC Viktoria 1889 Berlin II,51,2:2
Böhm,BFC Meteor 06,SV Empor Berlin II,19,1:0
Ajala-Alexis,BFC Meteor 06,SV Empor Berlin II,71,2:2
3:2  (72.) Ajala-Alexis,BFC Meteor 06,SV Empor Berlin II,72,3:2
Böhm,BFC Meteor 06,SV Empor Berlin II,90,4:2
Ugbogbo,BFC Preussen II,Berliner SC II,27,1:1
Stahlberg,BFC Preussen II,Berliner SC II,45,2:1
Engelsing,BFC Preussen II,Berliner SC II,53,3:1
Bresemann,FSV Berolina Stralau 1901,FC Internationale Berlin 1980,13,1:0
Bresemann,FSV Berolina Stralau 1901,FC Internationale Berlin 1980,34,2:0
Klessny,FSV Berolina Stralau 1901,FC Internationale Berlin 1980,54,3:1
Cordoba Moreno,BSV Eintracht Mahlsdorf II,BSV Al-Dersimspor,53,1:0
Cordoba Moreno,BSV Eintracht Mahlsdorf II,BSV Al-Dersimspor,67,2:0
Maykowski,TSV Rudow Berlin,SV Stern Britz 1889,37,0:1
Youssef,TSV Rudow Berlin,SV Stern Britz 1889,70,1:3
Ait Manssour,FC Viktoria 1889 Berlin II,VfB Concordia Britz 1916,7,0:1
Schäfers Llauger,FC Viktoria 1889 Berlin II,VfB Concordia Britz 1916,49,1:2
2:3 Weinlein (90.+4),FC Viktoria 1889 Berlin II,VfB Concordia Britz 1916,90,2:3
Schäfer,SV Empor Berlin II,BFC Meteor 06,39,1:1
Marquard,SV Empor Berlin II,BFC Meteor 06,57,1:2
Peter,Berliner SC II,BFC Preussen II,24,0:1
Einspannier,Berliner SC II,BFC Preussen II,67,3:2
Paschke,Berliner SV 1892,Köpenicker FC,59,0:1
Schleifenbaum,Berliner SV 1892,Köpenicker FC,79,0:2
Tedesco,Berliner SV 1892,Köpenicker FC,87,0:3
Schindler,FC Internationale Berlin 1980,FSV Berolina Stralau 1901,36,2:1
Günther,TSV Rudow Berlin,BSV Eintracht Mahlsdorf II,45,1:0
Burda,TSV Rudow Berlin,BSV Eintracht Mahlsdorf II,69,2:0
Fu. Yildirim,SC Borsigwalde 1910,SV Stern Britz 1889,16,1:0
"Aslan, 3:0 (31.) Knaack",SC Borsigwalde 1910,SV Stern Britz 1889,22,2:0
Knaack,SC Borsigwalde 1910,SV Stern Britz 1889,35,4:0
Daniel Nzongo,SC Borsigwalde 1910,SV Stern Britz 1889,53,5:1
Daniel Nzongo,SC Borsigwalde 1910,SV Stern Britz 1889,56,6:1
Fu. Yildirim,SC Borsigwalde 1910,SV Stern Britz 1889,66,7:1
Schäfer,SV Empor Berlin II,FC Viktoria 1889 Berlin II,29,1:1
Schäfer,SV Empor Berlin II,FC Viktoria 1889 Berlin II,32,2:1
Thürigen,SV Empor Berlin II,FC Viktoria 1889 Berlin II,59,3:2
Ploschenz,SV Empor Berlin II,FC Viktoria 1889 Berlin II,90,4:2
Klessny,FSV Berolina Stralau 1901,Berliner SC II,21,1:0
Heßler,FSV Berolina Stralau 1901,Berliner SC II,27,2:0
Schwarz,FSV Berolina Stralau 1901,Berliner SC II,47,3:0
Riese,BFC Meteor 06,Berliner SV 1892,17,1:0
Adigüzel,BFC Meteor 06,Berliner SV 1892,68,2:1
Karasu,BFC Meteor 06,Berliner SV 1892,90,3:1
Höhle,VfB Concordia Britz 1916,FC Internationale Berlin 1980,23,1:0
Weglöhner,VfB Concordia Britz 1916,FC Internationale Berlin 1980,43,2:0
"Hajjaj, 2:0 (21.) Hartwig, 3:0 (32.) Timur, 4:0 (48., FE) Yilmaz, 4:1 (57.) Saberdest, 4:2 (64.) Neziroglu, 4:3 (70.) Tunay, 5:3 (70.) Ubgogbo, 5:4 (90.+4) Karaman. GELB-ROTE KARTE: 80. Kohlmann (F+F). BESTE SPIELER: Yilmaz, Mucuk, Hajjaj – Neziroglu, Karaman",BFC Preussen II,Türkiyemspor Berlin,8,1:0
Bohnsack,Köpenicker FC,BSV Al-Dersimspor,16,1:1
Bohnsack,Köpenicker FC,BSV Al-Dersimspor,17,2:1
Bohnsack,Köpenicker FC,BSV Al-Dersimspor,27,3:1
Hartmann,Köpenicker FC,BSV Al-Dersimspor,58,4:1
Tauschwitz,Köpenicker FC,BSV Al-Dersimspor,63,5:1
Duman,SV Stern Britz 1889,SC Borsigwalde 1910,50,4:1
Thiele,FC Viktoria 1889 Berlin II,SV Empor Berlin II,28,0:1
Ali,FC Viktoria 1889 Berlin II,SV Empor Berlin II,47,2:2
Weinlein,FC Viktoria 1889 Berlin II,SV Empor Berlin II,90,4:3
Dersch,Berliner SC II,FSV Berolina Stralau 1901,83,3:1
Paschke,Berliner SV 1892,BFC Meteor 06,62,1:1
Günaydin,BSV Al-Dersimspor,Köpenicker FC,5,0:1
M. Günther,TSV Rudow Berlin,BFC Preussen II,26,1:0
