scorer,team,opponent,minute,score
Macave,BSV Eintracht Mahlsdorf II,Berliner SC II,79,1:2
Kummer,SC Borsigwalde 1910,BSV Al-Dersimspor,8,0:1
Rondinelli,SC Borsigwalde 1910,BSV Al-Dersimspor,68,1:2
Stier,FSV Berolina Stralau 1901,SV Empor Berlin II,35,1:1
Esweiei,FSV Berolina Stralau 1901,SV Empor Berlin II,76,2:2
Bähr,TSV Rudow Berlin,FC Internationale Berlin 1980,24,1:0
Wuthe,TSV Rudow Berlin,FC Internationale Berlin 1980,84,2:1
Isberner,BSV Eintracht Mahlsdorf II,BFC Meteor 06,39,1:2
Almedom,FC Viktoria 1889 Berlin II,Köpenicker FC,16,1:0
Dieckert,FC Viktoria 1889 Berlin II,Köpenicker FC,65,2:0
Thiele,FC Viktoria 1889 Berlin II,Köpenicker FC,86,3:0
Diokhane,BSV Al-Dersimspor,Berliner SC II,9,1:0
Neziroglu,Türkiyemspor Berlin,Berliner SV 1892,76,1:3
Engelsing,BFC Preussen II,FSV Berolina Stralau 1901,47,1:0
Isik,BFC Preussen II,FSV Berolina Stralau 1901,67,2:0
Kagoue,BFC Preussen II,FSV Berolina Stralau 1901,72,3:0
Knaack,SC Borsigwalde 1910,VfB Concordia Britz 1916,42,1:0
Stanley,FC Internationale Berlin 1980,TSV Rudow Berlin,76,1:1
Ugur,BFC Meteor 06,BSV Eintracht Mahlsdorf II,1,0:1
Jüterbock,BFC Meteor 06,BSV Eintracht Mahlsdorf II,26,0:2
Jüterbock,BFC Meteor 06,BSV Eintracht Mahlsdorf II,45,1:3
Böhm,BFC Meteor 06,BSV Eintracht Mahlsdorf II,67,1:4
Heimur,BFC Meteor 06,BSV Eintracht Mahlsdorf II,88,1:5
Heimur,BFC Meteor 06,BSV Eintracht Mahlsdorf II,89,1:6
Möller,SV Empor Berlin II,SV Stern Britz 1889,4,0:1
Bochnia,SV Empor Berlin II,SV Stern Britz 1889,20,0:2
Tuckerman,SV Empor Berlin II,SV Stern Britz 1889,78,0:3
Mendy,SV Empor Berlin II,SV Stern Britz 1889,90,0:4
Lorenz,Berliner SC II,BSV Al-Dersimspor,20,1:1
Arsic,Berliner SC II,BSV Al-Dersimspor,75,1:2
Kaggelidids,Berliner SC II,BSV Al-Dersimspor,86,1:3
Charkov,Berliner SV 1892,Türkiyemspor Berlin,14,0:1
Zauner,Berliner SV 1892,Türkiyemspor Berlin,22,0:2
Bellin,Berliner SV 1892,Türkiyemspor Berlin,27,0:3
Busche,Berliner SV 1892,Türkiyemspor Berlin,78,1:4
Krampah,VfB Concordia Britz 1916,SC Borsigwalde 1910,49,1:1
Souza Rosa,VfB Concordia Britz 1916,SC Borsigwalde 1910,57,1:2
Höhle,VfB Concordia Britz 1916,SC Borsigwalde 1910,69,1:3
Krampah,VfB Concordia Britz 1916,SC Borsigwalde 1910,90,1:4
Karasu,BFC Meteor 06,SC Borsigwalde 1910,24,1:0
Böhm,BFC Meteor 06,SC Borsigwalde 1910,27,2:0
Heimur,BFC Meteor 06,SC Borsigwalde 1910,32,3:0
Böhm,BFC Meteor 06,SC Borsigwalde 1910,43,4:0
Böhm,BFC Meteor 06,SC Borsigwalde 1910,53,5:0
Hamiss,BFC Meteor 06,SC Borsigwalde 1910,90,6:0
Eigentor,VfB Concordia Britz 1916,SV Stern Britz 1889,3,1:0
Krampah,VfB Concordia Britz 1916,SV Stern Britz 1889,10,2:0
Souza Rosa,VfB Concordia Britz 1916,SV Stern Britz 1889,34,3:0
Kühn,VfB Concordia Britz 1916,SV Stern Britz 1889,77,4:0
Wittenburg,Köpenicker FC,BFC Preussen II,45,1:0
Brandt,Köpenicker FC,BFC Preussen II,71,2:0
Hartmann,Köpenicker FC,BFC Preussen II,79,3:0
Kücükosman,Berliner SC II,FC Viktoria 1889 Berlin II,41,1:0
Leitner,Berliner SC II,FC Viktoria 1889 Berlin II,76,2:0
Schönfelder,FSV Berolina Stralau 1901,BSV Eintracht Mahlsdorf II,24,1:1
Bresemann,FSV Berolina Stralau 1901,BSV Eintracht Mahlsdorf II,81,2:1
Bresemann,FSV Berolina Stralau 1901,BSV Eintracht Mahlsdorf II,89,3:1
Schwarz,FSV Berolina Stralau 1901,BSV Eintracht Mahlsdorf II,90,4:1
Daus,FC Internationale Berlin 1980,Türkiyemspor Berlin,9,1:0
Stanley,FC Internationale Berlin 1980,Türkiyemspor Berlin,30,2:1
Schleifenbaum,Berliner SV 1892,BSV Al-Dersimspor,6,1:0
Busche,Berliner SV 1892,BSV Al-Dersimspor,8,2:0
Tedesco,Berliner SV 1892,BSV Al-Dersimspor,11,3:0
Bellin,Berliner SV 1892,BSV Al-Dersimspor,46,4:1
"Bellin, 6:1 (60.) Tedesco",Berliner SV 1892,BSV Al-Dersimspor,56,5:1
Zauner,Berliner SV 1892,BSV Al-Dersimspor,76,7:1
Günther,TSV Rudow Berlin,SV Empor Berlin II,12,0:1
Günther,TSV Rudow Berlin,SV Empor Berlin II,81,0:2
Murseli,TSV Rudow Berlin,SV Empor Berlin II,83,0:3
Günther,TSV Rudow Berlin,SV Empor Berlin II,90,0:4
Stöver,BSV Eintracht Mahlsdorf II,FSV Berolina Stralau 1901,7,0:1
Neziroglu,Türkiyemspor Berlin,FC Internationale Berlin 1980,11,1:1
Baba,BSV Al-Dersimspor,Berliner SV 1892,42,3:1
Rondinelli,SC Borsigwalde 1910,BFC Preussen II,32,1:0
Crone,SC Borsigwalde 1910,BFC Preussen II,85,2:2
Schäfers Llauger,FC Viktoria 1889 Berlin II,BSV Eintracht Mahlsdorf II,4,1:0
Chaehyun,FC Viktoria 1889 Berlin II,BSV Eintracht Mahlsdorf II,21,2:1
Weinlein,FC Viktoria 1889 Berlin II,BSV Eintracht Mahlsdorf II,62,3:1
Weinlein,FC Viktoria 1889 Berlin II,BSV Eintracht Mahlsdorf II,70,4:1
Ait Manssour,FC Viktoria 1889 Berlin II,BSV Eintracht Mahlsdorf II,77,5:1
"Krasniqi, 2:0 (45.+2) Baba",BSV Al-Dersimspor,VfB Concordia Britz 1916,27,1:0
Baba,BSV Al-Dersimspor,VfB Concordia Britz 1916,60,3:0
Zauner,Berliner SV 1892,FC Internationale Berlin 1980,4,1:0
Zauner,Berliner SV 1892,FC Internationale Berlin 1980,18,2:0
Senur,TSV Rudow Berlin,FSV Berolina Stralau 1901,14,1:0
Badu-Amoah,TSV Rudow Berlin,FSV Berolina Stralau 1901,20,2:0
Günther,TSV Rudow Berlin,FSV Berolina Stralau 1901,38,3:0
Günther,TSV Rudow Berlin,FSV Berolina Stralau 1901,73,4:0
Hortum,TSV Rudow Berlin,FSV Berolina Stralau 1901,90,5:0
Tauschwitz,Köpenicker FC,SV Stern Britz 1889,16,0:1
Bohnsack,Köpenicker FC,SV Stern Britz 1889,22,0:2
Hartmann,Köpenicker FC,SV Stern Britz 1889,30,0:3
Brandt,Köpenicker FC,SV Stern Britz 1889,36,0:4
Tauschwitz,Köpenicker FC,SV Stern Britz 1889,45,0:5
Wittenburg,Köpenicker FC,SV Stern Britz 1889,47,0:6
Ilinseer,Köpenicker FC,SV Stern Britz 1889,57,0:7
J. Ondo Mangue,Köpenicker FC,SV Stern Britz 1889,66,0:8
Hartmann,Köpenicker FC,SV Stern Britz 1889,85,0:9
(87.) 0:10 Hartmann,Köpenicker FC,SV Stern Britz 1889,87,NA
Mucuk,BFC Preussen II,SC Borsigwalde 1910,48,1:1
Ugbogbo,BFC Preussen II,SC Borsigwalde 1910,77,1:2
Hamiss,BFC Meteor 06,Türkiyemspor Berlin,66,0:1
Ako,SV Empor Berlin II,Berliner SC II,30,0:1
Albrecht,SV Empor Berlin II,Berliner SC II,39,0:2
Lippe,SV Empor Berlin II,Berliner SC II,44,0:3
Faizi,SV Empor Berlin II,Berliner SC II,50,0:4
Reinke,BSV Eintracht Mahlsdorf II,FC Viktoria 1889 Berlin II,5,1:1
Schneider,FC Internationale Berlin 1980,Berliner SV 1892,31,2:1
Diokhane,BSV Al-Dersimspor,FC Viktoria 1889 Berlin II,15,1:0
