ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,avg_playtime_per_game,scorerpoints_per_game,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,normalized_points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
494671,Ugurcan Yilmaz,BFC Preussen II,12,3,0,0,0,0,1,2,894,0,48,0.331,0.828,0.25,1,0.083,25,11,1,2.273,0.758,0.787,ZOM,ST,42%,17%
494672,Oguzhan Duman,SV Stern Britz 1889,19,3,0,2,0,0,8,3,1114,0,19,0.413,0.651,0.158,2,0.105,6,11,8,0.545,0.182,0.372,ZOM,ST,32%,16%
496051,Dennis Wegner,SV Empor Berlin II,1,0,0,0,0,0,0,0,90,0,NA,0.033,1,0,0,0,0,1,0,0,0,0.207,RV,NA,100%,0%
496087,Le-Roy Da-Costa,VfB Concordia Britz 1916,6,2,0,0,0,0,5,1,268,0,9,0.099,0.496,0.333,1,0.167,3,2,4,1.5,0.5,0.519,ST,ZM,17%,17%
497696,Kay Szczech,BSV Eintracht Mahlsdorf II,21,1,0,0,0,0,11,4,1135,0,18,0.42,0.601,0.048,3,0.143,9,9,12,1,0.333,0.48,ZM,RM,19%,10%
499196,Dennis Rötzscher,TSV Rudow Berlin,9,0,0,0,0,0,1,5,595,1,18,0.22,0.735,0,0,0,11,6,3,1.833,0.611,0.619,ZDM,LV,33%,11%
507979,Patrick Boel,BSV Al-Dersimspor,19,0,0,0,0,0,0,0,1710,1,1,0.633,1,0,1,0.053,19,19,0,1,0.333,0.576,TW,NA,95%,0%
519263,Malte Hartmann,BFC Preussen II,16,0,0,0,0,1,0,0,1360,2,31,0.504,0.944,0,7,0.438,44,25,-9,1.76,0.587,0.832,TW,ZM,94%,62%
519270,Lukas Kohlmann,BFC Preussen II,21,3,0,0,1,1,0,2,1727,2,20,0.64,0.914,0.143,9,0.429,44,21,0,2.095,0.698,0.928,IV,ZM,95%,5%
524331,Milos Savkovic,BSV Al-Dersimspor,23,3,0,0,0,0,1,10,1724,3,8,0.639,0.833,0.13,2,0.087,22,21,2,1.048,0.349,0.565,LM,RM,26%,13%
524496,Metin Aktürk,BFC Meteor 06,3,0,1,0,0,0,1,1,189,0,NA,0.07,0.7,0.333,0,0,6,2,1,3,1,0.854,RM,ZM,33%,33%
524620,Mahmoud Akkaoui,SC Borsigwalde 1910,4,0,0,0,0,0,3,0,163,0,4,0.06,0.453,0,1,0.25,3,1,3,3,1,0.878,IV,NA,25%,0%
528762,Resul Hirik,SV Stern Britz 1889,6,1,0,2,0,0,3,1,364,0,NA,0.135,0.674,0.167,0,0,0,3,3,0,0,0.162,ST,RM,33%,17%
534567,Tobias Knetsch,SC Borsigwalde 1910,13,0,0,0,0,0,0,0,1170,1,23,0.433,1,0,2,0.154,16,13,0,1.231,0.41,0.62,TW,NA,85%,0%
540422,Leonard Kirschner,TSV Rudow Berlin,5,1,0,0,0,0,3,1,231,0,NA,0.086,0.513,0.2,0,0,6,2,3,3,1,0.82,ST,NA,20%,0%
547418,Tom Greif,BSV Eintracht Mahlsdorf II,5,0,0,0,0,0,3,1,209,0,14,0.077,0.464,0,0,0,6,2,3,3,1,0.808,RV,NA,40%,0%
550874,Till Dietrich,Köpenicker FC,21,0,0,0,0,0,2,8,1622,0,27,0.601,0.858,0,2,0.095,31,19,2,1.632,0.544,0.701,LV,IV,38%,29%
553725,Dennis Sarnewski,VfB Concordia Britz 1916,1,0,0,0,0,0,1,0,16,0,NA,0.006,0.178,0,0,0,0,0,1,0,0,0.037,NA,NA,NA%,0%
553789,Yasin Demir,BFC Preussen II,18,0,0,1,0,0,4,7,1173,0,30,0.434,0.724,0,2,0.111,30,19,-1,1.579,0.526,0.633,ZDM,IV,56%,50%
553808,Nicolas Michalke,BFC Preussen II,3,0,0,0,0,0,1,2,145,0,NA,0.054,0.537,0,1,0.333,3,2,1,1.5,0.5,0.568,RV,NA,67%,0%
553810,Rommel Abou-Chaker,BFC Preussen II,12,3,0,0,0,0,5,7,541,0,13,0.2,0.501,0.25,0,0,9,6,6,1.5,0.5,0.49,ST,RM,25%,8%
553814,Marcel Berner,BFC Preussen II,17,2,0,0,0,0,4,7,1094,1,15,0.405,0.715,0.118,0,0,19,13,4,1.462,0.487,0.565,RV,LV,41%,18%
553834,Julian von Gliszczynski,BFC Preussen II,2,1,0,0,0,0,2,0,45,0,NA,0.017,0.25,0.5,0,0,0,0,2,0,0,0.053,NA,NA,NA%,0%
553841,Hugo Timur,BFC Preussen II,15,6,0,0,0,0,2,11,848,0,7,0.314,0.628,0.4,1,0.067,26,13,2,2,0.667,0.675,ST,LM,67%,13%
553965,Maximilian Weber,FSV Berolina Stralau 1901,9,0,1,0,0,0,2,3,542,0,NA,0.201,0.669,0.111,0,0,14,7,2,2,0.667,0.641,ZM,NA,67%,0%
554125,Daniel Michael Brüning,VfB Concordia Britz 1916,8,0,0,1,0,0,5,1,414,0,22,0.153,0.575,0,1,0.125,6,3,5,2,0.667,0.65,IV,NA,25%,0%
554131,Fabian Kolditz,VfB Concordia Britz 1916,1,0,0,0,0,0,1,0,6,0,13,0.002,0.067,0,0,0,0,0,1,0,0,0.014,NA,NA,NA%,0%
554134,Patrick Wenke,VfB Concordia Britz 1916,15,0,0,0,0,0,4,5,897,0,29,0.332,0.664,0,3,0.2,10,12,3,0.833,0.278,0.454,IV,LV,47%,13%
554138,Christopher Schneider,SV Stern Britz 1889,6,1,1,2,0,0,0,3,487,0,NA,0.18,0.902,0.333,5,0.833,15,16,-10,0.938,0.313,0.685,RM,ST,150%,83%
