ID,Name,Team,Nummer
1352394,Malte Meißner,VfB Concordia Britz 1916,33
1370808,Daniel Bader,VfB Concordia Britz 1916,
1384826,Benedikt Schmidtmann,VfB Concordia Britz 1916,23
1389946,Arne-Luca Auctun,VfB Concordia Britz 1916,19
1530046,Amir-Mohamad Yassine,VfB Concordia Britz 1916,26
1612319,Maximilian Höhle,VfB Concordia Britz 1916,20
1850719,Felix Weglöhner,VfB Concordia Britz 1916,6
1869032,Burak Tatli,VfB Concordia Britz 1916,44
1888507,Enes Noah Öztürk,VfB Concordia Britz 1916,18
1889072,Merdan Köse,VfB Concordia Britz 1916,4
2126918,Mehmet Akif Bakiroglugil,VfB Concordia Britz 1916,18
2160345,Ilai Harder,VfB Concordia Britz 1916,
2317883,Lukas Czernitzky,VfB Concordia Britz 1916,12
2318883,Piet Kühn,VfB Concordia Britz 1916,21
2321729,Philip Wieser,VfB Concordia Britz 1916,17
2375973,Joao Victor Souza Rosa,VfB Concordia Britz 1916,24
389162,Yevgen Igorovic Lozynsky,VfB Concordia Britz 1916,27
496087,Le-Roy Da-Costa,VfB Concordia Britz 1916,9
554125,Daniel Michael Brüning,VfB Concordia Britz 1916,22
554131,Fabian Kolditz,VfB Concordia Britz 1916,13
554134,Patrick Wenke,VfB Concordia Britz 1916,29
555367,Tim Wenke,VfB Concordia Britz 1916,5
557298,Robin Eschert,VfB Concordia Britz 1916,14
580589,Björn Röchert,VfB Concordia Britz 1916,30
583232,Jerry Gase,VfB Concordia Britz 1916,7
603109,Yannic Behrendt,VfB Concordia Britz 1916,
1075243,Adrian Thiemann,Köpenicker FC,1
1102126,Tarek Borchmeier,Köpenicker FC,13
1102130,Roman Ilinseer,Köpenicker FC,18
1170035,Rayk Stahnke,Köpenicker FC,26
1401763,Luca Carius,Köpenicker FC,6
1424472,Tom Rostock,Köpenicker FC,
1529436,Anton Neumann,Köpenicker FC,14
1543040,Tom-Niclas Hamann,Köpenicker FC,23
1769533,Felix Hartmann,Köpenicker FC,15
1779353,Alieu Nyassi,Köpenicker FC,
1834781,Nicolas Tauschwitz,Köpenicker FC,10
1924771,Florian Hildebrand,Köpenicker FC,
2066356,Dennis Bohnsack,Köpenicker FC,9
2066357,Noah Maximilian Laske,Köpenicker FC,19
2085088,Oskar Klauke,Köpenicker FC,20
2125148,Marques Brunow,Köpenicker FC,
2174136,Luca Munsky,Köpenicker FC,3
2199158,Osben-Dario Ondo Mangue,Köpenicker FC,2
2341683,Anton Louis Süring,Köpenicker FC,
2341685,Lennart Will,Köpenicker FC,
2356835,Luca Seeber,Köpenicker FC,12
2358689,Tobias Brandt,Köpenicker FC,7
2375955,Felix Wittenburg,Köpenicker FC,24
312658,Alexander Foth,Köpenicker FC,11
365382,Jonas Weigelt,Köpenicker FC,8
550874,Till Dietrich,Köpenicker FC,27
564129,Kevin Wesolek,Köpenicker FC,16
565855,Tom Nischwitz,Köpenicker FC,5
573222,Philip Möhle,Köpenicker FC,28
838390,Maximilian Zengler,Köpenicker FC,25
844840,Jose Antonio Ondo Mangue,Köpenicker FC,21
849336,Pascal Berger,Köpenicker FC,
1008335,Marcus Grund,BSV Eintracht Mahlsdorf II,
1059166,Kenan Halilcevic,BSV Eintracht Mahlsdorf II,17
1155862,Leon Schmeißer,BSV Eintracht Mahlsdorf II,20
1344500,Marius Schreiber,BSV Eintracht Mahlsdorf II,8
1424468,Julian Bufe,BSV Eintracht Mahlsdorf II,
1424475,Oliver Spigaht,BSV Eintracht Mahlsdorf II,6
1507227,Marvin Müller,BSV Eintracht Mahlsdorf II,
1531473,Björn Heydemann,BSV Eintracht Mahlsdorf II,
1710837,Justin Engfer,BSV Eintracht Mahlsdorf II,20
1771236,Sune Tore Schröter,BSV Eintracht Mahlsdorf II,
1777596,Tom Bothe,BSV Eintracht Mahlsdorf II,12
1777624,Lukas Otto,BSV Eintracht Mahlsdorf II,
1892493,Reto Reichenberger,BSV Eintracht Mahlsdorf II,7
1892495,Max Koyuncu,BSV Eintracht Mahlsdorf II,9
1892497,Fabian Clemen,BSV Eintracht Mahlsdorf II,
1892501,Carl Dopke,BSV Eintracht Mahlsdorf II,1
1927805,Loide Simao Macave,BSV Eintracht Mahlsdorf II,13
1996351,Maximilian Widmer,BSV Eintracht Mahlsdorf II,
2023839,Phillip Streiter,BSV Eintracht Mahlsdorf II,22
2045361,Leonhard Buchmann,BSV Eintracht Mahlsdorf II,14
2045364,Mohammad Mansour,BSV Eintracht Mahlsdorf II,5
2124125,Carl-Lennart Stöver,BSV Eintracht Mahlsdorf II,19
2151624,Lancine Braunert,BSV Eintracht Mahlsdorf II,
2285443,Jonas Maroske,BSV Eintracht Mahlsdorf II,6
2285444,Tim Pötig,BSV Eintracht Mahlsdorf II,15
2285446,Kilian Oliver Reinke,BSV Eintracht Mahlsdorf II,21
294576,Christian Preiss,BSV Eintracht Mahlsdorf II,16
497696,Kay Szczech,BSV Eintracht Mahlsdorf II,18
547418,Tom Greif,BSV Eintracht Mahlsdorf II,14
560181,Lukas Grützner,BSV Eintracht Mahlsdorf II,8
667353,Maurice Völckert,BSV Eintracht Mahlsdorf II,11
912413,Marc Michas,BSV Eintracht Mahlsdorf II,10
939983,Niklas Isberner,BSV Eintracht Mahlsdorf II,4
