matchday,H,A,Tore_H,Tore_A,where
12,SV BW Hohen Neuendorf,Berliner SC,NA,NA,away
12,Berlin Türkspor,TSV Mariendorf 1897,NA,NA,away
13,1. FC Wilmersdorf,SFC Stern 1900,NA,NA,home
13,Füchse Berlin,FSV Spandauer Kickers,NA,NA,home
13,SC Charlottenburg,Polar Pinguin Berlin,NA,NA,home
13,Sp.Vg. Blau Weiß 1890 Berlin,SV BW Hohen Neuendorf,NA,NA,home
13,SV Empor Berlin,SSC Südwest 1947,NA,NA,home
13,VfB Fortuna Biesdorf,VSG Altglienicke II,NA,NA,home
13,Frohnauer SC,SC Staaken 1919,NA,NA,home
13,Berliner SC,Berlin Türkspor,NA,NA,home
13,TSV Mariendorf 1897,TSV Rudow Berlin,NA,NA,home
13,SFC Stern 1900,1. FC Wilmersdorf,NA,NA,away
13,FSV Spandauer Kickers,Füchse Berlin,NA,NA,away
13,Polar Pinguin Berlin,SC Charlottenburg,NA,NA,away
13,SV BW Hohen Neuendorf,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,away
13,SSC Südwest 1947,SV Empor Berlin,NA,NA,away
13,VSG Altglienicke II,VfB Fortuna Biesdorf,NA,NA,away
13,SC Staaken 1919,Frohnauer SC,NA,NA,away
13,Berlin Türkspor,Berliner SC,NA,NA,away
13,TSV Rudow Berlin,TSV Mariendorf 1897,NA,NA,away
14,SSC Südwest 1947,Berliner SC,NA,NA,home
14,1. FC Wilmersdorf,VSG Altglienicke II,NA,NA,home
14,TSV Rudow Berlin,SV Empor Berlin,NA,NA,home
14,Berlin Türkspor,Frohnauer SC,NA,NA,home
14,SFC Stern 1900,SC Charlottenburg,NA,NA,home
14,FSV Spandauer Kickers,TSV Mariendorf 1897,NA,NA,home
14,SV BW Hohen Neuendorf,VfB Fortuna Biesdorf,NA,NA,home
14,Polar Pinguin Berlin,Füchse Berlin,NA,NA,home
14,SC Staaken 1919,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
14,Berliner SC,SSC Südwest 1947,NA,NA,away
14,VSG Altglienicke II,1. FC Wilmersdorf,NA,NA,away
14,SV Empor Berlin,TSV Rudow Berlin,NA,NA,away
14,Frohnauer SC,Berlin Türkspor,NA,NA,away
14,SC Charlottenburg,SFC Stern 1900,NA,NA,away
