Spieltag,Heim,Auswärts,H_tore,A_tore,HeimFormation,HeimStartelf,HeimSubs,ToreRaw,where,size,AuswaertsFormation,AuswaertsStartelf,AuswaertsSubs
2,SFC Stern 1900,TSV Mariendorf 1897,3,2,4-2-3-1,"Dickersbach, Krost, Wobeser, Hartmann, Udeoka, Rohr, Rohana, Medrane, Gantzberg, Thurau, Cakin","Sen, +4 Schönfuß-Hahm, Fäßler, Keita",1:1 (75.) Sen; 2:1 (76.) Gantzberg; 3:1 (84.) Fäßler,home,M,3-5-2,"Chaw, Rosner, Austermann, Fürst, Ulusoy, Montoya, Tutic, Cordeiro, Kasola, van Dunem, Yorguner","Kromat, Pfannschmidt, Senocak, Bühler"
2,Sp.Vg. Blau Weiß 1890 Berlin,SSC Südwest 1947,4,0,4-4-2,"Hinz, Köhne, Rocktäschel, Banze, Wiebach, Rausch, Kohls, Igkmpinompa, Geurts, Brömer, Lopes de Oliveira","Salla, Zingu, Maurer, Grabow, Todorov",0:1 (14.) Kohls; 0:2 (33.) Lopes de Oliveira; 0:3 (45.+2) Lopes de Oliveira; 0:4 (85.) Geurts,away,M,4-2-3-1,"Stroehlke, Schick, Schramm, Schoeneich, J. Greiner, Olsowski, Gündogdu, Karadayi, Schulze, Chafra, Weiß","Glaser, Sejdic, Kascha, L. Greiner, William"
2,SV BW Hohen Neuendorf,1. FC Wilmersdorf,2,1,3-2-2-3,"Kopmann, Stoltz, Domke, Diels, Rüdiger, Lange, Wolf, Vogt, Draski, Przesang, Urbanski","Soine, Lendner, Butt, Röttgen, Schock-Negrete",0:1 (14.) Przesang; 1:2 (90.+7) Soine,away,M,4-2-3-1,"Samake, Akpinar, Flores Kaya, Aydin, Techie-Menson, Langhammer, Henneke, Kupfer, Cinar, Izal, Benyamina","Ghandour, Russo, Akyol"
2,SV Empor Berlin,Polar Pinguin Berlin,3,3,4-1-4-1,"Von Hallen, Wenger, Neumeier, Khettal, Meirelles-Hartmann, Nickel, Appiah, Schulz, Zander, Möller, Q. Albrecht","Alankus, Ploschenz, Stutzke, Schäfer, Sakar",0:1 (18.) Zander; 0:2 (23.) Q. Albrecht; 1:3 (87.) Q. Albrecht,away,S,5-2-2-1,"Pruschke, Kaplan, Kahra, Hardt, Ouattara, Matt, Koch, Zeidler, Sondermann, Will, Ndubueze","Broll, Fechner, Schwabe, Derman, Schanda"
2,Berliner SC,FSV Spandauer Kickers,1,2,4-3-3,"Köster, Bossard, Öztürk, Markovic, Trojahn, Neumann, Nnaemeka-Chukwura, Cheung, Ekandille, Ngah, Ugbogbo","Jafari, Lorenz, Schumann",1:1 (42.) Ngah,away,M,3-2-3-2,"Gardeike, Klepczynski, Vefonge Wana, J. Krumnow, Dzhaukhar, Senninger, Oldorff, Kuckei, Szuwarski, Tastan, Uzan","Agyei-Yeboah, Iseni, Gezer, Sawallich, Odoubiyi Cocou"
2,Frohnauer SC,TSV Rudow Berlin,2,2,3-4-2-1,"Gromotka, Razeek, Günther, Bayram, Thonfeld, Hassane, H. Iraqui, Youssef, Hortum, A. Iraqui, Baba","Wöhle, Murseli, Kirschner",0:1 (3.) Youssef; 2:2 (90.+3) Günther,away,L,4-2-3-1,"Paul, Ehritt, Hofmann, Hampel, Domke, Walter, Hollnagel, Bachar, Musiol, Kyere, Ceesay","Mundt, Seiffert, Lindhammer, Arend, Barnes"
2,VfB Fortuna Biesdorf,Berlin Türkspor,1,4,4-4-2,"Sangel, Künne, Hartwig, Nejjovaj, Maroske, Barrufet, Sommer, Petschner, Dang, Schramm, Steinke","Haj Youssef, Treibert, B. Kadur, Kaftan, Mansour",4:1 (90.+3) Haj Youssef,away,M,4-2-3-1,"Pokataiev, Vassiliadis, Kahraman, Turan, Williams, Bacak, Zardoshtian, Mukuku Zola, Korntreff, Heymann, Kapan","Diop, Idemudia, Krien, Szigath, Dougalis"
2,VSG Altglienicke II,SC Staaken,NA,NA,formation unclear,,,,away,NA,formation unclear,,
2,Füchse Berlin,SC Charlottenburg,2,1,4-2-3-1,"Otremba, Cygankov, Klecha, Tüysüz, Wilhelm, Zoungrana, Bushaj, Ouédraogo, Sivaci, Haney, Sunday","Gündogdu, Aslan, Heerdt, Yildirim, Bourakkadi",1:1 (53.) Sunday; 1:2 (90.+5) Yildirim,away,L,4-1-4-1,"Seidel, Hörschlein, Reichel, Droszczak, Helge, Michels, Maykowski, Ulucay, Engelsing, Löbe, Selman","Lehmann, Saif, Kücük, +1 Traoré, Mestetef"
2,TSV Mariendorf 1897,SFC Stern 1900,2,3,3-5-2,"Chaw, Rosner, Austermann, Fürst, Ulusoy, Montoya, Tutic, Cordeiro, Kasola, van Dunem, Yorguner","Kromat, Pfannschmidt, Senocak, Bühler",0:1 (14.) Van-Dunem; 3:2 (90.+2) Senocak,away,M,4-2-3-1,"Dickersbach, Krost, Wobeser, Hartmann, Udeoka, Rohr, Rohana, Medrane, Gantzberg, Thurau, Cakin","Sen, +4 Schönfuß-Hahm, Fäßler, Keita"
