Spieltag,Heim,Auswärts,H_tore,A_tore
20,Füchse Berlin,Frohnauer SC,NA,NA
20,TSV Mariendorf 1897,Berliner SC,NA,NA
20,FSV Spandauer Kickers,SV BW Hohen Neuendorf,NA,NA
20,TSV Rudow Berlin,SC Staaken,NA,NA
19,SC Staaken,SSC Südwest 1947,NA,NA
19,erlin Türkspor,1. FC Wilmersdorf,NA,NA
19,SV BW Hohen Neuendorf,TSV Rudow Berlin,NA,NA
19,Berliner SC,Füchse Berlin,NA,NA
19,Frohnauer SC,SC Charlottenburg,NA,NA
19,Sp.Vg. Blau Weiß 1890 Berlin,SFC Stern 1900,NA,NA
19,VSG Altglienicke II,FSV Spandauer Kickers,NA,NA
19,VfB Fortuna Biesdorf,Polar Pinguin Berlin,NA,NA
19,SV Empor Berlin,TSV Mariendorf 1897,NA,NA
18,Polar Pinguin Berlin,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
18,TSV Rudow Berlin,VSG Altglienicke II,NA,NA
18,FSV Spandauer Kickers,VfB Fortuna Biesdorf,NA,NA
18,Füchse Berlin,SV Empor Berlin,NA,NA
18,SFC Stern 1900,Frohnauer SC,NA,NA
18,SC Charlottenburg,Berliner SC,NA,NA
18,SSC Südwest 1947,SV BW Hohen Neuendorf,NA,NA
18,erlin Türkspor,SC Staaken,NA,NA
18,1. FC Wilmersdorf,TSV Mariendorf 1897,NA,NA
17,1. FC Wilmersdorf,SSC Südwest 1947,NA,NA
17,TSV Rudow Berlin,erlin Türkspor,NA,NA
17,Füchse Berlin,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
17,SC Charlottenburg,VfB Fortuna Biesdorf,NA,NA
17,SFC Stern 1900,VSG Altglienicke II,NA,NA
17,SV Empor Berlin,Berliner SC,NA,NA
17,FSV Spandauer Kickers,SC Staaken,NA,NA
17,Polar Pinguin Berlin,SV BW Hohen Neuendorf,NA,NA
17,TSV Mariendorf 1897,Frohnauer SC,NA,NA
16,Füchse Berlin,SFC Stern 1900,NA,NA
16,VSG Altglienicke II,SV BW Hohen Neuendorf,NA,NA
16,Sp.Vg. Blau Weiß 1890 Berlin,erlin Türkspor,NA,NA
16,SV Empor Berlin,FSV Spandauer Kickers,NA,NA
16,VfB Fortuna Biesdorf,SC Staaken,NA,NA
16,SC Charlottenburg,1. FC Wilmersdorf,NA,NA
16,Frohnauer SC,SSC Südwest 1947,NA,NA
16,Berliner SC,TSV Rudow Berlin,NA,NA
16,TSV Mariendorf 1897,Polar Pinguin Berlin,NA,NA
15,VfB Fortuna Biesdorf,1. FC Wilmersdorf,NA,NA
15,SSC Südwest 1947,TSV Mariendorf 1897,NA,NA
15,VSG Altglienicke II,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
15,Polar Pinguin Berlin,SFC Stern 1900,NA,NA
15,FSV Spandauer Kickers,SC Charlottenburg,NA,NA
15,TSV Rudow Berlin,Füchse Berlin,NA,NA
15,erlin Türkspor,SV Empor Berlin,NA,NA
15,SC Staaken,Berliner SC,NA,NA
15,SV BW Hohen Neuendorf,Frohnauer SC,NA,NA
14,SSC Südwest 1947,Berliner SC,NA,NA
14,1. FC Wilmersdorf,VSG Altglienicke II,NA,NA
14,TSV Rudow Berlin,SV Empor Berlin,NA,NA
14,erlin Türkspor,Frohnauer SC,NA,NA
14,SFC Stern 1900,SC Charlottenburg,NA,NA
14,FSV Spandauer Kickers,TSV Mariendorf 1897,NA,NA
14,SV BW Hohen Neuendorf,VfB Fortuna Biesdorf,NA,NA
14,Polar Pinguin Berlin,Füchse Berlin,NA,NA
14,SC Staaken,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
13,1. FC Wilmersdorf,SFC Stern 1900,NA,NA
13,Füchse Berlin,FSV Spandauer Kickers,NA,NA
13,SC Charlottenburg,Polar Pinguin Berlin,NA,NA
13,Sp.Vg. Blau Weiß 1890 Berlin,SV BW Hohen Neuendorf,NA,NA
13,SV Empor Berlin,SSC Südwest 1947,NA,NA
13,VfB Fortuna Biesdorf,VSG Altglienicke II,NA,NA
13,Frohnauer SC,SC Staaken,NA,NA
13,Berliner SC,erlin Türkspor,NA,NA
13,TSV Mariendorf 1897,TSV Rudow Berlin,NA,NA
12,1. FC Wilmersdorf,Polar Pinguin Berlin,NA,NA
12,Füchse Berlin,SSC Südwest 1947,NA,NA
12,SC Charlottenburg,TSV Rudow Berlin,NA,NA
12,Sp.Vg. Blau Weiß 1890 Berlin,VfB Fortuna Biesdorf,NA,NA
12,SFC Stern 1900,FSV Spandauer Kickers,NA,NA
12,SV Empor Berlin,SC Staaken,NA,NA
12,Frohnauer SC,VSG Altglienicke II,NA,NA
12,Berliner SC,SV BW Hohen Neuendorf,NA,NA
12,TSV Mariendorf 1897,erlin Türkspor,NA,NA
11,erlin Türkspor,SSC Südwest 1947,NA,NA
11,Sp.Vg. Blau Weiß 1890 Berlin,SC Charlottenburg,NA,NA
11,VSG Altglienicke II,Polar Pinguin Berlin,NA,NA
11,VfB Fortuna Biesdorf,SFC Stern 1900,NA,NA
11,SV Empor Berlin,1. FC Wilmersdorf,NA,NA
11,Frohnauer SC,Füchse Berlin,NA,NA
11,Berliner SC,TSV Mariendorf 1897,NA,NA
11,SV BW Hohen Neuendorf,FSV Spandauer Kickers,NA,NA
11,SC Staaken,TSV Rudow Berlin,NA,NA
10,SSC Südwest 1947,SC Staaken,NA,NA
10,1. FC Wilmersdorf,erlin Türkspor,NA,NA
10,TSV Rudow Berlin,SV BW Hohen Neuendorf,NA,NA
10,Füchse Berlin,Berliner SC,NA,NA
10,SC Charlottenburg,Frohnauer SC,NA,NA
10,SFC Stern 1900,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
10,FSV Spandauer Kickers,VSG Altglienicke II,NA,NA
10,Polar Pinguin Berlin,VfB Fortuna Biesdorf,NA,NA
10,TSV Mariendorf 1897,SV Empor Berlin,NA,NA
9,SSC Südwest 1947,SC Charlottenburg,NA,NA
9,TSV Rudow Berlin,SFC Stern 1900,NA,NA
9,erlin Türkspor,Füchse Berlin,NA,NA
9,VSG Altglienicke II,Berliner SC,NA,NA
9,VfB Fortuna Biesdorf,Frohnauer SC,NA,NA
9,Sp.Vg. Blau Weiß 1890 Berlin,1. FC Wilmersdorf,NA,NA
9,FSV Spandauer Kickers,Polar Pinguin Berlin,NA,NA
9,SV BW Hohen Neuendorf,SV Empor Berlin,NA,NA
9,SC Staaken,TSV Mariendorf 1897,NA,NA
8,SC Charlottenburg,erlin Türkspor,NA,NA
8,1. FC Wilmersdorf,FSV Spandauer Kickers,NA,NA
8,Füchse Berlin,SC Staaken,NA,NA
8,SFC Stern 1900,SSC Südwest 1947,NA,NA
8,SV Empor Berlin,VSG Altglienicke II,NA,NA
8,Frohnauer SC,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
8,Berliner SC,VfB Fortuna Biesdorf,NA,NA
8,Polar Pinguin Berlin,TSV Rudow Berlin,NA,NA
8,TSV Mariendorf 1897,SV BW Hohen Neuendorf,NA,NA
7,SSC Südwest 1947,Polar Pinguin Berlin,NA,NA
7,TSV Rudow Berlin,FSV Spandauer Kickers,NA,NA
7,erlin Türkspor,SFC Stern 1900,NA,NA
7,Sp.Vg. Blau Weiß 1890 Berlin,Berliner SC,NA,NA
7,VSG Altglienicke II,TSV Mariendorf 1897,NA,NA
7,VfB Fortuna Biesdorf,SV Empor Berlin,NA,NA
7,Frohnauer SC,1. FC Wilmersdorf,NA,NA
7,SV BW Hohen Neuendorf,Füchse Berlin,NA,NA
7,SC Staaken,SC Charlottenburg,NA,NA
6,SV Empor Berlin,SFC Stern 1900,NA,NA
6,Sp.Vg. Blau Weiß 1890 Berlin,TSV Rudow Berlin,NA,NA
6,Frohnauer SC,FSV Spandauer Kickers,NA,NA
6,Berliner SC,Polar Pinguin Berlin,NA,NA
6,TSV Mariendorf 1897,SC Charlottenburg,NA,NA
6,Füchse Berlin,1. FC Wilmersdorf,NA,NA
6,SV BW Hohen Neuendorf,SC Staaken,NA,NA
6,VSG Altglienicke II,erlin Türkspor,NA,NA
6,VfB Fortuna Biesdorf,SSC Südwest 1947,NA,NA
5,1. FC Wilmersdorf,TSV Rudow Berlin,NA,NA
5,Füchse Berlin,VSG Altglienicke II,NA,NA
5,SFC Stern 1900,SC Staaken,NA,NA
5,SV Empor Berlin,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA
5,FSV Spandauer Kickers,SSC Südwest 1947,NA,NA
5,SC Charlottenburg,SV BW Hohen Neuendorf,NA,NA
5,Berliner SC,Frohnauer SC,NA,NA
5,Polar Pinguin Berlin,erlin Türkspor,NA,NA
5,TSV Mariendorf 1897,VfB Fortuna Biesdorf,NA,NA
4,SSC Südwest 1947,TSV Rudow Berlin,NA,NA
4,erlin Türkspor,FSV Spandauer Kickers,NA,NA
4,VSG Altglienicke II,SC Charlottenburg,NA,NA
4,VfB Fortuna Biesdorf,Füchse Berlin,NA,NA
4,Sp.Vg. Blau Weiß 1890 Berlin,TSV Mariendorf 1897,NA,NA
4,SV BW Hohen Neuendorf,SFC Stern 1900,NA,NA
4,Frohnauer SC,SV Empor Berlin,NA,NA
4,Berliner SC,1. FC Wilmersdorf,NA,NA
4,SC Staaken,Polar Pinguin Berlin,NA,NA
3,SSC Südwest 1947,VSG Altglienicke II,1,0
3,1. FC Wilmersdorf,SC Staaken,0,0
3,TSV Rudow Berlin,VfB Fortuna Biesdorf,1,2
3,erlin Türkspor,SV BW Hohen Neuendorf,2,4
3,Füchse Berlin,TSV Mariendorf 1897,0,2
3,SFC Stern 1900,Berliner SC,0,0
3,FSV Spandauer Kickers,Sp.Vg. Blau Weiß 1890 Berlin,2,1
3,SC Charlottenburg,SV Empor Berlin,2,1
3,Polar Pinguin Berlin,Frohnauer SC,1,2
2,SSC Südwest 1947,Sp.Vg. Blau Weiß 1890 Berlin,0,4
2,1. FC Wilmersdorf,SV BW Hohen Neuendorf,1,2
2,Polar Pinguin Berlin,SV Empor Berlin,3,3
2,FSV Spandauer Kickers,Berliner SC,2,1
2,TSV Rudow Berlin,Frohnauer SC,2,2
2,erlin Türkspor,VfB Fortuna Biesdorf,4,1
2,SC Staaken,VSG Altglienicke II,NA,NA
2,SC Charlottenburg,Füchse Berlin,1,2
2,SFC Stern 1900,TSV Mariendorf 1897,3,2
1,Sp.Vg. Blau Weiß 1890 Berlin,Polar Pinguin Berlin,3,0
1,VSG Altglienicke II,TSV Rudow Berlin,3,1
1,VfB Fortuna Biesdorf,FSV Spandauer Kickers,1,1
1,SV Empor Berlin,Füchse Berlin,2,4
1,Frohnauer SC,SFC Stern 1900,3,1
1,Berliner SC,SC Charlottenburg,3,1
1,SV BW Hohen Neuendorf,SSC Südwest 1947,3,1
1,SC Staaken,erlin Türkspor,2,3
1,TSV Mariendorf 1897,1. FC Wilmersdorf,2,2
