"Spieltag"	"Team"	"Gegner"	"Tore"	"Gegentore"	"Wo"	"Platz"	"Formation"	"Wechsel"
4	"SC Charlottenburg"	"VSG Altglienicke II"	1	3	"away"	"M"	"4-2-3-1"	5
4	"Füchse Berlin"	"VfB Fortuna Biesdorf"	4	0	"away"	"S"	"4-2-3-1"	4
4	"TSV Mariendorf 1897"	"Sp.Vg. Blau Weiß 1890 Berlin"	3	3	"away"	"L"	"3-4-2-1"	5
4	"SFC Stern 1900"	"SV BW Hohen Neuendorf"	2	2	"away"	"M"	"4-2-3-1"	5
4	"SV Empor Berlin"	"Frohnauer SC"	1	7	"away"	"M"	"4-1-4-1"	5
4	"1. FC Wilmersdorf"	"Berliner SC"	1	0	"away"	"M"	"3-4-3"	5
4	"Polar Pinguin Berlin"	"SC Staaken"	4	2	"away"	"S"	"5-2-2-1"	5
5	"1. FC Wilmersdorf"	"TSV Rudow Berlin"	2	0	"home"	"M"	"4-2-3-1"	4
5	"SFC Stern 1900"	"SC Staaken"	2	1	"home"	"M"	"4-2-3-1"	0
5	"SV Empor Berlin"	"Sp.Vg. Blau Weiß 1890 Berlin"	5	2	"home"	"L"	"4-2-1-3"	5
5	"FSV Spandauer Kickers"	"SSC Südwest 1947"	1	1	"home"	"M"	"3-2-3-2"	4
5	"SC Charlottenburg"	"SV BW Hohen Neuendorf"	4	0	"home"	"L"	"formation unclear"	5
5	"Berliner SC"	"Frohnauer SC"	2	1	"home"	"L"	"4-1-2-3"	5
5	"Polar Pinguin Berlin"	"Berlin Türkspor"	4	5	"home"	"S"	"formation unclear"	4
5	"TSV Mariendorf 1897"	"VfB Fortuna Biesdorf"	4	2	"home"	"L"	"3-1-4-2"	5
5	"TSV Rudow Berlin"	"1. FC Wilmersdorf"	0	2	"away"	"M"	"3-4-2-1"	5
5	"SC Staaken"	"SFC Stern 1900"	1	2	"away"	"M"	"4-2-3-1"	0
5	"Sp.Vg. Blau Weiß 1890 Berlin"	"SV Empor Berlin"	2	5	"away"	"L"	"4-2-2-2"	5
5	"SSC Südwest 1947"	"FSV Spandauer Kickers"	1	1	"away"	"M"	"4-3-1-2"	3
5	"SV BW Hohen Neuendorf"	"SC Charlottenburg"	0	4	"away"	"L"	"formation unclear"	4
5	"Frohnauer SC"	"Berliner SC"	1	2	"away"	"L"	"3-2-3-2"	4
5	"Berlin Türkspor"	"Polar Pinguin Berlin"	5	4	"away"	"S"	"formation unclear"	4
5	"VfB Fortuna Biesdorf"	"TSV Mariendorf 1897"	2	4	"away"	"L"	"formation unclear"	4
