Rank,Team,Name,Nr,Pos,Spiele,Tore
211,TSV Rudow Berlin,Leon Merke,0,NA,0,0
212,TSV Rudow Berlin,Aron Murseli,27,NA,4,0
213,TSV Rudow Berlin,Hasan Iraqui,8,NA,5,0
214,TSV Rudow Berlin,Teoman Anik,0,NA,0,0
215,TSV Rudow Berlin,Lucas Robbin Bähr,17,IV,4,0
216,TSV Rudow Berlin,Martin Gromotka,44,TW,4,0
217,TSV Rudow Berlin,Leonard Kirschner,0,ST,4,0
218,TSV Rudow Berlin,Nemanja Samardzic,0,NA,1,0
219,TSV Rudow Berlin,Mushakir Razeek,24,RV,4,0
220,TSV Rudow Berlin,Luca Ehrich,20,IV,2,0
221,TSV Rudow Berlin,Linus Fürstenow,0,NA,0,0
222,TSV Rudow Berlin,Noah Fakhro,1,NA,1,0
223,TSV Rudow Berlin,Mohammed Hassane,7,ZDM,5,0
224,VfB Fortuna Biesdorf,Felix Wieschollek,0,NA,0,0
225,VfB Fortuna Biesdorf,Maximilian Sangel,33,TW,5,0
226,VfB Fortuna Biesdorf,Darvin Schramm,21,IV,5,0
227,VfB Fortuna Biesdorf,Ole Eric Petschner,23,ZM,5,0
228,VfB Fortuna Biesdorf,Jean-Claude Nanevie,0,ST,3,0
229,VfB Fortuna Biesdorf,Kambiz Walizada,0,IV,2,0
230,VfB Fortuna Biesdorf,David Dang Tran,7,NA,3,0
231,VfB Fortuna Biesdorf,Yussef Jradi,0,RV,2,0
232,VfB Fortuna Biesdorf,Emmanuel Bessong Ngam,0,NA,1,0
233,VfB Fortuna Biesdorf,Paulo Krause Barrufet,18,RM,5,0
234,VfB Fortuna Biesdorf,Liam Engfer,0,NA,0,0
235,VfB Fortuna Biesdorf,Mohammad Mansour,2,NA,3,0
236,VfB Fortuna Biesdorf,Mika Friebe,28,NA,3,0
237,VfB Fortuna Biesdorf,Maurice Quandt,NA,NA,0,0
238,VfB Fortuna Biesdorf,Jonas Maroske,22,LV,3,0
239,VfB Fortuna Biesdorf,Justus Thore Schwandt,12,NA,0,0
240,VfB Fortuna Biesdorf,Dennis März,0,RM,2,0
241,VfB Fortuna Biesdorf,Tim Stuff,0,IV,2,0
242,VfB Fortuna Biesdorf,Benjamin Kadur,6,NA,3,0
243,VfB Fortuna Biesdorf,Rico Pohlmann,0,NA,0,0
244,VfB Fortuna Biesdorf,Urim Nerjovaj,4,IV,4,0
245,VfB Fortuna Biesdorf,Angelino Neidhardt,0,NA,0,0
246,VfB Fortuna Biesdorf,Miguel Hartwig,3,IV,2,0
247,VfB Fortuna Biesdorf,Philip Kadur,0,NA,1,0
248,VfB Fortuna Biesdorf,Pascal Treibert,0,LV,3,0
249,VfB Fortuna Biesdorf,Moritz Künne,13,RV,3,0
250,VfB Fortuna Biesdorf,Leonard Sowa,0,NA,3,0
251,SSC Südwest 1947,Lorenzo Pablo Mbile Sanchez,14,NA,1,0
252,SSC Südwest 1947,Lukas Schulze,16,ZDM,5,0
253,SSC Südwest 1947,Manuel Hahn,0,NA,0,0
254,SSC Südwest 1947,David Nagel,0,NA,0,0
255,SSC Südwest 1947,Martin Olivier Kascha,5,ST,4,0
256,SSC Südwest 1947,Richard Rumler,0,NA,0,0
257,SSC Südwest 1947,Mohamed Rayen Chafra,10,LM,4,0
258,SSC Südwest 1947,Melvin Glaser,7,RV,5,0
259,SSC Südwest 1947,Gian-Luca Blume,0,NA,0,0
260,SSC Südwest 1947,Felix Seddig,31,NA,0,0
261,SSC Südwest 1947,Zahm Rad,0,NA,0,0
262,SSC Südwest 1947,Edin Sejdic,2,IV,3,0
263,SSC Südwest 1947,Berk Karadayi,13,LM,3,0
264,SSC Südwest 1947,Vincent Wolff,0,NA,0,0
265,SSC Südwest 1947,Lars Schoeneich,29,IV,4,0
266,SSC Südwest 1947,Jeldrik Greiner,18,NA,4,0
267,SSC Südwest 1947,James-Patrick Weiß,0,ST,2,0
268,SSC Südwest 1947,Julian Tomov,0,NA,2,0
269,SSC Südwest 1947,Gustavo Santos Pereira,0,NA,0,0
270,SSC Südwest 1947,Jakob Heredia,0,NA,0,0
271,SSC Südwest 1947,Mateusz Smolarkiewicz,15,ST,2,0
272,SSC Südwest 1947,Cüneyt Gündogdu,11,RV,5,0
273,SSC Südwest 1947,Toni Stroehlke,22,TW,5,0
274,SSC Südwest 1947,Maximilian Heckert,0,NA,0,0
275,SSC Südwest 1947,Rene Schulze,0,ZDM,0,0
276,SSC Südwest 1947,Deniz Stach,0,NA,2,0
277,SSC Südwest 1947,Lenard Greiner,21,NA,5,0
278,SSC Südwest 1947,Enes Oguz Timur Schick,9,RV,4,0
279,SSC Südwest 1947,Til Schramm,6,IV,4,0
280,SSC Südwest 1947,Philipp Lionel Kuhles,0,NA,0,0
281,SSC Südwest 1947,Alexander Willam,NA,NA,2,0
282,TSV Mariendorf 1897,Amat Chaw,22,TW,5,0
283,TSV Mariendorf 1897,Malte Fürst,0,IV,3,0
284,TSV Mariendorf 1897,Ali Mohammed Kasola,30,ZM,5,0
285,TSV Mariendorf 1897,Louis Kromat,21,LM,4,0
286,TSV Mariendorf 1897,Tugay Ulusoy,99,RM,5,0
287,TSV Mariendorf 1897,Omran Iraqi,0,NA,2,0
288,TSV Mariendorf 1897,Rui Marcel Peixoto Cordeiro,3,ZM,4,0
289,TSV Mariendorf 1897,Marten Schröder,1,NA,0,0
290,TSV Mariendorf 1897,Mohammed Aljorani,0,NA,0,0
291,TSV Mariendorf 1897,Arad Zardoshtian,0,ZDM,0,0
292,TSV Mariendorf 1897,Jegor Kiuskins,0,NA,0,0
293,TSV Mariendorf 1897,Daniel Veilert,27,IV,2,0
294,TSV Mariendorf 1897,Tom Schleinitz,NA,NA,2,0
295,TSV Mariendorf 1897,Bendix Kadji,39,NA,2,0
296,TSV Mariendorf 1897,Vincent Kless,NA,NA,1,0
297,TSV Mariendorf 1897,Pascal Jan Wedemann,0,IV,3,0
298,TSV Mariendorf 1897,Erik-Paul Pfannschmidt,6,ZM,5,0
299,TSV Mariendorf 1897,Yusuf Yorguner,17,ST,4,0
300,TSV Mariendorf 1897,David Rosner,4,IV,2,0
301,TSV Mariendorf 1897,Eren Özer,0,NA,0,0
302,TSV Mariendorf 1897,Julian Austermann,18,IV,3,0
303,TSV Mariendorf 1897,Pascal Matthias,0,NA,0,0
304,Berlin Türkspor,Umut Satici,0,NA,2,0
305,Berlin Türkspor,Mame Cheikh Diop,3,NA,2,0
306,Berlin Türkspor,Aristotelis Dougalis,21,NA,3,0
307,Berlin Türkspor,Tristan Krien,19,NA,3,0
308,Berlin Türkspor,Leon Haake,0,NA,0,0
309,Berlin Türkspor,Mapalo Korntreff,25,LM,4,0
310,Berlin Türkspor,Frank Maikoga,0,NA,0,0
311,Berlin Türkspor,Mahdi Soueidan,NA,NA,0,0
312,Berlin Türkspor,Viktor Pokataiev,23,TW,2,0
313,Berlin Türkspor,King David Yeboah Frimpong Szigath,99,NA,1,0
314,Berlin Türkspor,Jahi Hyseni,NA,NA,1,0
315,Berlin Türkspor,Prince Collins Idemudia,5,NA,2,0
316,Berlin Türkspor,Shawn Kauter,NA,IV,2,0
317,Berlin Türkspor,Leon Bätge,1,TW,4,0
318,Berlin Türkspor,Kürsat Mahmut Cicek,0,ZM,2,0
319,Berlin Türkspor,Joe Williams,8,LV,5,0
320,Berlin Türkspor,Ahmad Rmieh,7,ZDM,2,0
321,Frohnauer SC,Nils Ehritt,11,RV,5,0
322,Frohnauer SC,Marlon Mörcke,0,NA,1,0
323,Frohnauer SC,Lucas Rindermann,0,NA,0,0
324,Frohnauer SC,Levi Arend,19,NA,2,0
325,Frohnauer SC,Amir Sassi,0,NA,0,0
326,Frohnauer SC,Lars Weber,28,LM,0,0
327,Frohnauer SC,Tidjan Barnes,23,ZDM,5,0
328,Frohnauer SC,Jacob Schäfer,0,IV,0,0
