scorer,team,opponent,minute,score
Senocak,TSV Mariendorf 1897,SFC Stern 1900,90,3:2
Cernescu,SSC Südwest 1947,VSG Altglienicke II,5,1:0
Steinke,TSV Rudow Berlin,VfB Fortuna Biesdorf,90,1:2
Kapan,Berlin Türkspor,SV BW Hohen Neuendorf,65,1:3
Turan,Berlin Türkspor,SV BW Hohen Neuendorf,90,2:4
Dzhaukhar,FSV Spandauer Kickers,Sp.Vg. Blau Weiß 1890 Berlin,47,1:0
Tastan,FSV Spandauer Kickers,Sp.Vg. Blau Weiß 1890 Berlin,72,2:0
Maykowski,SC Charlottenburg,SV Empor Berlin,33,1:1
Onyemaobii,SC Charlottenburg,SV Empor Berlin,65,2:1
Ndubueze,Polar Pinguin Berlin,Frohnauer SC,35,1:1
Hortum,VfB Fortuna Biesdorf,TSV Rudow Berlin,2,0:1
Hortum,VfB Fortuna Biesdorf,TSV Rudow Berlin,70,0:2
Soine,SV BW Hohen Neuendorf,Berlin Türkspor,6,0:1
Soine,SV BW Hohen Neuendorf,Berlin Türkspor,28,0:2
Soine,SV BW Hohen Neuendorf,Berlin Türkspor,33,0:3
Wolf,SV BW Hohen Neuendorf,Berlin Türkspor,81,1:4
Senocak,TSV Mariendorf 1897,Füchse Berlin,2,0:1
Senocak,TSV Mariendorf 1897,Füchse Berlin,83,0:2
Köhne,Sp.Vg. Blau Weiß 1890 Berlin,FSV Spandauer Kickers,79,2:1
Q. Albrecht,SV Empor Berlin,SC Charlottenburg,9,0:1
Eickhoff,Frohnauer SC,Polar Pinguin Berlin,1,0:1
Musiol,Frohnauer SC,Polar Pinguin Berlin,78,1:2
Nassri,SSC Südwest 1947,TSV Rudow Berlin,56,1:0
Klamkowski,VSG Altglienicke II,SC Charlottenburg,58,1:1
Klamkowski,VSG Altglienicke II,SC Charlottenburg,63,2:2
Bakal,VSG Altglienicke II,SC Charlottenburg,72,3:1
Geurts,Sp.Vg. Blau Weiß 1890 Berlin,TSV Mariendorf 1897,13,1:1
Rocktäschel,Sp.Vg. Blau Weiß 1890 Berlin,TSV Mariendorf 1897,87,2:3
Kohls,Sp.Vg. Blau Weiß 1890 Berlin,TSV Mariendorf 1897,90,3:3
Urbanski,SV BW Hohen Neuendorf,SFC Stern 1900,45,1:1
Chukwu,SV BW Hohen Neuendorf,SFC Stern 1900,83,2:2
Seiffert,Frohnauer SC,SV Empor Berlin,16,1:0
Musiol,Frohnauer SC,SV Empor Berlin,19,2:0
Kyere,Frohnauer SC,SV Empor Berlin,30,3:0
Musiol,Frohnauer SC,SV Empor Berlin,43,4:0
Seiffert,Frohnauer SC,SV Empor Berlin,48,5:0
Walter,Frohnauer SC,SV Empor Berlin,77,6:1
Kyer,Frohnauer SC,SV Empor Berlin,81,7:1
Flemming,SC Staaken,Polar Pinguin Berlin,10,1:0
Bahceci,SC Staaken,Polar Pinguin Berlin,79,2:3
Baba,TSV Rudow Berlin,SSC Südwest 1947,78,1:1
Baba,TSV Rudow Berlin,SSC Südwest 1947,83,1:2
Tastan,FSV Spandauer Kickers,Berlin Türkspor,77,0:1
Odoubiyi Cocou,FSV Spandauer Kickers,Berlin Türkspor,87,0:2
Löbe,SC Charlottenburg,VSG Altglienicke II,49,0:1
Sivaci,Füchse Berlin,VfB Fortuna Biesdorf,70,0:1
Yildirim,Füchse Berlin,VfB Fortuna Biesdorf,74,0:2
Sunday,Füchse Berlin,VfB Fortuna Biesdorf,89,0:3
Tüysüz,Füchse Berlin,VfB Fortuna Biesdorf,90,0:4
Krieger,TSV Mariendorf 1897,Sp.Vg. Blau Weiß 1890 Berlin,4,0:1
Tutic,TSV Mariendorf 1897,Sp.Vg. Blau Weiß 1890 Berlin,60,1:2
Mechlaoui,TSV Mariendorf 1897,Sp.Vg. Blau Weiß 1890 Berlin,65,1:3
Thurau,SFC Stern 1900,SV BW Hohen Neuendorf,38,0:1
Rohr,SFC Stern 1900,SV BW Hohen Neuendorf,62,1:2
Ploschenz,SV Empor Berlin,Frohnauer SC,59,5:1
Webe,1. FC Wilmersdorf,Berliner SC,14,0:1
Ndubueze,Polar Pinguin Berlin,SC Staaken,45,1:1
Löhmann,Polar Pinguin Berlin,SC Staaken,49,1:2
Ndubueze,Polar Pinguin Berlin,SC Staaken,59,1:3
Abasi,Polar Pinguin Berlin,SC Staaken,90,2:4
Izal,1. FC Wilmersdorf,TSV Rudow Berlin,39,1:0
Weber,1. FC Wilmersdorf,TSV Rudow Berlin,86,2:0
Medrane,SFC Stern 1900,SC Staaken,36,1:0
Gantzberg,SFC Stern 1900,SC Staaken,58,2:0
Albrecht,SV Empor Berlin,Sp.Vg. Blau Weiß 1890 Berlin,30,1:1
Nickel,SV Empor Berlin,Sp.Vg. Blau Weiß 1890 Berlin,50,2:1
Albrecht,SV Empor Berlin,Sp.Vg. Blau Weiß 1890 Berlin,55,3:1
Schäfer,SV Empor Berlin,Sp.Vg. Blau Weiß 1890 Berlin,72,4:2
Albrecht,SV Empor Berlin,Sp.Vg. Blau Weiß 1890 Berlin,74,5:2
Uzan,FSV Spandauer Kickers,SSC Südwest 1947,50,1:1
Maykowski,SC Charlottenburg,SV BW Hohen Neuendorf,26,1:0
Hörschlein,SC Charlottenburg,SV BW Hohen Neuendorf,41,2:0
Löbe,SC Charlottenburg,SV BW Hohen Neuendorf,56,3:0
Löbe,SC Charlottenburg,SV BW Hohen Neuendorf,90,4:0
Ngah,Berliner SC,Frohnauer SC,14,1:0
", 2:0 (45.+5) Markovic",Berliner SC,Frohnauer SC,45,NA
Witschurke,Polar Pinguin Berlin,Berlin Türkspor,65,1:4
Pokataiev,Polar Pinguin Berlin,Berlin Türkspor,67,2:4
Ndubueze,Polar Pinguin Berlin,Berlin Türkspor,74,3:4
Ndubueze,Polar Pinguin Berlin,Berlin Türkspor,89,4:5
van Dunem,TSV Mariendorf 1897,VfB Fortuna Biesdorf,10,1:0
Senocak,TSV Mariendorf 1897,VfB Fortuna Biesdorf,25,2:0
Senocak,TSV Mariendorf 1897,VfB Fortuna Biesdorf,62,3:2
Bühler,TSV Mariendorf 1897,VfB Fortuna Biesdorf,67,4:2
Freiwald,SC Staaken,SFC Stern 1900,85,2:1
Köhne,Sp.Vg. Blau Weiß 1890 Berlin,SV Empor Berlin,14,0:1
Geurts,Sp.Vg. Blau Weiß 1890 Berlin,SV Empor Berlin,56,3:2
Cernescu,SSC Südwest 1947,FSV Spandauer Kickers,40,0:1
Ceesay,Frohnauer SC,Berliner SC,58,2:1
Bacak,Berlin Türkspor,Polar Pinguin Berlin,9,0:1
Heymann,Berlin Türkspor,Polar Pinguin Berlin,16,0:2
Kapan,Berlin Türkspor,Polar Pinguin Berlin,23,0:3
Kapan,Berlin Türkspor,Polar Pinguin Berlin,37,0:4
Zola,Berlin Türkspor,Polar Pinguin Berlin,88,3:5
Steinke,VfB Fortuna Biesdorf,TSV Mariendorf 1897,35,2:1
Kaftan,VfB Fortuna Biesdorf,TSV Mariendorf 1897,56,2:2
