Rank,Team,Nr,Name,Pos,Spielzeit,matches_played_ratio,playtime_ratio,points_per_game,scorerpoints_ratio,best_player_ratio,Score
202,SSC Südwest 1947,11,Cüneyt Gündogdu,ZDM,104,1,0.385,0.5,0,0,0.49
203,TSV Mariendorf 1897,4,David Rosner,IV,171,0.6666666666666666,0.95,0.167,0,0,0.49
204,Frohnauer SC,21,Bachar Said,NA,179,1,0.663,0,0.286,0,0.49
205,SFC Stern 1900,16,Ibrahim Kalil Keita,RM,112,0.6666666666666666,0.622,0.444,0,0.5,0.49
206,SFC Stern 1900,4,Julian Hartmann,IV,112,1,0.415,0.444,0,0,0.49
207,1. FC Wilmersdorf,29,Rodrigo Flores Kaya,NA,143,1,0.53,0.333,0,0,0.49
208,1. FC Wilmersdorf,18,Nicolas Russo,NA,118,1,0.437,0.222,0.333,0,0.49
209,SC Staaken,12,Daniel Tutzschke,ZDM,170,0.6666666666666666,0.944,0.167,0,0,0.49
210,Polar Pinguin Berlin,18,Lennard Broll,ZM,168,1,0.622,0.111,0,0.333,0.48
211,TSV Mariendorf 1897,0,Malte Fürst,IV,124,0.6666666666666666,0.689,0.444,0,0,0.48
212,SC Charlottenburg,0,Fatih Kücük,ZM,113,0.6666666666666666,0.628,0.5,0,0,0.48
213,Füchse Berlin,33,Salem Bourakkadi,NA,59,1,0.219,0.667,0,0,0.48
214,SV BW Hohen Neuendorf,0,Julian Butt,NA,28,0.6666666666666666,0.156,1,0.111,0,0.48
215,VSG Altglienicke II,4,Jan Latzel,IV,180,0.6666666666666666,1,0,0,0,0.47
216,Polar Pinguin Berlin,1,Ekrem Erbilgin,TW,180,0.6666666666666666,1,0,0,0,0.47
217,Polar Pinguin Berlin,0,Kilian Pruschke,NA,90,0.3333333333333333,1,0.333,0,0,0.47
218,VfB Fortuna Biesdorf,16,Ibrahim Haj Youssef,NA,166,1,0.615,0,0.25,0,0.47
219,SSC Südwest 1947,10,Mohamed Rayen Chafra,LM,180,0.6666666666666666,1,0,0,0,0.47
220,TSV Mariendorf 1897,29,Jannis Krieger,ST,90,0.3333333333333333,1,0.333,0,0,0.47
221,Frohnauer SC,19,Levi Arend,NA,31,0.6666666666666666,0.172,1,0,0,0.47
222,SC Charlottenburg,13,Micah Tim Helge,LV,180,0.6666666666666666,1,0,0,0,0.47
223,SC Charlottenburg,0,Kai Hörschlein,RM,143,0.6666666666666666,0.794,0,0.25,0.5,0.47
224,SV Empor Berlin,23,Stanley Schulz,ZOM,175,1,0.648,0.111,0,0,0.47
225,1. FC Wilmersdorf,2,Otmar Baumann,IV,90,0.3333333333333333,1,0.333,0,0,0.47
226,1. FC Wilmersdorf,2,Rhami Ghandour,NA,124,0.6666666666666666,0.689,0.167,0,1,0.47
227,SV BW Hohen Neuendorf,7,Noe-Samuel Bacanu,NA,32,0.6666666666666666,0.178,1,0,0,0.47
228,Sp.Vg. Blau Weiß 1890 Berlin,8,Jonathan Maurer,NA,27,0.6666666666666666,0.15,1,0,0,0.46
229,TSV Rudow Berlin,17,Lucas Robbin Bähr,IV,179,0.6666666666666666,0.994,0,0,0,0.46
230,VfB Fortuna Biesdorf,24,Benjamin Sommer,ZM,114,0.6666666666666666,0.633,0.167,0.25,0.5,0.46
231,erlin Türkspor,19,Tristan Krien,NA,42,1,0.156,0.667,0,0,0.46
232,SC Charlottenburg,3,Ben Lehmann,RV,118,1,0.437,0.333,0,0,0.46
233,1. FC Wilmersdorf,11,Baran Akpinar,RV,152,0.6666666666666666,0.844,0.167,0,0,0.46
234,Polar Pinguin Berlin,0,Nicolas Marley Alexander Koch,NA,147,0.6666666666666666,0.817,0.167,0,0,0.45
235,SSC Südwest 1947,2,Edin Sejdic,IV,93,0.6666666666666666,0.517,0.5,0,0,0.45
236,SC Charlottenburg,28,Nizar Mestetef,NA,107,1,0.396,0.333,0,0,0.45
237,1. FC Wilmersdorf,10,Serkan Akyol,ZM,138,1,0.511,0.167,0,0,0.45
238,Polar Pinguin Berlin,28,Lenny Schwabe,NA,114,1,0.422,0.111,0.25,0,0.44
239,FSV Spandauer Kickers,0,David Gezer,NA,12,0.6666666666666666,0.067,1,0,0,0.44
240,1. FC Wilmersdorf,NA,Can Voigt,NA,83,0.3333333333333333,0.922,0.333,0,0,0.44
241,SV BW Hohen Neuendorf,0,Kubilay Dündar,NA,31,0.3333333333333333,0.344,1,0,0,0.44
242,Sp.Vg. Blau Weiß 1890 Berlin,25,Glodi Danila-Doda Zingu,IV,82,0.6666666666666666,0.456,0.5,0,0,0.43
243,Sp.Vg. Blau Weiß 1890 Berlin,14,Alexander Todorov,NA,8,0.6666666666666666,0.044,1,0,0,0.43
244,VfB Fortuna Biesdorf,2,Mohammad Mansour,NA,125,1,0.463,0.167,0,0,0.43
245,SC Charlottenburg,29,Abdoul Moumouni Kader Traore,NA,10,0.6666666666666666,0.056,1,0,0,0.43
246,SV Empor Berlin,27,Leopold Neumeier,IV,134,1,0.496,0.111,0,0,0.43
247,SFC Stern 1900,19,Omar Hajjaj,IV,135,0.6666666666666666,0.75,0.167,0,0,0.43
248,SFC Stern 1900,0,Hamid Sen,NA,19,0.3333333333333333,0.211,1,0.25,0,0.43
249,SFC Stern 1900,10,Can Kilian Cakin,ST,84,0.6666666666666666,0.467,0.5,0,0,0.43
250,Füchse Berlin,21,Pedro Henrique Heerdt,NA,45,1,0.167,0.5,0,0,0.43
251,Polar Pinguin Berlin,20,Keyan Kaplan,NA,128,1,0.474,0.111,0,0,0.42
252,VfB Fortuna Biesdorf,7,David Dang Tran,NA,154,1,0.57,0,0,0,0.42
253,TSV Mariendorf 1897,0,Vincent Bühler,NA,63,0.6666666666666666,0.35,0.5,0.167,0,0.42
