ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,avg_playtime_per_game,scorerpoints_per_game,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,normalized_points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
736063,Göktug Özsoy,Berliner SV 1892,19,1,0,0,0,0,5,4,1333,2,19,0.494,0.78,0.053,2,0.105,27,14,5,1.929,0.643,0.736,ZM,IV,26%,16%
737592,Mohamad-Ali Chawraba,BSV Al-Dersimspor,11,4,0,0,0,0,1,8,860,2,47,0.319,0.869,0.364,2,0.182,16,10,1,1.6,0.533,0.666,ST,LM,55%,27%
739799,Nikolai Wolany,SV Empor Berlin II,1,0,0,0,0,0,0,0,90,0,NA,0.033,1,0,0,0,0,0,1,0,0,0.207,NA,NA,NA%,0%
740710,Oktay Öztürk,Berliner SC II,1,0,0,0,0,0,0,1,59,0,NA,0.022,0.656,0,0,0,0,3,-2,0,0,0.136,RV,NA,300%,0%
743561,Paulo Eduardo Bernardes De Almeida,Türkiyemspor Berlin,5,0,0,0,0,0,3,1,313,0,22,0.116,0.696,0,0,0,0,0,5,0,0,0.162,NA,NA,NA%,0%
747938,Julian Markgraf,VfB Concordia Britz 1916,11,0,0,0,0,0,2,2,852,0,NA,0.316,0.861,0,0,0,13,9,2,1.444,0.481,0.572,LV,NA,55%,0%
763426,Jan-Eric Frank,TSV Rudow Berlin,9,0,0,0,0,0,5,1,410,0,6,0.152,0.506,0,1,0.111,5,4,5,1.25,0.417,0.457,IV,RV,11%,11%
763854,Arnaud Salla,SV Empor Berlin II,1,0,0,0,0,0,0,0,90,0,NA,0.033,1,0,0,0,0,2,-1,0,0,0.207,IV,NA,200%,0%
774865,Michel Stefaniszin,SC Borsigwalde 1910,26,1,0,0,0,0,4,14,1708,9,8,0.633,0.73,0.038,2,0.077,32,22,4,1.455,0.485,0.635,ZDM,ZM,62%,15%
777705,Emre-Eyüp Önal,BSV Al-Dersimspor,14,0,1,0,0,0,4,7,909,0,7,0.337,0.721,0.071,1,0.071,7,10,4,0.7,0.233,0.396,ZDM,ZM,43%,21%
780838,Timo Höhna,SV Stern Britz 1889,20,1,1,3,0,0,3,6,1473,1,6,0.546,0.818,0.1,1,0.05,6,17,3,0.353,0.118,0.37,LV,LM,30%,25%
780845,Julian Karsten Heikenfeld,SV Stern Britz 1889,2,0,0,1,0,0,1,0,135,0,NA,0.05,0.75,0,1,0.5,0,1,1,0,0,0.31,ST,NA,50%,0%
781216,Kevin Kummer,SC Borsigwalde 1910,22,3,0,0,0,0,0,2,1947,0,29,0.721,0.983,0.136,7,0.318,21,22,0,0.955,0.318,0.659,IV,ZDM,68%,23%
784306,Lennard Schleifenbaum,Berliner SV 1892,27,8,0,0,0,0,6,2,1986,1,21,0.736,0.817,0.296,5,0.185,34,21,6,1.619,0.54,0.744,ZM,ST,30%,26%
803085,Amon Simunovic,Türkiyemspor Berlin,23,0,0,0,0,0,1,9,1803,0,6,0.668,0.871,0,3,0.13,25,21,2,1.19,0.397,0.625,ZDM,ZM,65%,13%
809743,Steven Hieronymus,SV Stern Britz 1889,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0%
818845,Christopher Schwarz,FSV Berolina Stralau 1901,19,6,6,0,0,0,6,7,1226,1,NA,0.454,0.717,0.632,1,0.053,21,13,6,1.615,0.538,0.627,ZM,NA,63%,0%
821531,Luca Ehrich,SV Stern Britz 1889,21,2,2,5,1,0,4,7,1385,0,27,0.513,0.733,0.19,0,0,4,13,8,0.308,0.103,0.321,ZDM,ST,24%,19%
822016,Sebastian Heßler,FSV Berolina Stralau 1901,21,9,2,0,0,0,5,7,1501,0,12,0.556,0.794,0.524,6,0.286,26,16,5,1.625,0.542,0.735,LM,LV,57%,10%
824144,Niklas Schindler,FC Internationale Berlin 1980,24,3,0,0,0,0,4,2,1815,0,11,0.672,0.84,0.125,7,0.292,32,20,4,1.6,0.533,0.763,IV,LV,75%,4%
831475,Dominik Dietzel,BFC Preussen II,13,0,0,0,0,0,1,0,1159,1,1,0.429,0.991,0,4,0.308,21,12,1,1.75,0.583,0.785,TW,NA,85%,0%
833291,Davut Kösker,Türkiyemspor Berlin,4,0,0,0,0,0,0,0,360,0,32,0.133,1,0,0,0,3,4,0,0.75,0.25,0.402,TW,NA,100%,0%
835657,Oktay Ugur,BFC Meteor 06,23,3,2,1,0,1,6,13,1534,1,17,0.568,0.741,0.217,1,0.043,39,16,7,2.438,0.813,0.844,ZOM,ZM,26%,13%
836082,Maurice Büttner,TSV Rudow Berlin,1,0,0,0,0,0,1,0,10,0,NA,0.004,0.111,0,0,0,0,0,1,0,0,0.023,NA,NA,NA%,0%
836435,Karim Zagmouz,BSV Al-Dersimspor,12,1,0,0,0,0,0,1,1035,0,6,0.383,0.958,0.083,4,0.333,13,12,0,1.083,0.361,0.621,IV,RV,75%,17%
838390,Maximilian Zengler,Köpenicker FC,2,0,0,0,0,0,0,1,167,0,25,0.062,0.928,0,0,0,0,2,0,0,0,0.198,ST,NA,100%,0%
838396,Hakan Günaydin,BSV Al-Dersimspor,5,1,0,0,0,0,1,0,375,0,NA,0.139,0.833,0.2,1,0.2,4,3,2,1.333,0.444,0.565,LM,RM,20%,20%
838400,Sebastian Stang,TSV Rudow Berlin,3,0,0,0,0,0,3,0,29,0,NA,0.011,0.107,0,0,0,0,0,3,0,0,0.024,NA,NA,NA%,0%
838422,David Bellin,Berliner SV 1892,25,9,0,0,0,0,6,15,1529,4,28,0.566,0.68,0.36,5,0.2,39,18,7,2.167,0.722,0.815,ST,RM,32%,24%
844840,Jose Antonio Ondo Mangue,Köpenicker FC,16,6,0,0,0,0,5,8,823,0,21,0.305,0.572,0.375,0,0,0,0,16,0,0,0.175,NA,NA,NA%,0%
845397,Caglar Polat,BSV Al-Dersimspor,23,0,1,0,0,0,0,8,1922,0,27,0.712,0.929,0.043,2,0.087,26,22,1,1.182,0.394,0.63,ZOM,ZDM,26%,22%
848940,Patrick Kübler,SV Stern Britz 1889,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0%
849219,Tim Riese,BFC Meteor 06,23,8,3,2,0,0,1,5,1857,5,4,0.688,0.897,0.478,8,0.348,46,20,3,2.3,0.767,0.958,IV,ZM,65%,13%
849336,Pascal Berger,Köpenicker FC,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0%
849578,Timo Ziebarth,SV Stern Britz 1889,17,0,0,2,0,0,0,0,1530,1,1,0.567,1,0,5,0.294,3,16,1,0.188,0.063,0.446,TW,NA,88%,0%
849598,Tim Niedenhoff,Berliner SC II,18,1,6,0,0,0,3,5,1224,0,19,0.453,0.756,0.389,4,0.222,20,13,5,1.538,0.513,0.667,ZM,IV,56%,6%
849600,Görkem Yilmaz,Türkiyemspor Berlin,25,1,0,1,0,0,1,7,1965,2,4,0.728,0.873,0.04,1,0.04,25,11,14,2.273,0.758,0.863,ZOM,ST,20%,8%
849601,Enrique Freitag,FC Internationale Berlin 1980,20,0,0,0,0,0,1,3,1690,0,8,0.626,0.939,0,9,0.45,23,19,1,1.211,0.404,0.731,ZDM,ZM,50%,35%
849613,Etem Tonk,BSV Al-Dersimspor,24,0,0,0,0,0,0,3,2080,0,24,0.77,0.963,0,5,0.208,26,24,0,1.083,0.361,0.662,IV,ZDM,54%,17%
