Rank,Team,Name,Nr,Pos,Spiele,Tore
132,FC Internationale Berlin 1980,Antonio Boeddinghaus,6,LV,15,2
133,SV Empor Berlin II,Dennis Seiler,11,IV,14,2
134,SV Stern Britz 1889,Luca Ehrich,27,ZDM,21,2
135,FC Internationale Berlin 1980,Albert Bauder,9,ST,10,2
136,SC Borsigwalde 1910,Daniel Mpembele Nzongo,NA,ST,10,2
137,FSV Berolina Stralau 1901,Tobias Reuter,4,ZM,26,2
138,BFC Meteor 06,Abdoulaye Djibril Diallo,NA,RV,13,2
139,Türkiyemspor Berlin,Abdoulaye Djibril Diallo,NA,RV,5,2
140,VfB Concordia Britz 1916,Jordy Gase,25,ST,23,2
141,SV Empor Berlin II,Falk Marquard,NA,ZDM,4,2
142,SV Empor Berlin II,Hong Phuc Dinh,17,LM,5,2
143,SV Stern Britz 1889,Marcel Frobenius,37,RV,17,2
144,FC Viktoria 1889 Berlin II,David Nagel,4,IV,11,2
145,SV Stern Britz 1889,Dennis Pyplatz,24,ZDM,25,2
146,VfB Concordia Britz 1916,Arne-Luca Auctun,19,IV,19,2
147,BFC Meteor 06,Jannik Jantzen,27,ZDM,22,2
148,FSV Berolina Stralau 1901,Georg Schönfelder,3,IV,24,2
149,Berliner SC II,Erhan Kücükosman,10,ST,17,2
150,BFC Preussen II,Tim Eymann,19,LV,4,2
151,TSV Rudow Berlin,Nana Kwame Badu-Amoah,7,LM,19,2
152,SV Stern Britz 1889,Leonit Leci,17,IV,15,2
153,FC Internationale Berlin 1980,Marko Fischer,4,LV,8,2
154,BFC Preussen II,Jeff Nnaemeka-Chukwurah,28,ZDM,16,2
155,BSV Eintracht Mahlsdorf II,Loide Simao Macave,13,ST,4,2
156,SV Empor Berlin II,Milo Lippe,8,ZM,20,2
157,BFC Preussen II,Arda Isik,NA,LM,11,2
158,Berliner SC II,Moritz Brune,17,NA,1,2
159,BSV Eintracht Mahlsdorf II,Yulian Andres Cordoba Moreno,NA,NA,3,2
160,TSV Rudow Berlin,Abdullah Bayram,21,LM,25,2
161,BFC Preussen II,Theo Kagoue,45,RM,15,2
162,Köpenicker FC,Luca Munsky,3,LV,22,2
163,Köpenicker FC,Osben-Dario Ondo Mangue,2,NA,11,2
164,Türkiyemspor Berlin,Mohamad Faramarzi,20,RM,14,2
165,BFC Meteor 06,Farouk Ben Mustapha,18,ST,9,2
166,FC Internationale Berlin 1980,Oscar Reinaldo Avendano Leon,30,LM,7,2
167,SV Stern Britz 1889,Timo Brei,NA,IV,4,2
168,FC Internationale Berlin 1980,Nikita Ovcharov,NA,NA,2,2
169,BFC Meteor 06,Solomon Okoronkwo,NA,ZOM,5,1
170,BFC Preussen II,Moris Fikic,10,ZOM,7,1
171,BSV Al-Dersimspor,Karsten Schleifring,25,ST,10,1
172,SV Empor Berlin II,Maurice Peitz,NA,IV,1,1
173,Berliner SC II,Linus Dersch,NA,RM,7,1
174,SV Stern Britz 1889,Andre Schulz,23,IV,25,1
175,BSV Eintracht Mahlsdorf II,Kay Szczech,18,ZM,22,1
176,SV Stern Britz 1889,Resul Hirik,NA,RM,8,1
177,TSV Rudow Berlin,Leonard Kirschner,NA,ST,6,1
178,BFC Preussen II,Julian von Gliszczynski,NA,NA,3,1
179,SV Stern Britz 1889,Christopher Schneider,NA,RM,6,1
180,SV Stern Britz 1889,Philipp Kemkes,NA,NA,3,1
181,Berliner SC II,Nelson Antoniofrancisco,7,LM,9,1
182,SC Borsigwalde 1910,Kenneth Weise,49,IV,16,1
183,BSV Eintracht Mahlsdorf II,Lukas Grützner,8,IV,19,1
184,Köpenicker FC,Philip Möhle,28,RV,16,1
185,VfB Concordia Britz 1916,Björn Röchert,30,IV,9,1
186,BSV Al-Dersimspor,Mücahid Kahraman,3,RV,20,1
187,Berliner SC II,Noah Peter,12,ZM,13,1
188,SC Borsigwalde 1910,Riccardo Ciao,18,ZDM,23,1
189,BFC Preussen II,Romario Hartwig,NA,ST,2,1
190,BSV Al-Dersimspor,Amir Awag,5,RV,26,1
191,Berliner SV 1892,Göktug Özsoy,19,ZM,19,1
192,SC Borsigwalde 1910,Michel Stefaniszin,8,ZDM,26,1
193,SV Stern Britz 1889,Timo Höhna,6,LV,20,1
194,BSV Al-Dersimspor,Karim Zagmouz,6,IV,12,1
195,BSV Al-Dersimspor,Hakan Günaydin,NA,LM,5,1
196,Berliner SC II,Tim Niedenhoff,19,ZM,18,1
