ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,scorerpoints_ratio,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
553841,Hugo Timur,BFC Preussen II,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,LM,NA,100%,0%
553861,Claude Kameni,Berliner SV 1892,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
554141,Serkan Türkoglu,BSV Hürtürkel,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,NA,NA,0%,0%
554261,Robert Kruk,DJK Schwarz-Weiß Neukölln,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
554297,El-Amin Elsaadawi,Berliner SV 1892,1,0,0,0,0,0,1,0,69,0,NA,0.026,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
554480,Ihab Al-Khalaf,Friedenauer TSC,1,2,0,0,0,0,0,1,55,0,NA,0.02,NA,1,1,3,1,0,3,NA,NA,NA,0%,0%
554523,Patrick Magiera,Friedenauer TSC,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
554526,Kenney Kojo Sey,Friedenauer TSC,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,3,1,0,3,NA,NA,NA,0%,0%
554528,Marcel Knaack,SC Borsigwalde 1910,1,1,0,0,0,0,0,1,45,0,NA,0.017,NA,0,0,3,1,0,3,NA,ZOM,NA,100%,0%
554533,Hendrik Herzog,Friedenauer TSC,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
554538,Markus Magiera,Friedenauer TSC,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
555683,Steven Buchweitz,SV BW Berolina Mitte 49,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,ZOM,NA,100%,0%
555710,Kevin Uwe Einspannier,Berliner SC II,1,2,0,0,0,0,0,0,90,0,NA,0.033,NA,1,1,3,1,0,3,NA,ZM,NA,100%,0%
555713,Nelson Antoniofrancisco,Berliner SC II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
555945,Kenneth Weise,SC Borsigwalde 1910,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
555984,Dominik Plohmann,Friedenauer TSC,1,0,1,0,0,0,0,0,90,0,NA,0.033,NA,1,1,3,1,0,3,NA,NA,NA,0%,0%
555988,Marian Popp,SV Empor Berlin II,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,NA,NA,0%,0%
557610,Dan Feldmann,BFC Preussen II,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,ST,NA,100%,0%
561892,Benjamin Schnack,Berliner SV 1892,1,0,0,0,0,0,0,1,21,0,NA,0.008,NA,0,0,0,1,0,0,NA,ZM,NA,100%,0%
561986,Tim Wolf-Triebel,SV BW Berolina Mitte 49,1,0,0,0,0,0,1,0,10,0,NA,0.004,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
562221,Ömer Coskunaydin,SC Borsigwalde 1910,1,0,0,0,0,0,1,0,2,0,NA,0.001,NA,0,0,0,0,1,0,NA,NA,NA,0%,0%
564201,Eric Warncke,Sportfreunde Johannisthal,1,0,0,0,0,0,0,1,66,0,NA,0.024,NA,0,0,3,1,0,3,NA,RM,NA,100%,0%
565717,Taha Aslan,Berlin Hilalspor,1,0,0,0,0,0,0,1,70,0,NA,0.026,NA,0,0,0,1,0,0,NA,ZM,NA,100%,0%
567817,Lucian Ewald,SC Berliner Amateure,1,0,0,0,0,0,0,1,85,0,NA,0.031,NA,0,0,0,1,0,0,NA,NA,NA,0%,0%
569404,Jakob Lenz,SC Berliner Amateure,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
574119,Sean Franz,1. FC Schöneberg 1913,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,1,1,3,1,0,3,NA,NA,NA,0%,0%
574303,Tim Wolter,Friedenauer TSC,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
587441,Karl Anker,Berliner SV 1892,1,0,0,0,0,0,0,0,90,0,NA,0.033,NA,0,0,0,1,0,0,NA,RV,NA,100%,0%
589795,Noah Peter,Berliner SC II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
589922,Alexander Huse,Berliner SC II,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
