Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
281,Türkiyemspor Berlin,Amon Simunovic,6,ZDM,23,0
282,BFC Preussen II,Dominik Dietzel,1,TW,13,0
283,SV Stern Britz 1889,Timo Ziebarth,1,TW,17,0
284,FC Internationale Berlin 1980,Enrique Freitag,8,ZDM,20,0
285,BSV Al-Dersimspor,Etem Tonk,24,IV,24,0
286,Türkiyemspor Berlin,Dennis Fischer,2,LV,8,0
287,FSV Berolina Stralau 1901,Philipp Nikolajewski,14,IV,15,0
288,SV Stern Britz 1889,Nico Hauf,13,IV,17,0
289,FSV Berolina Stralau 1901,Ian Häberle,22,IV,23,0
290,Türkiyemspor Berlin,Ertugrul Aktas,13,TW,18,0
291,FSV Berolina Stralau 1901,Akiyasu Tsuchiya,6,ZM,9,0
292,Köpenicker FC,Adrian Thiemann,1,TW,20,0
293,VfB Concordia Britz 1916,Leon Ketel,1,TW,14,0
294,FSV Berolina Stralau 1901,Pablo Guillen,8,ZM,17,0
295,BSV Al-Dersimspor,Onur Kalkan,63,IV,15,0
296,SV Empor Berlin II,Pascal Bräkow,2,RV,27,0
297,FC Internationale Berlin 1980,Amin Malik Chahed,77,NA,8,0
298,Türkiyemspor Berlin,Muzaffer Kirimoglu,9,ST,9,0
299,SV Empor Berlin II,Tilman Schinzel,14,IV,17,0
300,FC Viktoria 1889 Berlin II,Simon Stefanovic,7,LV,23,0
301,Köpenicker FC,Rayk Stahnke,26,ZM,11,0
302,VfB Concordia Britz 1916,Deniz Gassen,10,ZM,8,0
303,SC Borsigwalde 1910,Firat Yildirim,15,ZDM,15,0
304,Türkiyemspor Berlin,Florian Nikolai Thalhofer,17,RV,19,0
305,VfB Concordia Britz 1916,Malte Meißner,33,TW,12,0
306,SC Borsigwalde 1910,Khaled El-Okkla,27,IV,21,0
307,SV Stern Britz 1889,Tommes Diallo,2,RV,7,0
308,SC Borsigwalde 1910,David Chukwu,NA,LV,13,0
309,FSV Berolina Stralau 1901,Leeroy-Life Leffke,13,NA,9,0
310,VfB Concordia Britz 1916,Benedikt Schmidtmann,23,RV,24,0
