Rank,Team,Name,Nr,Pos,Spiele,Tore
48,SC Berliner Amateure,Asbjørn Kistrup Barfod,NA,NA,2,1
49,SC Berliner Amateure,Jan Schönball,NA,NA,1,1
50,SC Berliner Amateure,Ben Kozak,NA,NA,1,1
51,Friedenauer TSC,Carl Prümke,NA,ZDM,2,1
52,Friedenauer TSC,Diego Joaquin Lopez Martinez,NA,NA,1,1
53,Pfeffersport,Jonathan Grunert,NA,ST,2,1
54,Pfeffersport,Paul Oskar Schirp,NA,ZM,2,1
55,Berolina Mitte,Leandro Ngomane,NA,RM,2,1
56,Berolina Mitte,Valentin Wiegand,7,ZDM,1,1
57,Berolina Mitte,Jhon Fernando Garces Daza,10,NA,3,1
58,SV Empor Berlin II,Emile Ako,18,ZDM,3,1
59,SV Empor Berlin II,Billy Bradley Tuckerman,12,LM,2,1
60,SC Borsigwalde,Daniel Mpembele Nzongo,NA,NA,3,1
61,SC Borsigwalde,Islam Umalatov,NA,NA,2,1
62,SC Borsigwalde,Marcel Bubner,NA,ST,3,1
63,SC Borsigwalde,Marcel Knaack,NA,ZOM,1,1
64,SC Borsigwalde,Magnus Crone,NA,NA,2,1
65,BFC Preussen II,Leo Sommerfeld,3,IV,3,1
66,BFC Preussen II,Rommel Abou-Chaker,13,ZOM,2,1
67,BFC Preussen II,Hugo Timur,NA,LM,2,1
68,DJK Schwarz-Weiß Neukölln,Dorian Kühn,NA,LV,1,1
69,DJK Schwarz-Weiß Neukölln,Glian Hoeri,NA,NA,3,1
70,DJK Schwarz-Weiß Neukölln,Norman Guski,NA,ST,3,1
71,DJK Schwarz-Weiß Neukölln,Christoph Ruden,NA,ZDM,3,1
72,SF Charlottenburg-Wilmersdorf 03,Maximilian Kocher,NA,LM,3,1
73,SF Charlottenburg-Wilmersdorf 03,Johannes Gehring,NA,ZM,3,1
74,Berliner SC II,Danilo Arsic,11,NA,1,0
75,Berliner SC II,Leon Ibrom,4,IV,1,0
76,Berliner SC II,Eric Herbst,0,NA,0,0
77,Berliner SC II,Jakob Baum,20,LM,3,0
78,Berliner SC II,Alwin Hunger,22,NA,1,0
79,Berliner SC II,Stefan Glaser,9,NA,0,0
80,Berliner SC II,Bryan Lilja,18,RM,2,0
81,Berliner SC II,Jesse Kreuschner,21,TW,3,0
82,Berliner SC II,Ben Fidanboy,0,NA,0,0
83,Berliner SC II,Erhan Kücükosman,10,ST,2,0
84,Berliner SC II,Paul Schlicht,1,NA,0,0
85,Berliner SC II,Felix Klebe,0,NA,0,0
86,Berliner SC II,Lennard Schröder,16,NA,2,0
87,Berliner SC II,Alessandro Tamburo,33,ST,3,0
88,Berliner SC II,Moritz Brune,0,NA,0,0
89,Berliner SC II,Yigit Öncü,8,NA,2,0
90,Berliner SC II,Simon Riedel,0,RV,1,0
91,Berliner SC II,Carlos Huambo,17,NA,2,0
92,Berliner SC II,Jannis Gabrielides,0,NA,0,0
93,Berliner SC II,Yakup Yasar,0,NA,0,0
94,Berliner SC II,Eike Barth,0,NA,0,0
95,Berliner SC II,Daniel Brüggemann,31,NA,1,0
96,Berliner SC II,Alexander Lorenz,31,ST,1,0
97,Berliner SC II,Nino Zamorano,28,NA,1,0
98,Berliner SC II,Linus Dersch,7,ST,1,0
99,Berliner SC II,Nelson Antoniofrancisco,0,NA,0,0
100,Berliner SC II,Noah Peter,12,NA,0,0
101,Berliner SC II,Alexander Huse,13,NA,0,0
102,Berliner SC II,Jakob Heilmann,2,LV,3,0
103,Berliner SC II,Dominique Leitner,5,IV,3,0
104,Berliner SC II,Marcel Potempa,0,NA,1,0
105,FC Internationale Berlin,Akiyasu Tsuchiya,NA,ZM,3,0
106,FC Internationale Berlin,Amin Malik Chahed,NA,NA,0,0
107,FC Internationale Berlin,Jasper Büll,NA,NA,0,0
108,FC Internationale Berlin,Thomaz Klingl,NA,NA,0,0
109,FC Internationale Berlin,Stefan Nicola,NA,NA,0,0
110,FC Internationale Berlin,Moreno Schneider,NA,NA,0,0
111,FC Internationale Berlin,Marcos Adrian Castro Barbera,NA,NA,0,0
112,FC Internationale Berlin,Jascha Robin Wörteler,NA,IV,3,0
113,FC Internationale Berlin,Jim Bratschke,NA,NA,0,0
114,FC Internationale Berlin,Bryson Rodney Pink,NA,LM,2,0
115,FC Internationale Berlin,Kaan Ucbaglar,NA,NA,0,0
116,FC Internationale Berlin,Giovanni Marigo,NA,LM,3,0
117,FC Internationale Berlin,Tiago de Sousa Oliveira,NA,NA,1,0
118,FC Internationale Berlin,Matteo Topal,NA,NA,1,0
119,FC Internationale Berlin,Saif Merabti,NA,NA,0,0
120,FC Internationale Berlin,Franzisko Bätz,NA,ZM,2,0
121,FC Internationale Berlin,Nicolas Costa Echeverria,NA,IV,2,0
122,FC Internationale Berlin,Juan José Swett Barros,NA,NA,0,0
123,FC Internationale Berlin,Dominic Kranz,NA,NA,1,0
124,FC Internationale Berlin,Cristobal Del Fierro,NA,NA,0,0
125,FC Internationale Berlin,Ryan Max Robert French,NA,NA,0,0
126,FC Internationale Berlin,Maximilian De Rosnay,NA,NA,0,0
127,FC Internationale Berlin,Roger Gonzalez Hermosa,NA,NA,0,0
128,FC Internationale Berlin,Maximilian Louis Alexis Caspar de Rosnay,NA,NA,0,0
129,FC Internationale Berlin,Oscar Reinaldo Avendano Leon,NA,NA,0,0
130,FC Internationale Berlin,Sebastian Basaure Larrain,NA,NA,0,0
131,FC Internationale Berlin,Jamie Dell Bullock,NA,NA,2,0
132,FC Internationale Berlin,Joel Broughton Weeks,NA,NA,0,0
133,FC Internationale Berlin,Zachariah Mohamed Dukuly,NA,NA,0,0
134,FC Internationale Berlin,Marlon Mayen Guzman,NA,NA,0,0
135,FC Internationale Berlin,Alexander Schulze,NA,TW,3,0
136,FC Internationale Berlin,Joshua Senne,NA,NA,1,0
137,FC Internationale Berlin,Antonio Boeddinghaus,NA,IV,2,0
138,FC Internationale Berlin,Niklas Schindler,NA,IV,2,0
139,FC Internationale Berlin,Enrique Freitag,NA,ZM,2,0
140,FC Internationale Berlin,Albert Bauder,NA,NA,2,0
141,FC Internationale Berlin,Milan Daus,NA,NA,1,0
142,FC Internationale Berlin,Josè Francisco Cunto,NA,NA,0,0
143,SF Johannisthal,Max Mittelstädt,31,RM,2,0
144,SF Johannisthal,Tim Meyer,NA,TW,0,0
145,SF Johannisthal,Eric Berthold,NA,NA,0,0
146,SF Johannisthal,Toni Ölke,1,TW,3,0
147,SF Johannisthal,Jakob Dörre,4,LV,2,0
148,SF Johannisthal,Marvin Pawel,16,ZM,2,0
149,SF Johannisthal,Tom Franke,NA,ST,2,0
150,SF Johannisthal,Leander Wachholz,NA,NA,1,0
151,SF Johannisthal,Yannik Pilz,3,IV,2,0
152,SF Johannisthal,Benjamin Mujic,NA,NA,1,0
153,SF Johannisthal,Chehine Chaieb,NA,NA,0,0
154,SF Johannisthal,Colin Gonda,6,ZDM,2,0
155,SF Johannisthal,Taha Acar,NA,IV,0,0
156,SF Johannisthal,Mathis Aust,NA,NA,1,0
157,SF Johannisthal,Tom Förster,NA,NA,1,0
158,SF Johannisthal,Elias Melnik,NA,NA,0,0
159,SF Johannisthal,Robin Singh,NA,NA,1,0
160,SF Johannisthal,Lars Walden,2,IV,3,0
161,SF Johannisthal,Hendrik Bode,NA,NA,1,0
162,SF Johannisthal,Marvin Herter,5,LV,1,0
163,SF Johannisthal,Marvin Hilgendorf,NA,RV,1,0
164,Berlin Hilalspor,Samet Balci,NA,NA,1,0
165,Berlin Hilalspor,Ilker Hasret Demir,NA,ZDM,1,0
166,Berlin Hilalspor,Cihat Birol,NA,NA,0,0
167,Berlin Hilalspor,Sadri Can Ekmekci,NA,NA,3,0
168,Berlin Hilalspor,Charles Gisede,NA,NA,0,0
169,Berlin Hilalspor,Ömer Tanis,NA,IV,2,0
170,Berlin Hilalspor,Donte Williams,NA,NA,2,0
171,Berlin Hilalspor,Chakourou Garba,NA,NA,0,0
172,Berlin Hilalspor,Mortaza Rahimi,NA,LV,2,0
173,Berlin Hilalspor,Talha Diken,NA,NA,0,0
174,Berlin Hilalspor,Dogus Güngör,NA,RV,1,0
175,Berlin Hilalspor,Ensar Gün,NA,NA,1,0
176,Berlin Hilalspor,Armin Asotic,NA,RM,3,0
177,Berlin Hilalspor,Kassem El-Ahmad,NA,NA,1,0
178,Berlin Hilalspor,Willy Akanakimana,NA,ZM,1,0
179,Berlin Hilalspor,Hussein Barbich,NA,NA,0,0
180,Berlin Hilalspor,Bedran Gökce,NA,NA,0,0
181,Berlin Hilalspor,Abdallah Khattab,NA,NA,0,0
182,Berlin Hilalspor,Mohammed Fadel,NA,TW,1,0
183,Berlin Hilalspor,Sercan Fallmann,NA,LV,1,0
184,Berlin Hilalspor,Mohammed Khalid Qaderi,NA,NA,0,0
185,Berlin Hilalspor,Ramdane Wahabou,NA,LM,3,0
186,Berlin Hilalspor,Mohamed Marouwane,NA,IV,2,0
187,Berlin Hilalspor,Erkut Ergiligür,NA,NA,0,0
188,Berlin Hilalspor,Taha Aslan,NA,ZM,2,0
189,Berlin Hilalspor,Onur Eren,NA,NA,2,0
190,Berlin Hilalspor,Davut Kösker,NA,TW,2,0
191,Berlin Hilalspor,Görkem Yilmaz,NA,ST,3,0
192,Berlin Hilalspor,Bilgehan Hancer,NA,ST,3,0
193,Berlin Hilalspor,Onur Gezer,NA,NA,0,0
194,BSV Hürtürkel,Younes Missaoui,NA,NA,1,0
195,BSV Hürtürkel,Jacob Ahrendt,NA,NA,1,0
196,BSV Hürtürkel,Hamza El Kassem,NA,LV,1,0
197,BSV Hürtürkel,Muzaffer Kirimoglu,NA,NA,1,0
198,BSV Hürtürkel,David Langer,NA,TW,2,0
199,BSV Hürtürkel,Dursun Tunahan Akdag,NA,ZDM,2,0
200,BSV Hürtürkel,Kemal Tosun,NA,NA,0,0
201,BSV Hürtürkel,Görkem-Alp Zeren,NA,IV,2,0
202,BSV Hürtürkel,Emre Kücükodabasi,NA,RV,2,0
203,BSV Hürtürkel,Ilkay Yegin,NA,NA,0,0
204,BSV Hürtürkel,Kubilay Yilmaz,NA,ST,3,0
205,BSV Hürtürkel,Muhammed Yildirgan,NA,NA,1,0
206,BSV Hürtürkel,Ali Oguzhan,NA,NA,0,0
207,BSV Hürtürkel,Ali Tanis,NA,IV,3,0
208,BSV Hürtürkel,Justice Igiebor,NA,NA,0,0
209,BSV Hürtürkel,Ömer Yavuz,NA,NA,0,0
210,BSV Hürtürkel,Ilker Samed Yigit,NA,NA,3,0
211,BSV Hürtürkel,Harun Efe Kurnaz,NA,ZDM,3,0
212,BSV Hürtürkel,Furkan Arslan,NA,NA,1,0
213,BSV Hürtürkel,Kadir Inal,NA,NA,1,0
214,BSV Hürtürkel,Hakan Önal,NA,NA,1,0
215,BSV Hürtürkel,Serdar Günes,NA,RV,1,0
216,BSV Hürtürkel,Serkan Türkoglu,NA,IV,2,0
217,BSV Hürtürkel,Mustafa Bicen,NA,NA,0,0
218,BSV Hürtürkel,Ismail Ülke,NA,NA,1,0
219,BSV Hürtürkel,Abdullah Usame Karadeniz,NA,TW,1,0
220,BSV Hürtürkel,Ibrahim Inal,NA,NA,2,0
221,1.FC Schöneberg,Samer Abou Khalil,NA,NA,1,0
222,1.FC Schöneberg,Daniel Müller,NA,LM,0,0
223,1.FC Schöneberg,Emre Gedek,NA,NA,3,0
224,1.FC Schöneberg,Atakan Gündogdu,NA,LV,1,0
225,1.FC Schöneberg,Nico Scholz,NA,NA,0,0
226,1.FC Schöneberg,Radovan-Damjan Stojanovic,NA,IV,3,0
227,1.FC Schöneberg,Tobias Weckeck,NA,NA,0,0
228,1.FC Schöneberg,Cihan Ilter,NA,NA,0,0
229,1.FC Schöneberg,Julian Horwarth,NA,NA,0,0
230,1.FC Schöneberg,Zafer Kaan Göksar,NA,NA,1,0
231,1.FC Schöneberg,Dolunay Sabahat,NA,NA,2,0
232,1.FC Schöneberg,Emin Musa Cetintas,NA,RM,3,0
233,1.FC Schöneberg,Ibrahim Baba Aliyu,NA,NA,0,0
234,1.FC Schöneberg,Dogukan Degirmenci,NA,LV,3,0
235,1.FC Schöneberg,Tornike Kvaratskhelia,NA,TW,1,0
236,1.FC Schöneberg,Kani Özdil,NA,IV,3,0
237,1.FC Schöneberg,Tahsin Özkara,NA,NA,2,0
238,1.FC Schöneberg,Youssef Fakhro,NA,IV,1,0
239,1.FC Schöneberg,Sean Franz,NA,ZDM,3,0
240,1.FC Schöneberg,Halil Özöz,NA,NA,0,0
241,1.FC Schöneberg,Izzet Ciftci,NA,NA,3,0
242,1.FC Schöneberg,Janik Meyer,NA,TW,1,0
243,BSV 1892,Niklas Jost,NA,IV,3,0
244,BSV 1892,Firooz Ahmadi,NA,NA,0,0
245,BSV 1892,Leo Suilmann,NA,NA,0,0
246,BSV 1892,Bruno Ebert,NA,NA,0,0
247,BSV 1892,Arthur Stephan,NA,NA,2,0
248,BSV 1892,Dominik Hinze,NA,ZOM,2,0
249,BSV 1892,Miron Aloydov,NA,NA,0,0
250,BSV 1892,Hendrik Lüttschwager,NA,TW,3,0
251,BSV 1892,Sebastian Sobczyk,NA,NA,0,0
252,BSV 1892,Claude Kameni,NA,NA,0,0
253,BSV 1892,Benjamin Schnack,NA,IV,2,0
254,BSV 1892,Nikita Charkov,NA,RV,1,0
255,BSV 1892,Maximilian Blust,NA,NA,0,0
256,BSV 1892,Nicht öffentlich,NA,NA,1,0
257,BSV 1892,Joscha Yanar,NA,LM,1,0
258,BSV 1892,Tim Paschke,NA,LM,3,0
259,BSV 1892,Stefano Tedesco,NA,IV,2,0
260,SC Berliner Amateure,Julian Fleige,NA,NA,2,0
261,SC Berliner Amateure,Robin Law,NA,NA,0,0
262,SC Berliner Amateure,Nerzihoua Moussa Kone,NA,NA,2,0
263,SC Berliner Amateure,Niklas Wittjen,NA,NA,1,0
264,SC Berliner Amateure,Finn Kurt Bielenberg,NA,NA,1,0
265,SC Berliner Amateure,Nikolai Kemlein,NA,NA,2,0
266,SC Berliner Amateure,Tim Schliemann,NA,NA,0,0
267,SC Berliner Amateure,Paul Becker,NA,NA,0,0
268,SC Berliner Amateure,Felix Mehring,NA,NA,1,0
269,SC Berliner Amateure,Fynn Niklas Paetschke,NA,NA,1,0
270,SC Berliner Amateure,Anton Vossen,NA,NA,0,0
271,SC Berliner Amateure,Paul Linus van Bürck,NA,NA,1,0
272,SC Berliner Amateure,Tom Kozak,NA,NA,1,0
273,SC Berliner Amateure,Yannik Rosenberg,NA,NA,1,0
274,SC Berliner Amateure,Lorenz Dändliker,NA,NA,1,0
275,SC Berliner Amateure,Aimo Weber,NA,NA,0,0
276,SC Berliner Amateure,Jaromil Essers,NA,NA,3,0
277,SC Berliner Amateure,Fridtjof Müller,NA,LM,0,0
278,SC Berliner Amateure,Lars Tasche,NA,NA,3,0
279,SC Berliner Amateure,Joscha Schulte-Holtey,NA,NA,2,0
280,SC Berliner Amateure,Lars Werner,NA,ZOM,3,0
281,SC Berliner Amateure,Soulemane Imorou,NA,NA,3,0
282,SC Berliner Amateure,Caspar Ropers,NA,NA,1,0
283,SC Berliner Amateure,Baboucarr Jammeh,NA,NA,0,0
284,SC Berliner Amateure,Deniz Duman,NA,NA,0,0
285,SC Berliner Amateure,Abdallah Soliman,NA,NA,2,0
286,SC Berliner Amateure,Emil Orywal,NA,NA,1,0
287,SC Berliner Amateure,Guillermo Sancho Incirci,NA,NA,1,0
288,SC Berliner Amateure,Ismaila Njie,NA,NA,1,0
289,SC Berliner Amateure,Lucian Ewald,NA,NA,3,0
290,SC Berliner Amateure,Jakob Lenz,NA,NA,0,0
291,SC Berliner Amateure,Malte Räuchle,NA,NA,2,0
292,SC Berliner Amateure,Moritz Willkomm,NA,NA,2,0
293,SC Berliner Amateure,Carlos Frei,NA,NA,1,0
294,Friedenauer TSC,Soeren Kissner,NA,NA,0,0
295,Friedenauer TSC,Kevin Woithe,NA,LV,3,0
296,Friedenauer TSC,Armin Ghassemi Yeganeh,NA,NA,0,0
297,Friedenauer TSC,Maximilian Reinhard Schubart,NA,ST,2,0
298,Friedenauer TSC,Lionel Vowinckel,NA,NA,1,0
299,Friedenauer TSC,Sebastian Smith,NA,NA,0,0
300,Friedenauer TSC,Theo Prümke,NA,ZDM,3,0
301,Friedenauer TSC,Niklas Rother,NA,TW,2,0
302,Friedenauer TSC,Joshua Ridzewski,NA,NA,2,0
303,Friedenauer TSC,Hussein Ahmo,NA,NA,0,0
304,Friedenauer TSC,Oskar Lauriac,NA,NA,0,0
305,Friedenauer TSC,Finley Fuchs,NA,IV,2,0
306,Friedenauer TSC,Eray Krüger,NA,NA,2,0
307,Friedenauer TSC,Dominik Vukoja,NA,NA,2,0
308,Friedenauer TSC,Teoman Saatci,NA,NA,1,0
309,Friedenauer TSC,Tarkan Taskiran,NA,NA,2,0
310,Friedenauer TSC,Tobias Kneppe,NA,NA,0,0
311,Friedenauer TSC,Bünyamin Maras,NA,NA,0,0
312,Friedenauer TSC,Paul Kleinfeldt,NA,RV,3,0
313,Friedenauer TSC,Iven Stritzke,NA,RM,3,0
314,Friedenauer TSC,Arhan Colakoglu,NA,NA,0,0
315,Friedenauer TSC,Joshua Fuchs,NA,IV,1,0
316,Friedenauer TSC,Marten Niemeyer,NA,ZOM,3,0
317,Friedenauer TSC,Louis Anthony Guske,NA,NA,2,0
318,Friedenauer TSC,Patrick Magiera,NA,ZOM,1,0
319,Friedenauer TSC,Kenney Kojo Sey,NA,IV,3,0
320,Friedenauer TSC,Hendrik Herzog,NA,NA,0,0
321,Friedenauer TSC,Markus Magiera,NA,ZOM,0,0
322,Friedenauer TSC,Dominik Plohmann,NA,NA,1,0
323,Friedenauer TSC,Tim Wolter,NA,NA,0,0
324,Friedenauer TSC,Nico Tolzmann,NA,NA,0,0
325,Pfeffersport,Theodor Richter,NA,NA,0,0
326,Pfeffersport,Carl Rupprich,NA,NA,0,0
327,Pfeffersport,Cosmo Bandilla,NA,NA,0,0
328,Pfeffersport,Julian Marcell,NA,ZM,2,0
329,Pfeffersport,Friedrich Würzner,NA,ST,2,0
330,Pfeffersport,Carl Zimmering,NA,RV,2,0
331,Pfeffersport,Tamino Brendel,NA,NA,0,0
332,Pfeffersport,Ole Benjamin Will,NA,NA,0,0
333,Pfeffersport,Mohamed Boudlal,NA,LM,3,0
334,Pfeffersport,Rasmus Jakob Thomas Kasimir Kriesel,NA,NA,0,0
335,Pfeffersport,Noah Roitzsch,NA,LV,2,0
336,Pfeffersport,Marius Schreiber,NA,NA,3,0
337,Pfeffersport,Tim Oettle,NA,NA,0,0
338,Pfeffersport,Anton Weber,NA,NA,0,0
339,Pfeffersport,Antonin Urban,NA,NA,0,0
340,Pfeffersport,Eric Mohorn,NA,NA,0,0
341,Pfeffersport,Janek Wieland,NA,NA,0,0
342,Pfeffersport,Manuel Goudjo Aguigah,NA,LM,2,0
343,Pfeffersport,Florian Möller,NA,NA,0,0
344,Pfeffersport,Bela Roth,NA,NA,0,0
345,Pfeffersport,Jelle Röben,NA,NA,0,0
346,Pfeffersport,Elias Ulsamer,NA,NA,0,0
347,Pfeffersport,Linus Debrodt,NA,NA,0,0
348,Pfeffersport,Mohammad Barakat,NA,RM,3,0
349,Pfeffersport,Emmanuel Sokowonci Daniel,NA,NA,1,0
350,Pfeffersport,Jannik Kuß,NA,NA,2,0
351,Pfeffersport,Bonke Andresen,NA,NA,1,0
352,Pfeffersport,Tristan Baron,NA,NA,0,0
353,Pfeffersport,Benedict Klenk,NA,ZM,3,0
354,Pfeffersport,Oskar Schmiedel,NA,IV,2,0
355,Pfeffersport,Philipp Pilz,NA,IV,3,0
356,Pfeffersport,Heinrich Sander,NA,IV,3,0
357,Pfeffersport,Bruno Hertling,NA,NA,0,0
358,Pfeffersport,Joey Luchsinger,NA,NA,0,0
359,Pfeffersport,Jakob Kamara,NA,NA,0,0
360,Pfeffersport,Jannik Kremer,NA,RM,1,0
361,Pfeffersport,Luca Tschiche,NA,TW,1,0
362,Pfeffersport,Elias Aguigah,NA,LM,1,0
363,Pfeffersport,Zorc Kolfenbach,NA,TW,1,0
364,Berolina Mitte,Moritz Müller,9,LM,3,0
365,Berolina Mitte,Floris Lucas Georgi,3,IV,3,0
366,Berolina Mitte,Lennart-Ole Neuber,NA,NA,0,0
367,Berolina Mitte,Bruno Beuchel,NA,NA,0,0
368,Berolina Mitte,Fabio Benabid,NA,IV,2,0
369,Berolina Mitte,Yann Metzmacher,4,ZDM,3,0
370,Berolina Mitte,Moritz Kahl,NA,NA,0,0
371,Berolina Mitte,Rio Wermer,NA,ZOM,2,0
372,Berolina Mitte,Jonas Tilmann,NA,ST,1,0
373,Berolina Mitte,Justin Kretschmer,NA,NA,0,0
374,Berolina Mitte,Minh Dang Ngo,22,NA,1,0
375,Berolina Mitte,Stephan Arbelaez Rodriguez,NA,NA,1,0
376,Berolina Mitte,Ilya Hadari,NA,LV,1,0
377,Berolina Mitte,Daiwy Chioccarelli,NA,LM,2,0
378,Berolina Mitte,Matthäus Schmidt,NA,RM,0,0
379,Berolina Mitte,Anis Metin,NA,NA,0,0
380,Berolina Mitte,Xavier Schmid,15,NA,0,0
381,Berolina Mitte,Steven Buchweitz,19,ST,3,0
382,Berolina Mitte,Tim Wolf-Triebel,20,TW,3,0
383,Berolina Mitte,Andreas Gefnider,NA,LV,3,0
384,Berolina Mitte,Henning Stötefalke,6,NA,3,0
385,Berolina Mitte,Julius Meier,NA,TW,2,0
386,Berolina Mitte,Marc Oliver Schlarmann,5,RV,3,0
387,SV Empor Berlin II,Philipp Macketanz,15,LV,2,0
388,SV Empor Berlin II,Pascal Bräkow,2,RV,3,0
389,SV Empor Berlin II,Malte Bohn,NA,NA,1,0
390,SV Empor Berlin II,Pjotr Xaver Strelets,NA,NA,0,0
391,SV Empor Berlin II,Tilman Schinzel,NA,NA,0,0
392,SV Empor Berlin II,Jonathan Stolp,NA,NA,0,0
393,SV Empor Berlin II,Justin Schmiedel,6,IV,2,0
394,SV Empor Berlin II,Niclas Nixdorf,3,RM,1,0
395,SV Empor Berlin II,Jannick Wollmann,5,IV,2,0
396,SV Empor Berlin II,Dominik Nogradi,NA,NA,1,0
397,SV Empor Berlin II,Aaron Yusuff,NA,TW,1,0
398,SV Empor Berlin II,Milo Lippe,NA,NA,0,0
399,SV Empor Berlin II,Leon Drannaschk,NA,NA,1,0
400,SV Empor Berlin II,Oskar Kühn,NA,LV,0,0
401,SV Empor Berlin II,Janne Henrik Bloch,33,TW,1,0
402,SV Empor Berlin II,Erik Hegenbarth,NA,NA,1,0
403,SV Empor Berlin II,Julian Duczmal,17,ZDM,3,0
404,SV Empor Berlin II,Rafael Mentrup,19,LM,3,0
405,SV Empor Berlin II,Laszlo Braun,NA,NA,0,0
406,SV Empor Berlin II,Mavin Wandel,13,NA,2,0
407,SV Empor Berlin II,Keita Udo,NA,NA,0,0
408,SV Empor Berlin II,Laurens Cerny,NA,RM,2,0
409,SV Empor Berlin II,Halil Tüzen,NA,NA,1,0
410,SV Empor Berlin II,Tedo Kublashvili,NA,IV,1,0
411,SV Empor Berlin II,Anushan Rajaratnam,NA,ZOM,2,0
412,SV Empor Berlin II,Reyaj Shrestha,8,LV,3,0
413,SV Empor Berlin II,Aiham Saleem,NA,ST,1,0
414,SV Empor Berlin II,Leopold Milan Greiner,NA,NA,1,0
415,SV Empor Berlin II,Marian Popp,4,IV,2,0
416,SV Empor Berlin II,Maurice Meyer,NA,TW,1,0
417,SV Empor Berlin II,Tjerk Ortmann,NA,NA,0,0
418,SV Empor Berlin II,Dennis Seiler,NA,NA,0,0
419,SV Empor Berlin II,Elias Thürigen,NA,NA,0,0
420,SC Borsigwalde,David Mpembele Nzongo,NA,NA,3,0
421,SC Borsigwalde,Khaled El-Okkla,NA,IV,3,0
422,SC Borsigwalde,David Chukwu,NA,NA,1,0
423,SC Borsigwalde,David Viedt,NA,NA,2,0
424,SC Borsigwalde,Pascal Eckert,NA,NA,0,0
425,SC Borsigwalde,Mostafa Kassem,NA,LV,3,0
426,SC Borsigwalde,Ahmad Chehade,NA,NA,0,0
427,SC Borsigwalde,Philip Bartoschek,NA,NA,0,0
428,SC Borsigwalde,Mohammed Yaqoobi,NA,NA,0,0
429,SC Borsigwalde,Hebun Aslan,NA,ZM,0,0
430,SC Borsigwalde,Jose Roberto Rodrigues,NA,NA,1,0
431,SC Borsigwalde,Prince Selemani Angali,NA,IV,3,0
432,SC Borsigwalde,Oskar Denis Cuesta,NA,NA,0,0
433,SC Borsigwalde,Ezher Akbulut,NA,NA,0,0
434,SC Borsigwalde,Nick Thalke,NA,RM,3,0
435,SC Borsigwalde,Adam Barnat,NA,ST,2,0
436,SC Borsigwalde,Joel Santiago Knopf,NA,NA,0,0
