Spieltag,Heim,Auswärts,H_tore,A_tore,HeimFormation,HeimStartelf,HeimSubs,ToreRaw,where,size,AuswaertsFormation,AuswaertsStartelf,AuswaertsSubs
1,Berolina Mitte,Berliner SC II,1,4,4-2-3-1,"Meier, Schlarmann, Georgi, Stoetefalke, Gefnider, Wiegand, Metzmacher, Garces Daza, Buchweitz, Chioccarelli, Opoku","Ngo, Müller, Triebel",1:1 (47.) Wiegand,away,S,4-2-2-2,"Kreuschner, Joseski, Ibrom, Leitner, Heilmann, Einspannier, Niedenhoff, Lilja, Baum, Kücükosman, Lorenz","+1 Schröder, +1 Huambo, Hunger, Tamburo, Kaggelidids"
1,SC Berliner Amateure,Friedenauer TSC,1,3,3-2-2-3,"Imorou, Tasche, Ewald, Kemlein, von Bürck, Essers, Kone, Frei, Werner, Kozak, Schulte-Holtey","Soliman, Willkomm, Njie, Barford, Fleige",2:1 (74.) Barfod,away,S,3-1-4-2,"Rother, Kleinfeldt, Sey, Plohmann, T. Prümke, Stritzke, Guske, Niemeyer, Fuchs, Al-Khalaf, Vowinckel","Taskiran, +2 C. Prümke, Woithe, Gandert, Vukoja"
1,SF Charlottenburg-Wilmersdorf 03,Pfeffersport,0,3,4-5-1,"Höhne, Kosky, Wendt, Dziadek, Jean-Louis, Yao, Dornheim, Kocher, Gehring, Diakite, Dos Santos","Koloff, Sabra, Gorr",,away,S,4-3-3,"Kolfenbach, Zimmering, Pilz, Sander, Boudlal, Schirp, Marcell, Klenk, Kremer, Grunert, Aguigah","Schreiber, Barakat, Scarlett, Schmiedel"
1,DJK Schwarz-Weiß Neukölln,BSV 1892,4,2,4-2-3-1,"Boel, Jakob, Ramljak, B. Hoeri, Kühn, Ruden, Kirsch, Schmidt, Padilla Cross, Achour, Guski","Köprülügil, Lindner, G. Hoeri, Erdogan, Elszel",2:1 (60.) Ruden; 2:2 (62.) Guski; 2:3 (76.) Kühn; 2:4 (90.+3) Hoeri,away,M,4-4-2,"Lüttschwager, Anker, Jost, Bechler, Malik, Zauner, Schnack, Schleifenbaum, Paschke, Busche, Bellin","Iwuozor, Elsaadawi, Stephan"
1,SV Empor Berlin II,1.FC Schöneberg,2,6,formation unclear,"Meyer, Bräkow, Popp, Wollmann, Macketanz, Drannaschk, Shrestha, Rajaratnam, Mentrup, Duczmal, Tuckerman . SR: Schlichtmann, Z.: 25. TORE: 0","Ako, Wandel, Bohn, Cerny, Bochnia",0:1 (3.) Tuckerman; 5:2 (65.) Bochnia,away,S,4-3-2-1,"Göksar, Cetintas, Özdil, Stojanovic, Degirmenci, Cabuk, Franz, Demir, Abou Khalil, E. Uzun, S. Uzun","Ciftci, +1 Nhacuonga, Gedek"
1,SF Johannisthal,BSV Hürtürkel,4,2,4-3-3,"Ölke, Olff, Walden, Pilz, Dörre, Pawel, Mittelstädt, Müller, Warncke, Franke, Lüdtke","Ferl, Aust",1:2 (64.) Lüdtke; 2:2 (71.) Lüdtke; 2:3 (76.) Lüdtke; 2:4 (84.) Ferl,away,M,4-2-1-3,"Langer, Kücükodabasi, Tanis, Türkoglu, Arslan, O. Yüksek, Akdag, Kurnaz, Bussmann, Yigit, U. Yüksek","Ülke, Yilmaz"
2,SV Empor Berlin II,BFC Preussen II,4,1,4-4-2,"Bloch, Bräkow, Popp, Wollmann, Macketanz, Nixdorf, Duczmal, Ako, Tuckerman, Bochnia, Mentrup","Schmiedel, Wandel, Shrestha, Hegenbarth, Ploschenz",1:0 (55.) Ako; 2:1 (69.) Bochnia; 3:1 (75.) Ploschenz;  4:1 (83.) Ploschenz,home,S,4-1-3-2,"Fisch, Özcan, Sommerfeld, Mayoungou, Ferchichi, Demir, Kelesoglu, Abou-Chaker, Stahlberg, Mikelatze, Feldmann","Arslani, Berner, Ruhland"
2,DJK Schwarz-Weiß Neukölln,FC Internationale Berlin,0,2,4-2-3-1,"Boel, Jakob, Lindner, B. Hoeri, Köprülügil, Ruden, Padilla Cross, Schmidt, Erdogan, Achour, Guski","Faubourg, Czuba, G. Hoeri, Shawrdi",,home,M,3-5-2,"Schulze, Wörteler, Schindler, Boeddinghaus, Marigo, Freitag, N. Stanley, Bätz, Pink, Henrich Paya, Nieto","Bullock, Bauder, Tsuchiya, M. Stanley, Senne"
2,SF Charlottenburg-Wilmersdorf 03,1.FC Schöneberg,1,3,5-4-1,"Boukari Yabara, Kosky, Sabah, Yao, Köhler, Jean-Louis, Kocher, Dornheim, Gehring, Adib, Diakite","Dhia Mayel, Aufschlag, Lischiz, dos Santos, Sabra",1:3 (86.) Kocher,home,M,4-2-3-1,"Meyer, Degirmenci, Özdil, Stojanovic, Gündogdu, Cabuk, Franz, Cetintas, Demir, E. Uzun, S. Uzun","Nhacuonga, +2 Özkara, Gedek, +4 Ciftci, Sabahat"
2,Berlin Hilalspor,Pfeffersport,4,1,4-4-2,"Fadel, Güngör, Yilmas, S. Ekmekci, Rahimi, Asotic, Köse, Tanis, Chawraba, Neziroglu, Hancer","O. Ekmekci, Marouwane, Wahabou, Willams, Aslan",1:1 (6.) Neziroglu; 2:1 (18.) Köse; 3:1 (69.) Chawraba; 4:1 (90.) Chawraba,home,S,4-3-2-1,"Daniel, Boudlal, Pilz, Sander, Roitzsch, Würzner, Aguigar, Marcell, Barakat, Scarlett, Grunert","Kuß, Schreiber, Klenk, Schmiedel, Andresen"
2,SC Berliner Amateure,BSV Hürtürkel,1,4,3-2-2-2-1,"Imorou, Tasche, Ewald, Kemlein, Essers, Ropers, Fleige, Orywal, Werner, Räuchle, Dändliker","Schönball, Paetschke, Incirci, Soliman, Barfod",1:3 (72.) Schönball,home,M,4-2-3-1,"Karadeniz, Kücükodabasi, Türkoglu, Tanis, I. Inal, Akdag, O. Yüksek, Bussmann, Kurnaz, U. Yüksek, Yilmaz","Zeren, +3 Ahrendt, Yildirgan, Yigit, Kirimoglu"
2,SF Johannisthal,Berliner SC II,8,0,4-2-3-1,"Ölke, Dörre, Walden, Ho mann, Herter, Gonda, Behrend, Mittelstädt, Lüdtke, Müller, Olff","Pilz, Pawel, Kroll, Warncke, Ferl",1:0 (4.) Behrend; 2:0 (45.+3) Müller; 3:0 (58.) Müller; 4:0 (69.) Ferl; 5:0 (74.) Ferl; 6:0 (84.) Olff; 7:0 (90.) Kroll; 8:0 (90.+5) Ferl,home,S,4-4-2,"Kreuschner, Joseski, Leitner, Niedenhoff, Heilmann, Lilja, Calmels, Kaggelidids, Baum, Tamburo, Einspannier","Schröder, Huambo, Öncu, Arsic, Brüggemann"
2,SC Borsigwalde,Friedenauer TSC,0,2,4-3-2-1,"Rodrigues Aguilar, Angali, El-Okkla, Acar, Kassem, Kummer, Rassuli, Thalke, Daniel Nzongo, David Nzongo, Bubner","Chukwu, Mousa, Crone, Umalatov, Barnat",,home,S,3-1-4-2,"Saatci, Kleinfeldt, Sey, Woithe, T. Prümke, Vukoje, Niemeyer, Guske, Stritzke, Schubart, Gandert","Taskiran, Martinez, +3 C. Prümke, Krüger, Ridzewski"
2,Berolina Mitte,BSV 1892,0,4,4-2-3-1,"Meier, Schlarmann, Benabid, Georgi, Gefnider, Stoetefalke, Metzmacher, Müller, Werner, Chioccarelli, Buchweitz","Wolf-Triebel, Rodriguez, Opoku, Garces Daza, Ngomane",,home,S,3-4-1-2,"Lüttschwager, Schnack, Tedesco, Jost, Anker, Paschke, Schleifenbaum, Yanar, Hinze, Zauner, Bellin","Stephan, Elsaadawi, Iwuozor"
2,BFC Preussen II,SV Empor Berlin II,1,4,4-1-3-2,"Fisch, Özcan, Sommerfeld, Mayoungou, Ferchichi, Demir, Kelesoglu, Abou-Chaker, Stahlberg, Mikelatze, Feldmann","Arslani, Berner, Ruhland",1:1 (67.) Mikelatze,away,S,4-4-2,"Bloch, Bräkow, Popp, Wollmann, Macketanz, Nixdorf, Duczmal, Ako, Tuckerman, Bochnia, Mentrup","Schmiedel, Wandel, Shrestha, Hegenbarth, Ploschenz"
2,FC Internationale Berlin,DJK Schwarz-Weiß Neukölln,2,0,3-5-2,"Schulze, Wörteler, Schindler, Boeddinghaus, Marigo, Freitag, N. Stanley, Bätz, Pink, Henrich Paya, Nieto","Bullock, Bauder, Tsuchiya, M. Stanley, Senne",0:1 (76.) M. Stanley; 0:2 (86.) N. Stanley,away,M,4-2-3-1,"Boel, Jakob, Lindner, B. Hoeri, Köprülügil, Ruden, Padilla Cross, Schmidt, Erdogan, Achour, Guski","Faubourg, Czuba, G. Hoeri, Shawrdi"
2,1.FC Schöneberg,SF Charlottenburg-Wilmersdorf 03,3,1,4-2-3-1,"Meyer, Degirmenci, Özdil, Stojanovic, Gündogdu, Cabuk, Franz, Cetintas, Demir, E. Uzun, S. Uzun","Nhacuonga, +2 Özkara, Gedek, +4 Ciftci, Sabahat",0:1 (6.) Uzun; 0:2 (64.) E. Uzun; 0:3 (85.) Cabuk,away,M,5-4-1,"Boukari Yabara, Kosky, Sabah, Yao, Köhler, Jean-Louis, Kocher, Dornheim, Gehring, Adib, Diakite","Dhia Mayel, Aufschlag, Lischiz, dos Santos, Sabra"
2,Pfeffersport,Berlin Hilalspor,1,4,4-3-2-1,"Daniel, Boudlal, Pilz, Sander, Roitzsch, Würzner, Aguigar, Marcell, Barakat, Scarlett, Grunert","Kuß, Schreiber, Klenk, Schmiedel, Andresen",0:1 (3.) Scarlett,away,S,4-4-2,"Fadel, Güngör, Yilmas, S. Ekmekci, Rahimi, Asotic, Köse, Tanis, Chawraba, Neziroglu, Hancer","O. Ekmekci, Marouwane, Wahabou, Willams, Aslan"
2,BSV Hürtürkel,SC Berliner Amateure,4,1,4-2-3-1,"Karadeniz, Kücükodabasi, Türkoglu, Tanis, I. Inal, Akdag, O. Yüksek, Bussmann, Kurnaz, U. Yüksek, Yilmaz","Zeren, +3 Ahrendt, Yildirgan, Yigit, Kirimoglu",0:1 (4.) U. Yüksek; 0:2 (7.) Bussmann; 0:3 (68.) O. Yüksek; 1:4 (90.+6) O. Yüksek,away,M,3-2-2-2-1,"Imorou, Tasche, Ewald, Kemlein, Essers, Ropers, Fleige, Orywal, Werner, Räuchle, Dändliker","Schönball, Paetschke, Incirci, Soliman, Barfod"
2,Berliner SC II,SF Johannisthal,0,8,4-4-2,"Kreuschner, Joseski, Leitner, Niedenhoff, Heilmann, Lilja, Calmels, Kaggelidids, Baum, Tamburo, Einspannier","Schröder, Huambo, Öncu, Arsic, Brüggemann",,away,S,4-2-3-1,"Ölke, Dörre, Walden, Ho mann, Herter, Gonda, Behrend, Mittelstädt, Lüdtke, Müller, Olff","Pilz, Pawel, Kroll, Warncke, Ferl"
2,Friedenauer TSC,SC Borsigwalde,2,0,3-1-4-2,"Saatci, Kleinfeldt, Sey, Woithe, T. Prümke, Vukoje, Niemeyer, Guske, Stritzke, Schubart, Gandert","Taskiran, Martinez, +3 C. Prümke, Krüger, Ridzewski",0:1 (70.) Gandert; 0:2 (90.+2) Martinez,away,S,4-3-2-1,"Rodrigues Aguilar, Angali, El-Okkla, Acar, Kassem, Kummer, Rassuli, Thalke, Daniel Nzongo, David Nzongo, Bubner","Chukwu, Mousa, Crone, Umalatov, Barnat"
2,BSV 1892,Berolina Mitte,4,0,3-4-1-2,"Lüttschwager, Schnack, Tedesco, Jost, Anker, Paschke, Schleifenbaum, Yanar, Hinze, Zauner, Bellin","Stephan, Elsaadawi, Iwuozor",0:1 (18.) Anker; 0:2 (57.) Bellin; 0:3 (70.) Iwuozor; 0:4 (84.) Elsaadawi,away,S,4-2-3-1,"Meier, Schlarmann, Benabid, Georgi, Gefnider, Stoetefalke, Metzmacher, Müller, Werner, Chioccarelli, Buchweitz","Wolf-Triebel, Rodriguez, Opoku, Garces Daza, Ngomane"
3,BFC Preussen II,DJK Schwarz-Weiß Neukölln,3,0,4-2-3-1,"Lamkaddam, Kortebusch, Mayoungou, Quakil, Ferchichi, Sommerfeld, Demir, Özcan, Yilmaz, Stahlberg, Mikelatze","Arslani, Timur, von Gliszczynski",1:0 (13.) Mikelatze; 2:0 (39.) Sommerfeld; 3:0 (73.) Timur,home,S,4-2-3-1,"Boel, Köprülügil, Saul, Ramljak, Elszel, Ruden, Koca, Shawrdi, Rupprecht, G. Hoeri, Guski","Jakob, Duhme, Kirsch, Czuba, Erdogan"
3,Friedenauer TSC,FC Internationale Berlin,1,6,4-1-4-1,"Rother, Kleinfeldt, Sey, Fuchs, Woithe, Prümke, Stritzke, Niemeyer, Magiera, Fuchs, Schubart","Ridzewski, Prümke, Krüger",1:3 (71.) Krüger,home,S,4-1-4-1,"Schulze, Marigo, Wörteler, Driemel, Boeddinghaus, Costa Echeverria, Henrich Paya, N. Stanley, Tsuchiya, M. Stanley, Nieto","de Sousa Oliveira, Schindler, Topal, Kranz, Ovcharov"
3,Pfeffersport,SF Johannisthal,0,4,4-3-3,"Tschiche, Zimmerling, Sander, Pilz, Roitzsch, Schirp, Gordjo Aguigah, Klenk, Barakat, Würzner, Boudlal","Schreiber, Scarlett, Kuß",,home,S,4-3-3,"Ölke, Hilgendorf, Walden, Majic, Hoffmann, Gonda, Behrend, Müller, Lüdtke, Ferl, Warncke","Singh, Wachholz, Bode, Franke, Förster"
3,SV Empor Berlin II,SC Borsigwalde,0,2,4-2-3-1,"Yusuff, Bräkow, Schmiedel, Kublashvili, Shrestha, Duczmal, Ako, Cerny, Rajaratnam, Mentrup, Saleem","Greiner, Nogradi, Tüzen",,home,S,3-2-3-2,"Mohammed Kassem, Angali, Acar, Mostafa Kassem, Kummer, Rassuli, Thalke, Memidzan, El-Okkla, Barnat, Daniel Nzongo","Crone, Viedt, David Nzongo, Bubner, Umalatov"
3,Berliner SC II,Berlin Hilalspor,2,0,4-2-2-2,"Kreuschner, Riedel, T. Niedenhoff, Leitner, Kaggelidids, Kücükosman, Einspannier, Joseski, Baum, Dersch, F. Niedenhoff","Tamburo, Heilmann, Potempa, Öncü",1:0 (3.) Kaggelidids; 2:0 (58.) F. Niedenhoff,home,S,4-4-1-1,"Kösker, Rahimi, Yilmaz, S. Ekmekci, Fallmann, Asotic, Tanis, O. Ekmekci, Wahabou, Hancer, Neziroglu","Balci, Demir, Eren, Willams"
3,1.FC Schöneberg,Berolina Mitte,2,5,4-2-3-1,"Kvaratskhelia, Cetintas, Özdil, Fakhro, Degirmenci, Franz, Stojanovic, Cabuk, Demir, E. Uzun, S. Uzun","Ciftci, Gedek, Özkara, Sabahat",1:1 (42.) S. Uzun; 2:4 (79.) S. Uzun,home,S,4-2-3-1,"Wolf-Triebel, Schlarmann, Benabid, Georgi, Hadari, Metzmacher, Stoetefalke, Ngomane, Wermer, Müller, Tilmann","Garces Daza, Buchweitz, Gefnider, Opoku"
3,BSV Hürtürkel,BSV 1892,1,5,4-2-3-1,"Langer, Günes, Zeren, Tanis, Missaouri, Kurnaz, K. Inal, Bussmann, O. Yüksek, U. Yüksek, Yilmaz","I. Inal, Yigit, El Kassem, Önal",1:1 (68.) Bussmann,home,M,5-3-2,"Lüttschwager, Charkov, Anker, Tedesco, Jost, Iwuozor, Paschke, Koschek, Bechler, Busche, Bellin","Malik, Zauner, Schleifenbaum, Hinze, Elsaadawi"
3,SF Charlottenburg-Wilmersdorf 03,SC Berliner Amateure,1,1,4-5-1,"Höhne, Kosky, Wendt, Jacobs, Dziadek, Dornheim, Aufschlag, Gehring, Yao, Kocher, Diakite","Idrissi, Sabra",1:1 (84.) Gehring,home,M,3-2-4-1,"Imorou, Kone, Ewald, Tasche, Räuchle, Essers, Kozak, Werner, Willkomm, Mehring, Rosenberg","Wittjen, Schulte-Holtey, Bietenberg"
3,DJK Schwarz-Weiß Neukölln,BFC Preussen II,0,3,4-2-3-1,"Boel, Köprülügil, Saul, Ramljak, Elszel, Ruden, Koca, Shawrdi, Rupprecht, G. Hoeri, Guski","Jakob, Duhme, Kirsch, Czuba, Erdogan",,away,S,4-2-3-1,"Lamkaddam, Kortebusch, Mayoungou, Quakil, Ferchichi, Sommerfeld, Demir, Özcan, Yilmaz, Stahlberg, Mikelatze","Arslani, Timur, von Gliszczynski"
3,FC Internationale Berlin,Friedenauer TSC,6,1,4-1-4-1,"Schulze, Marigo, Wörteler, Driemel, Boeddinghaus, Costa Echeverria, Henrich Paya, N. Stanley, Tsuchiya, M. Stanley, Nieto","de Sousa Oliveira, Schindler, Topal, Kranz, Ovcharov","0:1 (30.) Driemel; 0:2 (40.) M. Stanley; 0:3 (52.) Henrich Paya; 1:4 (75., Foulefmeter) Nieto; 1:5 (84.) Nieto; 1:6 (89.) Ovcharov",away,S,4-1-4-1,"Rother, Kleinfeldt, Sey, Fuchs, Woithe, Prümke, Stritzke, Niemeyer, Magiera, Fuchs, Schubart","Ridzewski, Prümke, Krüger"
3,SF Johannisthal,Pfeffersport,4,0,4-3-3,"Ölke, Hilgendorf, Walden, Majic, Hoffmann, Gonda, Behrend, Müller, Lüdtke, Ferl, Warncke","Singh, Wachholz, Bode, Franke, Förster",0:1 (11.) Lüdtke; 0:2 (30.) Ferl; 0:3 (43.) Warncke; 0:4 (59.) Hoffmann,away,S,4-3-3,"Tschiche, Zimmerling, Sander, Pilz, Roitzsch, Schirp, Gordjo Aguigah, Klenk, Barakat, Würzner, Boudlal","Schreiber, Scarlett, Kuß"
3,SC Borsigwalde,SV Empor Berlin II,2,0,3-2-3-2,"Mohammed Kassem, Angali, Acar, Mostafa Kassem, Kummer, Rassuli, Thalke, Memidzan, El-Okkla, Barnat, Daniel Nzongo","Crone, Viedt, David Nzongo, Bubner, Umalatov",0:1 (68.) Crone; 0:2 (90.+3) Umalatov,away,S,4-2-3-1,"Yusuff, Bräkow, Schmiedel, Kublashvili, Shrestha, Duczmal, Ako, Cerny, Rajaratnam, Mentrup, Saleem","Greiner, Nogradi, Tüzen"
3,Berlin Hilalspor,Berliner SC II,0,2,4-4-1-1,"Kösker, Rahimi, Yilmaz, S. Ekmekci, Fallmann, Asotic, Tanis, O. Ekmekci, Wahabou, Hancer, Neziroglu","Balci, Demir, Eren, Willams",,away,S,4-2-2-2,"Kreuschner, Riedel, T. Niedenhoff, Leitner, Kaggelidids, Kücükosman, Einspannier, Joseski, Baum, Dersch, F. Niedenhoff","Tamburo, Heilmann, Potempa, Öncü"
3,Berolina Mitte,1.FC Schöneberg,5,2,4-2-3-1,"Wolf-Triebel, Schlarmann, Benabid, Georgi, Hadari, Metzmacher, Stoetefalke, Ngomane, Wermer, Müller, Tilmann","Garces Daza, Buchweitz, Gefnider, Opoku",0:1 (20.) Ngomane; 1:2 (49.) Garces Daza; 1:3 (58.) Cetintas; 1:4 (78.) Opoku; 2:5 (81.) Opoku,away,S,4-2-3-1,"Kvaratskhelia, Cetintas, Özdil, Fakhro, Degirmenci, Franz, Stojanovic, Cabuk, Demir, E. Uzun, S. Uzun","Ciftci, Gedek, Özkara, Sabahat"
3,BSV 1892,BSV Hürtürkel,5,1,5-3-2,"Lüttschwager, Charkov, Anker, Tedesco, Jost, Iwuozor, Paschke, Koschek, Bechler, Busche, Bellin","Malik, Zauner, Schleifenbaum, Hinze, Elsaadawi","0:1 (10.) Bechler; 1:2 (78.) Busche; 1:3 (82.) Zauner; 1:4 (85.) Zauner, 1:5 (90.) Schleifenbaum",away,M,4-2-3-1,"Langer, Günes, Zeren, Tanis, Missaouri, Kurnaz, K. Inal, Bussmann, O. Yüksek, U. Yüksek, Yilmaz","I. Inal, Yigit, El Kassem, Önal"
3,SC Berliner Amateure,SF Charlottenburg-Wilmersdorf 03,1,1,3-2-4-1,"Imorou, Kone, Ewald, Tasche, Räuchle, Essers, Kozak, Werner, Willkomm, Mehring, Rosenberg","Wittjen, Schulte-Holtey, Bietenberg",0:1 (75.) Kozak,away,M,4-5-1,"Höhne, Kosky, Wendt, Jacobs, Dziadek, Dornheim, Aufschlag, Gehring, Yao, Kocher, Diakite","Idrissi, Sabra"
4,FC Internationale Berlin,BFC Preussen II,NA,NA,formation unclear,,,,home,NA,formation unclear,,
4,DJK Schwarz-Weiß Neukölln,1.FC Schöneberg,NA,NA,formation unclear,,,,home,NA,formation unclear,,
4,BSV 1892,Friedenauer TSC,NA,NA,formation unclear,,,,home,NA,formation unclear,,
4,Berlin Hilalspor,SC Borsigwalde,NA,NA,formation unclear,,,,home,NA,formation unclear,,
4,SC Berliner Amateure,SV Empor Berlin II,NA,NA,formation unclear,,,,home,NA,formation unclear,,
4,SF Johannisthal,SF Charlottenburg-Wilmersdorf 03,NA,NA,formation unclear,,,,home,NA,formation unclear,,
4,Berolina Mitte,Pfeffersport,NA,NA,formation unclear,,,,home,NA,formation unclear,,
4,Berliner SC II,BSV Hürtürkel,NA,NA,formation unclear,,,,home,NA,formation unclear,,
4,BFC Preussen II,FC Internationale Berlin,NA,NA,formation unclear,,,,away,NA,formation unclear,,
4,1.FC Schöneberg,DJK Schwarz-Weiß Neukölln,NA,NA,formation unclear,,,,away,NA,formation unclear,,
4,Friedenauer TSC,BSV 1892,NA,NA,formation unclear,,,,away,NA,formation unclear,,
4,SC Borsigwalde,Berlin Hilalspor,NA,NA,formation unclear,,,,away,NA,formation unclear,,
4,SV Empor Berlin II,SC Berliner Amateure,NA,NA,formation unclear,,,,away,NA,formation unclear,,
4,SF Charlottenburg-Wilmersdorf 03,SF Johannisthal,NA,NA,formation unclear,,,,away,NA,formation unclear,,
4,Pfeffersport,Berolina Mitte,NA,NA,formation unclear,,,,away,NA,formation unclear,,
4,BSV Hürtürkel,Berliner SC II,NA,NA,formation unclear,,,,away,NA,formation unclear,,
5,BFC Preussen II,BSV 1892,NA,NA,formation unclear,,,,home,NA,formation unclear,,
5,Friedenauer TSC,Berliner SC II,NA,NA,formation unclear,,,,home,NA,formation unclear,,
5,Pfeffersport,DJK Schwarz-Weiß Neukölln,NA,NA,formation unclear,,,,home,NA,formation unclear,,
5,SV Empor Berlin II,SF Johannisthal,NA,NA,formation unclear,,,,home,NA,formation unclear,,
5,BSV Hürtürkel,Berlin Hilalspor,NA,NA,formation unclear,,,,home,NA,formation unclear,,
5,SF Charlottenburg-Wilmersdorf 03,Berolina Mitte,NA,NA,formation unclear,,,,home,NA,formation unclear,,
