Spieltag,Heim,Auswärts,H_tore,A_tore
10,BSV 1892,SF Charlottenburg-Wilmersdorf 03,NA,NA
10,BSV Hürtürkel,1.FC Schöneberg,NA,NA
10,Berliner SC II,Pfeffersport,NA,NA
10,Berlin Hilalspor,SF Johannisthal,NA,NA
10,Friedenauer TSC,BFC Preussen II,NA,NA
10,Berolina Mitte,SC Berliner Amateure,NA,NA
9,BFC Preussen II,SF Johannisthal,NA,NA
9,Pfeffersport,SC Borsigwalde,NA,NA
9,Berliner SC II,FC Internationale Berlin,NA,NA
9,BSV 1892,Berlin Hilalspor,NA,NA
9,1.FC Schöneberg,SC Berliner Amateure,NA,NA
9,BSV Hürtürkel,DJK Schwarz-Weiß Neukölln,NA,NA
9,Friedenauer TSC,Berolina Mitte,NA,NA
9,SF Charlottenburg-Wilmersdorf 03,SV Empor Berlin II,NA,NA
8,FC Internationale Berlin,BSV 1892,NA,NA
8,SV Empor Berlin II,Pfeffersport,NA,NA
8,DJK Schwarz-Weiß Neukölln,Berliner SC II,NA,NA
8,Berlin Hilalspor,SF Charlottenburg-Wilmersdorf 03,NA,NA
8,SC Berliner Amateure,BFC Preussen II,NA,NA
8,SF Johannisthal,Friedenauer TSC,NA,NA
8,SC Borsigwalde,1.FC Schöneberg,NA,NA
8,Berolina Mitte,BSV Hürtürkel,NA,NA
7,BFC Preussen II,BSV Hürtürkel,NA,NA
7,Pfeffersport,BSV 1892,NA,NA
7,SV Empor Berlin II,DJK Schwarz-Weiß Neukölln,NA,NA
7,1.FC Schöneberg,Berliner SC II,NA,NA
7,SF Charlottenburg-Wilmersdorf 03,FC Internationale Berlin,NA,NA
7,SC Berliner Amateure,SF Johannisthal,NA,NA
7,Friedenauer TSC,Berlin Hilalspor,NA,NA
7,SC Borsigwalde,Berolina Mitte,NA,NA
6,FC Internationale Berlin,Pfeffersport,NA,NA
6,Berliner SC II,BFC Preussen II,NA,NA
6,DJK Schwarz-Weiß Neukölln,SF Charlottenburg-Wilmersdorf 03,NA,NA
6,BSV 1892,1.FC Schöneberg,NA,NA
6,BSV Hürtürkel,Friedenauer TSC,NA,NA
6,Berlin Hilalspor,SC Berliner Amateure,NA,NA
6,SF Johannisthal,SC Borsigwalde,NA,NA
6,Berolina Mitte,SV Empor Berlin II,NA,NA
5,BFC Preussen II,BSV 1892,NA,NA
5,Friedenauer TSC,Berliner SC II,NA,NA
5,Pfeffersport,DJK Schwarz-Weiß Neukölln,NA,NA
5,SV Empor Berlin II,SF Johannisthal,NA,NA
5,BSV Hürtürkel,Berlin Hilalspor,NA,NA
5,SF Charlottenburg-Wilmersdorf 03,Berolina Mitte,NA,NA
5,1.FC Schöneberg,FC Internationale Berlin,NA,NA
5,SC Borsigwalde,SC Berliner Amateure,NA,NA
4,FC Internationale Berlin,BFC Preussen II,NA,NA
4,DJK Schwarz-Weiß Neukölln,1.FC Schöneberg,NA,NA
4,BSV 1892,Friedenauer TSC,NA,NA
4,Berlin Hilalspor,SC Borsigwalde,NA,NA
4,SC Berliner Amateure,SV Empor Berlin II,NA,NA
4,SF Johannisthal,SF Charlottenburg-Wilmersdorf 03,NA,NA
4,Berolina Mitte,Pfeffersport,NA,NA
4,Berliner SC II,BSV Hürtürkel,NA,NA
3,BFC Preussen II,DJK Schwarz-Weiß Neukölln,3,0
3,Friedenauer TSC,FC Internationale Berlin,1,6
3,Pfeffersport,SF Johannisthal,0,4
3,SV Empor Berlin II,SC Borsigwalde,0,2
3,Berliner SC II,Berlin Hilalspor,2,0
3,1.FC Schöneberg,Berolina Mitte,2,5
3,BSV Hürtürkel,BSV 1892,1,5
3,SF Charlottenburg-Wilmersdorf 03,SC Berliner Amateure,1,1
2,SV Empor Berlin II,BFC Preussen II,4,1
2,DJK Schwarz-Weiß Neukölln,FC Internationale Berlin,0,2
2,SF Charlottenburg-Wilmersdorf 03,1.FC Schöneberg,1,3
2,Berlin Hilalspor,Pfeffersport,4,1
2,SC Berliner Amateure,BSV Hürtürkel,1,4
2,SF Johannisthal,Berliner SC II,8,0
2,SC Borsigwalde,Friedenauer TSC,0,2
2,Berolina Mitte,BSV 1892,0,4
1,BFC Preussen II,SC Borsigwalde,1,3
1,FC Internationale Berlin,Berlin Hilalspor,7,2
1,Berliner SC II,Berolina Mitte,4,1
1,Friedenauer TSC,SC Berliner Amateure,3,1
1,Pfeffersport,SF Charlottenburg-Wilmersdorf 03,3,0
1,BSV 1892,DJK Schwarz-Weiß Neukölln,2,4
1,1.FC Schöneberg,SV Empor Berlin II,6,2
1,BSV Hürtürkel,SF Johannisthal,2,4
